rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC11702950,Macrophage autophagy protects against acute kidney injury by inhibiting renal inflammation through the degradation of TARM1,success,yes,"Among these, TARM1, a newly identified member of the leukocyte immunoglobulin-like receptor family, was significantly upregulated in atg5−/− BMDMs compared to WT BMDMs after treatment with LPS and IFNG (L33).",Tarm1,
2,PMC12608911,"Triggering Receptor Expressed on Myeloid Cells-1 (TREM-1) in Inflammation and Disease: Mechanisms, Therapeutic Potential, and Future Directions",success,no,"Studies on RAW264.7 macrophage-like cells have shown that Trem-1 gene transcription is regulated by NF̈κB-1 and the cyclic AMP response element (CRE), both of which contribute to LPS-induced upregulation of TREM-1 promoter activity.",,yes->no: evidence does not name the gene
3,PMC2394514,Expression analysis of G Protein-Coupled Receptors in mouse macrophages,success,no,,,
4,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,
5,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,
6,PMC5775731,Expression of Siglec-E Alters the Proteome of Lipopolysaccharide (LPS)-Activated Macrophages but Does Not Affect LPS-Driven Cytokine Production or Toll-Like Receptor 4 Endocytosis,success,no,,,
7,PMC13096691,Physical exercise mitigates chronic psychological stress‐induced vascular inflammation via the BDNF–Kif4–TARM1 axis,success,no,,,
8,PMC7026307,Commentary: Triggering Receptor Expressed on Myeloid Cells-1 Inhibitor Targeted to Endothelium Decreases Cell Activation,success,no,,,
9,PMC10653702,Gut microbiota and tumor-associated macrophages: potential in tumor diagnosis and treatment,success,no,,,
10,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,,,
11,PMC10167635,Induction of unique macrophage subset by simultaneous stimulation with LPS and IL-4,success,no,,,
12,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,,,
13,PMC11994614,Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network,success,no,,,
14,PMC9656053,A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy,success,no,,,
15,PMC4637344,"A New Triggering Receptor Expressed on Myeloid Cells (TREM) Family Member, TLT-6, is Involved in Activation and Proliferation of Macrophages",success,no,,,
16,PMC9456100,"Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile",success,no,,,
17,PMC6514734,TET1 Knockdown Inhibits Porphyromonas gingivalis LPS/IFN-γ-Induced M1 Macrophage Polarization through the NF-κB Pathway in THP-1 Cells,success,no,,,
18,PMC4695100,"Hyperinflammation, T cells, and endotoxemia",success,no,,,
19,PMC7386301,Species-Specificity of Transcriptional Regulation and the Response to Lipopolysaccharide in Mammalian Macrophages,success,no,,,
20,PMC10091190,LPS combined with CD47mAb enhances the anti‑osteosarcoma ability of macrophages,success,no,,,
21,PMC6312652,Inhibition of Triggering Receptor Expressed on Myeloid Cells 1 Ameliorates Inflammation and Macrophage and Neutrophil Activation in Alcoholic Liver Disease in Mice,success,no,,,
22,PMC8289208,Lipopolysaccharide from biofilm-forming Pseudomonas aeruginosa PAO1 induces macrophage hyperinflammatory responses,success,no,,,
23,PMC6801141,TREM‐1 deficiency attenuates the inflammatory responses in LPS‐induced murine endometritis,success,no,,,
24,PMC6533032,"Macrophage subsets exhibit distinct E. coli-LPS tolerisable cytokines associated with the negative regulators, IRAK-M and Tollip",success,no,,,
25,PMC10419197,Lipopolysaccharide Tolerance in Human Primary Monocytes and Polarized Macrophages,success,no,,,
26,PMC7997471,Imperatorin Interferes with LPS Binding to the TLR4 Co-Receptor and Activates the Nrf2 Antioxidative Pathway in RAW264.7 Murine Macrophage Cells,success,no,,,
27,PMC2234390,Ginger extract inhibits LPS induced macrophage activation and function,success,no,,,
28,PMC12589025,Disrupted macrophage autophagy as a driver of cell death and LPS-induced lethal shock in systemic inflammation,success,no,,,
29,PMC10160506,BushenHuoxue decoction suppresses M1 macrophage polarization and prevents LPS induced inflammatory bone loss by activating AMPK pathway,success,no,,,
30,PMC10947571,TLR4 phosphorylation at tyrosine 672 activates the ERK/c‐FOS signaling module for LPS‐induced cytokine responses in macrophages,success,no,,,
31,PMC3618444,Autocrine Regulation of Macrophage Activation via Exocytosis of ATP and Activation of P2Y11 Receptor,success,no,,,
32,PMC6909656,Role and mechanism of miR-144-5p in LPS-induced macrophages,success,no,,,
33,PMC2118489,LPS-induced down-regulation of signal regulatory protein α contributes to innate immune activation in macrophages,success,no,,,
34,PMC5960718,Toll-Like Receptors Drive Specific Patterns of Tolerance and Training on Restimulation of Macrophages,success,no,,,
35,PMC10750081,CD163 protein inhibits lipopolysaccharide-induced macrophage transformation from M2 to M1 involved in disruption of the TWEAK–Fn14 interaction,success,no,,,
36,PMC2211908,The Cell Surface Receptor SLAM Controls T Cell and Macrophage Functions,success,no,,,
37,PMC7809447,Ultra-purification of Lipopolysaccharides reveals species-specific signalling bias of TLR4: importance in macrophage function,success,no,,,
38,PMC6379471,Leukadherin-1-Mediated Activation of CD11b Inhibits LPS-Induced Pro-inflammatory Response in Macrophages and Protects Mice Against Endotoxic Shock by Blocking LPS-TLR4 Interaction,success,no,,,
39,PMC11401823,Tropomodulin1 exacerbates inflammatory response in macrophages by negatively regulating LPS-induced TLR4 endocytosis,success,no,,,
40,PMC11827804,The role of TREM2 in sepsis,success,no,,,
41,PMC9076897,Overabundance of Veillonella parvula promotes intestinal inflammation by activating macrophages via LPS-TLR4 pathway,success,no,,,
42,PMC10501887,LPS adsorption and inflammation alleviation by polymyxin B-modified liposomes for atherosclerosis treatment,success,no,,,
43,PMC7990916,Phagocytosis of microparticles increases responsiveness of macrophage-like cell lines U937 and THP-1 to bacterial lipopolysaccharide and lipopeptide,success,no,,,
44,PMC5594076,Regulation of Human Macrophage M1–M2 Polarization Balance by Hypoxia and the Triggering Receptor Expressed on Myeloid Cells-1,success,no,,,
45,PMC3988229,Activated Macrophage Survival Is Coordinated by TAK1 Binding Proteins,success,no,,,
46,PMC3525607,Macrophages mediate colon carcinoma cell adhesion in the rat liver after exposure to lipopolysaccharide,success,no,,,
47,PMC4112788,SOCS Proteins in Macrophage Polarization and Function,success,no,,,
48,PMC7986717,Functions for Retinoic Acid-Related Orphan Receptor Alpha (RORα) in the Activation of Macrophages During Lipopolysaccharide-Induced Septic Shock,success,no,,,
49,PMC13093997,Lipopolysaccharide suppresses lung metastasis by activating CD8+ T cells despite promoting effect via cancer-associated fibroblasts,success,no,,,
50,PMC7817350,Macrophage ICAM-1 functions as a regulator of phagocytosis in LPS induced endotoxemia,success,no,,,
