rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC2107732,INVOLVEMENT OF MACROPHAGES IN COLLAGEN RESORPTION,success,no,no,,,,,
2,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
3,PMC7356036,Collagen Fibril Density Modulates Macrophage Activation and Cellular Functions during Tissue Repair,success,no,no,,,,,
4,PMC10091190,LPS combined with CD47mAb enhances the anti‑osteosarcoma ability of macrophages,success,no,no,,,,,
5,PMC11882325,Interleukins-27 Aggravates Liver Injury by Impairing the Antimicrobial Response of Macrophages via the Promotion of Mitochondrial Dysfunction in the Context of Sepsis,success,no,no,,,,,
6,PMC6274997,Transcriptome Analysis Provides Insights into the Markers of Resting and LPS-Activated Macrophages in Grass Carp (Ctenopharyngodon idella),success,no,no,,,,,
7,bio_5e67bb726e21,IL-27 neutralization enhances macrophage polarization and improves immune checkpoint efficacy,success,no,no,,,,,
8,PMC13199726,Exosomal miR-148a-3p from LPS-Activated Macrophages Promotes M1 Polarization and Ferroptosis-Related Characteristics of Recipient Macrophages by Reducing SLC7A11,success,no,no,,,,,
9,PMC9138386,Osteocalcin Alleviates Lipopolysaccharide-Induced Acute Inflammation via Activation of GPR37 in Macrophages,success,no,no,,,,,
10,PMC6135775,IL-27 amplifies cytokine responses to Gram-negative bacterial products and Salmonella typhimurium infection,success,no,no,,,,,
11,PMC12967598,IL-27 Aggravates Sepsis-Induced ARDS by Driving Macrophage Ferroptosis Through Activation of NCOA4-Mediated Ferritinophagy,success,no,no,,,,,
12,PMC3660024,Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,success,no,no,,,,,
13,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,no,,,,,
14,PMC3242791,Collagen XXVII Organises the Pericellular Matrix in the Growth Plate,success,no,no,,,,,
15,PMC9609449,Effect of regulating macrophage polarization phenotype on intervertebral disc degeneration,success,no,no,,,,,
16,PMC7689775,LPS‐Induced Inflammation Prior to Injury Exacerbates the Development of Post‐Traumatic Osteoarthritis in Mice,success,no,no,,,,,
17,PMC3317238,LPS Counter Regulates RNA Expression of Extracellular Proteases and Their Inhibitors in Murine Macrophages,success,no,no,,,,,
18,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
19,PMC11232647,LPS-induced senescence of macrophages aggravates calcification and senescence of vascular smooth muscle cells via IFITM3,success,no,no,,,,,
20,PMC4765811,Biomimetic collagenous scaffold to tune inflammation by targeting macrophages,success,no,no,,,,,
21,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
22,PMC5778122,"High-Resolution Mapping and Dynamics of the Transcriptome, Transcription Factors, and Transcription Co-Factor Networks in Classically and Alternatively Activated Macrophages",success,no,no,,,,,
23,PMC4534598,Mmu-miR-27a-5p-Dependent Upregulation of MCPIP1 Inhibits the Inflammatory Response in LPS-Induced RAW264.7 Macrophage Cells,success,no,no,,,,,
24,bio_206e5a356c66,Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,success,no,no,,,,,
25,PMC9411976,"Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS",success,no,no,,,,,
