title,authors,id,source,date,url,abstract
Essential role of Rnd1 in innate immunity during viral and bacterial infections,Akhilesh Kumar; Shalabh Mishra; Ashish Kumar; Ashwin Ashok Raut; Seiichi Sato; Akinori Takaoka; Hima...,Matched: Discussion,cat /papers/PMC9161769/content.lines --lines 38-39,2022-06-02,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9161769/,"Rnd1, a constitutively active Rho GTPase, was identified as a key player in innate immunity. It protects against viral and bacterial infections through distinct interferon-independent mechanisms."
Rho GTPase Expression in Human Myeloid Cells,Suzanne F. G. van Helden; Eloise C. Anthony; Rob Dee; Peter L. Hordijk,Matched: Discussion,cat /papers/PMC3420873/content.lines --lines 65-66,2012-08-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3420873/,"This study investigated Rho GTPase expression in human myeloid cells using qPCR. The most abundant Rho GTPases were Cdc42, RhoQ, Rac1, Rac2, RhoA, and RhoC, with expression profiles varying by cell type and differentiation state."
The RND1 Small GTPase: Main Functions and Emerging Role in Oncogenesis,Laetitia Mouly; Julia Gilhodes; Anthony Lemarié; Elizabeth Cohen-Jonathan Moyal; Christine Toulas; G...,"Matched: RND1, an Atypical Rho GTPase",cat /papers/PMC6696182/content.lines --lines 12-13,2019-07-24,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6696182/,"This paper reviews the functions of the atypical Rho GTPase RND1 in healthy tissues and its emerging role in oncogenesis. RND1 acts as a tumor suppressor, with low expression correlating to poor prognosis and treatment response."
Deletion of Rac1GTPase in the Myeloid Lineage Protects against Inflammation-Mediated Kidney Injury in Mice,Miki Nagase; Hidetake Kurihara; Atsu Aiba; Morag J. Young; Tatsuo Sakai,Matched: Involvement of macrophage Rac1 signaling in LPS-evoked cytokine produc,cat /papers/PMC4777421/content.lines --lines 61-63,2016-03-03,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4777421/,Myeloid-specific deletion of Rac1 was studied in a mouse model of kidney injury. This deletion protected against inflammation-mediated kidney damage by suppressing inflammatory cytokine production.
"A New Member of the Rho Family, Rnd1, Promotes Disassembly of Actin Filament Structures and Loss of Cell Adhesion",Catherine D. Nobes; Inger Lauritzen; Marie-Geneviève Mattei; Sonia Paris; Alan Hall; Pierre Chardin,Matched: Biochemical Properties of Rnd1,cat /papers/PMC2132722/content.lines --lines 39-40,1998-04-06,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2132722/,"Rnd1, a new Rho family member, was studied for its effects on actin and cell adhesion. Rnd1 expression inhibits actin structures and causes cell rounding by promoting loss of adhesion."
RvD1 accelerates the resolution of inflammation by promoting apoptosis of the recruited macrophages via the ALX/FasL-FasR/caspase-3 signaling pathway,Shu-yang Xiang; Yang Ye; Qian Yang; Hao- ran Xu; Chen-xi Shen; Min-qi Ma; Shao-wu Jin; Hong-xia Mei;...,Matched: Protective effects of RvD1 on LPS-induced BMDMs in vitro,cat /papers/PMC8575873/content.lines --lines 30-33,2021-11-08,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8575873/,"RvD1 was administered to mice to study its effect on inflammation resolution. RvD1 promotes macrophage apoptosis via the ALX/FasL-FasR/caspase-3 pathway, accelerating inflammation resolution and potentially treating ARDS."
Macrophage Migration and Its Regulation by CSF-1,Fiona J. Pixley,Matched: 6. Rho Family GTPases in Macrophage Motility,cat /papers/PMC3296313/content.lines --lines 26,2012-02-15,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3296313/,"This study investigated macrophage migration and its regulation by CSF-1. Macrophage motility is primarily controlled by CSF-1 signaling through the Y721 residue on its receptor, which activates PI3K."
A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy,Diletta Ami; Ana Rita Franco; Valentina Artusa; Paolo Mereghetti; Francesco Peri; Antonino Natalello,Matched: 1. Introduction,cat /papers/PMC9656053/content.lines --lines 10-12,2022-11-03,https://doi.org/10.3390/ijms232113447,"Fourier transform infrared microspectroscopy analyzed THP-1 derived macrophages treated with LPS. The study identified spectral markers in lipids, proteins, and sulfated sugars, highlighting their role in inflammation."
Monocyte normal immune response to LPS stimulation,P Myrianthefs; K Venetsanou; E Grouzi; E Boutzouka; P Evagelopoulou; G Fildissis; I Spiliotopoulou; ...,PMC3333514,Critical Care,2002-03-01,https://doi.org/10.1186/cc1554,
"Data in support of Rap2a GTPase expression, activation and effects in LPS-mediated innate immune response and NF-κB activation",Brener C. Carvalho; Leonardo C. Oliveira; Carolina D. Rocha; Heliana B. Fernandes; Isadora M. Olivei...,Matched: Abstract,cat /papers/PMC6531833/content.lines --lines 1-6,2019-05-02,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6531833/,This paper presents data on molecular tools for studying Rap2a GTPase in LPS-induced immune responses. The data support Rap2a's role in macrophage activation and NF-κB signaling.
