rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC11423144,SHISA3 Reprograms Tumor‐Associated Macrophages Toward an Antitumoral Phenotype and Enhances Cancer Immunotherapy,success,yes,yes,"We observed reduced levels of proinflammatory cytokines (Il-6, Tfn, Il-1β) and M1 marker iNos in Shisa3-KO BMDMs versus WT BMDMs induced by LPS (Figure 5A,B; Figure S6A, Supporting Information).","We found that Shisa3 is highly expressed in BMDMs treated with LPS for 6 h, and still very low in other cells (Figure S3A, Supporting Information).",Shisa3;SHISA3,LPS,
2,PMC2196288,"Lipopolysaccharide (LPS)-induced Macrophage Activation and Signal Transduction in the Absence of Src-Family Kinases Hck, Fgr, and Lyn",success,no,no,,,,,
3,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
4,PMC5332015,Genome-wide siRNA screen of genes regulating the LPS-induced NF-κB and TNF-α responses in mouse macrophages,success,no,no,,,,,
5,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
6,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
7,PMC5907526,The Anti-Inflammatory Effects of Shinbaro3 Is Mediated by Downregulation of the TLR4 Signalling Pathway in LPS-Stimulated RAW 264.7 Macrophages,success,no,no,,,,,
8,PMC4378362,Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,success,no,no,,,,,
9,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,no,,,,,
10,PMC4682375,Investigation of microRNAs in mouse macrophage responses to lipopolysaccharide-stimulation by combining gene expression with microRNA-target information,success,no,no,,,,,
11,PMC5332009,Genome-wide siRNA screen of genes regulating the LPS-induced TNF-α response in human macrophages,success,no,no,,,,,
12,PMC6667695,Cooperative and distinct functions of MK2 and MK3 in the regulation of the macrophage transcriptional response to lipopolysaccharide,success,yes,yes,"L27: In addition, another group of genes comprising Cxcl3, Csf2, Niacr1, Slc7a1 and Shisa3 appears to be MK3-dependently amplified in the absence of MK2 (summarized in group IV) since the enhancement of LPS-inducible gene expression is observable in MK2−/− BMDM but does not occur upon combined deletion of MK2 and MK3 in MK2/3−/− BMDM (MK2−/− > WT, MK2−/− < or = WT) (Supplemental Fig. S2j).","L59: Wild-type, MK2−/− or MK2/3−/− BMDM were stimulated with 100 ng/ml LPS for 120 min or 360 min.",Shisa3;SHISA3,LPS,
13,PMC8289208,Lipopolysaccharide from biofilm-forming Pseudomonas aeruginosa PAO1 induces macrophage hyperinflammatory responses,success,no,no,,,,,
14,PMC11202707,SRSF3 Knockdown Inhibits Lipopolysaccharide-Induced Inflammatory Response in Macrophages,success,no,no,,,,,
15,PMC6894286,Shisa3 brakes resistance to EGFR-TKIs in lung adenocarcinoma by suppressing cancer stem cell properties,success,no,no,,,,,
16,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
17,PMC7386301,Species-Specificity of Transcriptional Regulation and the Response to Lipopolysaccharide in Mammalian Macrophages,success,no,no,,,,,
18,PMC12766240,Transducin-like enhancer of split 3 protects against lipopolysaccharide-induced inflammation through DEAD-box helicase 5–activating transcription factor 1–protein phosphatase 2 regulatory subunit 5A signaling,success,no,no,,,,,
19,PMC12346749,Lipopolysaccharide-Activated Macrophages Suppress Cellular Senescence and Promote Rejuvenation in Human Dermal Fibroblasts,success,no,no,,,,,
20,PMC6609111,Pro-Inflammatory Role of S1P3 in Macrophages,success,no,no,,,,,
21,PMC10949775,Lipopolysaccharide regulation of antiinflammatory tristetraprolin family and proinflammatory gene expression in mouse macrophages,success,no,no,,,,,
22,PMC6199307,LncRNA HOTAIR regulates lipopolysaccharide-induced cytokine expression and inflammatory response in macrophages,success,no,no,,,,,
23,bio_eb0530776e54,Dynamic nucleosome redistribution and increases in nucleosome sensitivity underpin THP-1 macrophage response to LPS,success,no,no,,,,,
24,PMC10164277,SENP3 facilitates M1 macrophage polarization via the HIF-1α/PKM2 axis in lipopolysaccharide-induced acute lung injury,success,no,no,,,,,
25,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,no,,,,,
