rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,bio_ea6f8a3b6c58,A hierarchical GBP network promotes cytosolic LPS recognition and sepsis,success,no,no,,,,,
2,PMC7327485,Direct binding of polymeric GBP1 to LPS disrupts bacterial cell envelope functions,success,no,no,,,,,
3,bio_56e9957f6d01,Pattern Recognition Receptor for Bacterial Lipopolysaccharide in the Cytosol of Human Macrophages,success,no,no,,,,,
4,PMC10684074,Inhibitory effects of polysaccharides from Korean ginseng berries on LPS-induced RAW264.7 macrophages,success,no,no,,,,,
5,PMC6600649,Human GBP1 is a microbe‐specific gatekeeper of macrophage apoptosis and pyroptosis,success,no,no,,,,,
6,PMC6400534,Interferon-induced guanylate-binding proteins: Guardians of host defense in health and disease,success,no,no,,,,,
7,PMC7566093,A Rapid Caspase-11 Response Induced by IFNγ Priming Is Independent of Guanylate Binding Proteins,success,no,no,,,,,
8,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
9,PMC5626967,Inflammasome Activation by Bacterial Outer Membrane Vesicles Requires Guanylate Binding Proteins,success,no,no,,,,,
10,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
11,PMC13372814,GBP1 recruitment to actin-rich pedestals of extracellular Gram-negative bacteria promotes pyroptosis,success,no,no,,,,,
12,bio_0ddf65ba9122,GBP1 recruitment to actin-rich pedestals induced by extracellular Gram-negative bacteria promotes pyroptosis,success,no,no,,,,,
13,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,no,,,,,
14,PMC13375705,GBP5 Aggravates Acute Lung Injury Via NLRP3 Inflammasome Activation While Inducing a HIF-1α–CD73–adenosine Feedback Loop,success,no,no,,,,,
15,PMC10104521,LPS-aggregating proteins GBP1 and GBP2 are each sufficient to enhance caspase-4 activation both in cellulo and in vitro,success,no,no,,,,,
16,PMC8573089,The Prognostic and Immunological Value of Guanylate-Binding Proteins in Lower-Grade Glioma: Potential Markers or Not?,success,no,no,,,,,
17,PMC11994402,Extracellular vesicle-packaged GBP2 from macrophages aggravates sepsis-induced acute lung injury by promoting ferroptosis in pulmonary vascular endothelial cells,success,no,no,,,,,
18,PMC13059736,Guanylate-binding proteins balance iNOS/Arg-1 in myeloid cells during L. major infection and promote host defense to infection,success,no,no,,,,,
19,PMC12486372,Molecular mechanisms and functions of guanylate-binding protein 2 in inflammation and cancer (Review),success,no,no,,,,,
20,PMC4446742,Endotoxin-Binding Peptides Derived from Casein Glycomacropeptide Inhibit Lipopolysaccharide-Stimulated Inflammatory Responses via Blockade of NF-κB activation in macrophages,success,no,no,,,,,
21,PMC10789631,"CTRP6 promotes the macrophage inflammatory response, and its deficiency attenuates LPS-induced inflammation",success,no,no,,,,,
22,PMC7314798,Human GBP1 binds LPS to initiate assembly of a caspase-4 activating platform on cytosolic bacteria,success,no,no,,,,,
23,PMC3577878,Granulocyte Colony Stimulating Factor Induces Lipopolysaccharide (LPS) Sensitization via Upregulation of LPS Binding Protein in Rat,success,no,no,,,,,
24,PMC4470529,Macrophage phenotype in sepsis immunosuppression,success,no,no,,,,,
25,PMC2189482,Lipopolysaccharide (LPS) binding protein opsonizes LPS-bearing particles for recognition by a novel receptor on macrophages,success,no,no,,,,,
