rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC7379312,Histone deacetylase 2 is essential for LPS‐induced inflammatory responses in macrophages,success,no,,,
2,PMC6359123,Histone Deacetylation Inhibitors as Therapy Concept in Sepsis,success,no,,,
3,PMC4199742,HDAC6 Deacetylase Activity Is Critical for Lipopolysaccharide-Induced Activation of Macrophages,success,no,,,
4,PMC11221109,Myeloid-specific Hdac10 deletion protects against LPS-induced acute lung injury via P62 acetylation at lysine 165,success,no,Our findings revealed an obvious increase of HDAC10 mRNA levels in LPS-exposed ALI mice lung tissues compared to those of normal controls (Fig. 1A).,,yes->no: evidence does not name the gene
5,PMC13493966,Sympathetic signaling activation alleviated acute respiratory distress syndrome via the HDC/SLC7A11 axis in lipopolysaccharide-induced macrophages,success,yes,"Western blot analysis also showed a pronounced elevation of HDC protein in norepinephrine-treated cells (L4F, G).",Hdc,
6,PMC10096759,Inhibitory Effects of Ginsenoside Compound K on Lipopolysaccharide-Stimulated Inflammatory Responses in Macrophages by Regulating Sirtuin 1 and Histone Deacetylase 4,success,no,,,
7,PMC5763578,Histone deacetylase 2 (HDAC2) attenuates lipopolysaccharide (LPS)-induced inflammation by regulating PAI-1 expression,success,no,,,
8,PMC7573361,HDAC3 Mediates the Inflammatory Response and LPS Tolerance in Human Monocytes and Macrophages,success,no,,,
9,PMC6821885,Lipopolysaccharide-induced expansion of histidine decarboxylase-expressing Ly6G+ myeloid cells identified by exploiting histidine decarboxylase BAC-GFP transgenic mice,success,yes,Quantitative RT-PCR analysis demonstrated that the endogenous Hdc mRNA level was increased 6.1-fold in the lung at 4 hours after LPS administration (L33).,Hdc,
10,PMC7497259,Histamine and histidine decarboxylase: Immunomodulatory functions and regulatory mechanisms,success,no,"We found that the GFP-positive histamine-producing neutrophils were dramatically increased in lung and circulating peripheral blood under septic conditions (Takai et al., 2019).",,yes->no: evidence does not name the gene
11,PMC7725280,Dichotomous Engagement of HDAC3 Activity Governs Inflammatory Responses,success,no,"As expected, LPS induced massive changes, with up-regulation of classic inflammatory markers such as Il6, Il1a, Il1b, and Nos2, and approximately one-third of LPS-stimulated differentially expressed genes (762/2152) were lost in the MHD3KO macrophages (Fig. 1d and Extended Data Figs. 1a–c).",,yes->no: evidence does not name the gene
12,PMC12539210,Histone deacetylase 7 mediates lipopolysaccharide-inducible mitochondrial fission in macrophages,success,no,,,
13,PMC10316655,HDAC3 promotes macrophage pyroptosis via regulating histone deacetylation in acute lung injury,success,no,,,
14,PMC2588973,The regulation of histidine decarboxylase gene expression.,success,no,,,
15,PMC4568921,Histone deacetylase 5 regulates the inflammatory response of macrophages,success,no,"Toll-like receptor-mediated stimulation of murine RAW264.7 cells significantly reduced HDAC5 mRNA within 7 hrs but presented baseline levels after 24 hrs, a mechanism that was also found for Interferon-Γ treatment.",,yes->no: evidence does not name the gene
16,PMC9672892,Histamine Signaling Is Essential for Tissue Macrophage Differentiation and Suppression of Bacterial Overgrowth in the Stomach,success,no,,,
17,PMC10682073,Role of histamine-mediated macrophage differentiation in clearance of metastatic bacterial infection,success,no,,,
18,PMC12395717,HDAC2 mediates the activation of macrophage in sepsis induced lung injury via regulating the acetylation of SOX2 and the transcription of STAMP2,success,no,"For in vitro experiments, lipopolysaccharide (LPS)-induced macrophages were employed to model SLI.",,yes->no: evidence does not name the gene
19,PMC5535887,The Novel HDAC8 Inhibitor WK2-16 Attenuates Lipopolysaccharide-Activated Matrix Metalloproteinase-9 Expression in Human Monocytic Cells and Improves Hypercytokinemia In Vivo,success,no,,,
20,PMC6830127,Targeting Histone Deacetylases in Myeloid Cells Inhibits Their Maturation and Inflammatory Function With Limited Effects on Atherosclerosis,success,no,,,
21,PMC12925555,HDAC1 and SATB1 positively regulate immune responses in chicken macrophages,success,no,"Under these conditions, HDAC1 and SATB1 transcripts were significantly upregulated (Fig. 1C; P < 0.05 and P < 0.001, respectively), implicating both factors in the HD11 response to LPS.",,yes->no: evidence does not name the gene
22,PMC7730296,Anti-Allergic Potential of Cinnamaldehyde via the Inhibitory Effect of Histidine Decarboxylase (HDC) Producing Klebsiella pneumonia,success,no,,,
23,PMC8358884,Histone deacetylase 9 deficiency exaggerates uterine M2 macrophage polarization,success,no,,,
24,PMC12035888,HDC/histamine Signaling Axis Drives Macrophage Reprogramming to Promote Angiogenesis in Hindlimb-Ischemic Mice,success,no,,,
25,PMC6026695,Degradation of histone deacetylase 4 via the TLR4/JAK/STAT1 signaling pathway promotes the acetylation of high mobility group box 1 (HMGB1) in lipopolysaccharide‐activated macrophages,success,no,"As shown Fig. 3A, the protein expression of HDAC4 decreased in a time-dependent manner after LPS treatment, which was reversed by MG132, a proteasome inhibitor (Fig. 3B), suggesting that LPS treatment enhanced HDAC4 loss by proteasome-dependent degradation.",,yes->no: evidence does not name the gene
26,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,
27,PMC8469135,LSD1 Facilitates Pro-Inflammatory Polarization of Macrophages by Repressing Catalase,success,no,,,
28,PMC6359378,Expression of Histidine Decarboxylase and Its Roles in Inflammation,success,yes,"Implantation of the wire increased the expression of HDC mRNA in the inflammatory tissues from 4 h to 72 h post implantation as well as the expression of cytokines, such as MIP-2 and monocyte chemoattractant protein-1 (MCP-1), a chemoattractant for monocytes [47,[48],49].",Hdc,
29,PMC2949756,Motif prediction to distinguish LPS-stimulated pro-inflammatory vs. antibacterial macrophage genes,success,no,,,
30,PMC9793254,Beyond Regulation of Acid Secretion: A Novel Role for Histamine in Gastric Macrophage Differentiation and Function,success,no,,,
31,PMC6019440,Molecular Regulation of Histamine Synthesis,success,no,,,
32,PMC13217679,HDAC6 inhibition reprograms endothelial and macrophage responses to protect the lung in endotoxemia,success,no,,,
33,PMC10514323,The arginase 1/ornithine decarboxylase pathway suppresses HDAC3 to ameliorate the myeloid cell inflammatory response: implications for retinal ischemic injury,success,no,,,
34,PMC7468378,HDAC6 Mediates Macrophage iNOS Expression and Excessive Nitric Oxide Production in the Blood During Endotoxemia,success,no,Our data clearly indicate that HDAC6 is an important mediator of NO production in macrophages. HDAC6 mediates NO production through the regulation of iNOS expression in macrophages. HDAC6 up-regulates iNOS expression in macrophages by modulating STAT1 activation and IRF-1 expression. HDAC6 inhibition potently blocked endotoxin-induced STAT1 activation and iNOS expression in macrophages.,,yes->no: evidence does not name the gene
35,PMC3037517,Molecular biology of histidine decarboxylase and prostaglandin receptors,success,no,,,
36,PMC7286781,Biliary damage and liver fibrosis are ameliorated in a novel mouse model lacking l-histidine decarboxylase/histamine signaling,success,no,,,
37,PMC11690927,EFFECTS OF HDC-KNOCKOUT ON MITOCHONDRIAL FUNCTION AND SKELETAL MUSCLE IN BALB/C MICE,success,no,,,
38,PMC8933785,Role of histidine decarboxylase gene in the pathogenesis of Tourette syndrome,success,no,,,
39,PMC3285189,Histamine Derived from Probiotic Lactobacillus reuteri Suppresses TNF via Modulation of PKA and ERK Signaling,success,no,,,
40,PMC7218666,Histone hyperacetylation mediates enhanced IL‐1β production in LPS/IFN‐γ‐stimulated macrophages,success,no,,,
41,PMC8345949,Histatin-1 Attenuates LPS-Induced Inflammatory Signaling in RAW264.7 Macrophages,success,no,,,
42,PMC11439662,Aconitate decarboxylase 1 mediates the acute airway inflammatory response to environmental exposures,success,no,,,
43,PMC10392760,Histone deacetylase 3 regulates microglial function through histone deacetylation,success,no,,,
44,bio_b718d2686c27,The  Hdc  GC box is critical for  Hdc  gene transcription and histamine-mediated anaphylaxis,success,no,,,
45,PMC7918892,LPS Tolerance Inhibits Cellular Respiration and Induces Global Changes in the Macrophage Secretome,success,no,,,
46,PMC12748187,LPS mediates cuproptosis and inflammation in THP-1 macrophages through HKDC1,success,no,"Western blot analysis revealed that the protein level of HKDC1 was significantly increased in the lung tissues of LPS-treated mice, whereas AAV-shHKDC1 treatment mitigated this effect.",,yes->no: evidence does not name the gene
47,PMC10435362,Knockdown of histone deacetylase 9 attenuates sepsis-induced myocardial injury and inflammatory response,success,no,"RT-qPCR analysis showed that Hdac9 expression was enhanced in LPS-treated cells in a dose-dependent manner (Fig. 2A), whereas miR-214-3p level was drastically downregulated in cells with LPS treatment (Fig. 2B).",,yes->no: evidence does not name the gene
48,PMC2578993,Control of histidine decarboxylase gene expression in enterochromaffin-like cells.,success,no,,,
49,PMC4030071,The synergistic effect of homocysteine and lipopolysaccharide on the differentiation and conversion of raw264.7 macrophages,success,no,,,
50,PMC4023951,"Associations of Polymorphisms in Histidine Decarboxylase, Histamine N-Methyltransferase and Histamine Receptor H3 Genes with Breast Cancer",success,no,,,
