rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC7327485,Direct binding of polymeric GBP1 to LPS disrupts bacterial cell envelope functions,success,no,no,,,,,
2,PMC12486372,Molecular mechanisms and functions of guanylate-binding protein 2 in inflammation and cancer (Review),success,no,no,,,,,
3,PMC11994402,Extracellular vesicle-packaged GBP2 from macrophages aggravates sepsis-induced acute lung injury by promoting ferroptosis in pulmonary vascular endothelial cells,success,yes,yes,"Elevated GBP2 expression was observed in EVs and monocytes from the peripheral blood of sepsis patients, in LPS-stimulated THP-1 and RAW264.7 cells and their secreted EVs, and in macrophages within the lungs of CLP mice.",,Gbp2;GBP2,sepsis;LPS;CLP,
4,bio_c14a021b71b1,Bacterial factors drive the differential targeting of Guanylate Binding Proteins to  Francisella  and  Shigella,success,no,no,,,,,
5,PMC6400534,Interferon-induced guanylate-binding proteins: Guardians of host defense in health and disease,success,no,yes,"In ApoE−/− mice fed a high-fat Western diet exhibited increased Gbp2, Gbp3, Gbp5, Gbp6, and Gbp7 expression within lesional foam cells (Goo et al., 2016).",,Gbp2;GBP2,,yes->no: evidence does not name LPS or infection
6,PMC10684074,Inhibitory effects of polysaccharides from Korean ginseng berries on LPS-induced RAW264.7 macrophages,success,no,no,,,,,
7,PMC5626967,Inflammasome Activation by Bacterial Outer Membrane Vesicles Requires Guanylate Binding Proteins,success,no,no,,,,,
8,PMC7522336,Role of Gate-16 and Gabarap in Prevention of Caspase-11-Dependent Excess Inflammation and Lethal Endotoxic Shock,success,no,no,,,,,
9,PMC12571816,"From mechanisms to therapies: the multifaceted roles of guanylate-binding protein 2 in immunity, cancer, and beyond",success,yes,yes,"Infection with Gram-negative bacteria such as Salmonella, Citrobacter, Chlamydia, and Escherichia in innate immune cells activates the caspase-11 inflammasome, a process that primarily requires GBP2 (48).","During dengue infection, endothelial cells upregulate GBP2 as an initial protective response, which mitigates viral impact via reduced oxidative stress.",Gbp2;GBP2,Infection;bacteria;Salmonella;Citrobacter;Chlamydia;Escherichia,
10,PMC6369361,RNA-Binding Proteins in the Control of LPS-Induced Macrophage Response,success,no,no,,,,,
11,PMC13059736,Guanylate-binding proteins balance iNOS/Arg-1 in myeloid cells during L. major infection and promote host defense to infection,success,no,yes,"Interestingly, BMDMs treated with both IFN-̳ and L. major possessed more puncta-positive cells than those treated with IFN-̳ alone (Fig. 3D).",In vitro macrophage cultures were infected with L. major at an MOI of 10 for 2 h before cells were washed two times with PBS to wash away extracellular parasites. Cells were then cultured in media alone or media supplemented with 10 ng/mL IFN-̳ (Peprotech) or 100 ng/mL LPS (Sigma) + 10 ng/mL IFN-̳ for 72 h for parasite quantification and 48 h for Gbp localization experiments.,,infected;LPS,yes->no: evidence does not name the gene
12,PMC11531969,Crosstalk between GBP2 and M2 macrophage promotes the ccRCC progression,success,no,no,,,,,
13,bio_ea6f8a3b6c58,A hierarchical GBP network promotes cytosolic LPS recognition and sepsis,success,yes,yes,L25: Chromosomal ablation of these 7 Gbp loci led to selective loss of Gbp mRNA and protein expression using monospecific antibodies where available in LPS-primed bone marrow-derived macrophages (BMDMs).,"L64: Reverse transcription was performed with 2μg of total RNA and M-MLV reverse transcriptase (Thermo Fisher Scientific) for 1h at 42°C followed by 10min at 95°C, and the resulting cDNAs were subjected to semi-quantitative RT-PCR analysis (9800 Fast Thermal Cycler, Applied Biosystems) with indicated primers for Gbp1 (NM_010259.2), Gbp2 (NM_010260.1), Gbp3 (NM_001289492), Gbp4 (NM_008620.3), Gbp5 (NM_153564.2), Gbp 6 (NM_194336), Gbp7 (NM_145545.3), Gbp8 (NM_029509.4), Gbp9 (NM_172777.4), Gbp10 (NM_001039646.2), Gbp11 (NM_001039647.2) and β-actin ( Table S4 ).",Gbp2;GBP2,LPS,
14,PMC10445759,GBP2 promotes M1 macrophage polarization by activating the notch1 signaling pathway in diabetic nephropathy,success,yes,yes,"Similar to the effect of LPS, the expression of GBP2 was elevated in THP-1 cells under HG conditions, which went along with increased M1 marker INOS.","Western blot analysis of GBP2 in THP-1 cells treated with HG (30 mM D-glucose) and LPS (100 ng/ml), and GAPDH was used as an internal control.",Gbp2;GBP2,LPS,
15,PMC7566093,A Rapid Caspase-11 Response Induced by IFNγ Priming Is Independent of Guanylate Binding Proteins,success,no,no,,,,,
16,PMC6600649,Human GBP1 is a microbe‐specific gatekeeper of macrophage apoptosis and pyroptosis,success,no,no,,,,,
17,PMC12513257,Downregulation of Gbp2 Attenuates LPS-Induced Inflammation in BV2 Microglia Cells Through Inhibition of STAT1,success,yes,yes,"Significantly, LPS notably elevated Gbp2 levels in BV2 cells; however, Gbp2 downregulation reduced Gbp2 levels in LPS-treated BV2 cells (Figure 2B–D).","(B–D) BV2 cells were transfected with Gbp2 siRNA1 and Gbp2 siRNA2, followed by exposed to LPS. RT-qPCR and Western blot assays were conducted to determine Gbp2 levels in BV2 cells.",Gbp2;GBP2,LPS,
18,PMC13001939,GBP2 promotes podocyte pyroptosis and contributes to the pathogenesis of pediatric lupus nephritis,success,yes,yes,"In the LPS/ATP group (LA), GBP2 mRNA and protein levels were significantly increased relative to the control group (Fig 4B and 4C), consistent with observations in LN patient and murine tissues.","MPC-5 cells were stimulated with LPS (1 μg/mL; Sigma-Aldrich; L4391) for 24 h to provide the priming signal, followed by ATP (5 mM; Sigma-Aldrich; A6419) for 2 h to induce inflammatory stress and pyroptosis-related responses.",Gbp2;GBP2,LPS,
19,PMC8573089,The Prognostic and Immunological Value of Guanylate-Binding Proteins in Lower-Grade Glioma: Potential Markers or Not?,success,no,no,,,,,
20,PMC10104521,LPS-aggregating proteins GBP1 and GBP2 are each sufficient to enhance caspase-4 activation both in cellulo and in vitro,success,no,no,,,,,
21,PMC6749937,C57BL/6 and 129 inbred mouse strains differ in Gbp2 and Gbp2b expression in response to inflammatory stimuli in vivo,success,yes,yes,"L30: ""While these findings confirmed previous observations ( Staeheli et al., 1984 ), we also noted diminished expression of Gbp2 mRNA in 129/Sv mice compared with C57BL/6J stimulated with either LPS or profilin ( Figure 1B, underlying data ( Clough et al., 2019 )).""","L81: ""Mice were injected IP with Profilin (0.5ΓPg/100ΓPl) (Sigma, SRP8050), Poly(I:C) (100ΓPg/100ΓPl) (Sigma, P1530), CpG (5ΓPg/100ΓPl) (Invivogen, tlrl-1826), LPS (100ΓPg/100ΓPl) (Invivogen, tlrl-3pelps) or PBS.""",Gbp2;GBP2,LPS,
22,PMC11117630,Exploring the Role of Guanylate-Binding Protein-2 in Activated Microglia-Mediated Neuroinflammation and Neuronal Damage,success,yes,yes,"GBP2 expression was significantly increased in the cells treated with 1000 ng/mL LPS when compared to the other concentrations (Figure 2A,B).","Based on the results of GBP2 expression in brain disease animal models (Figure 1), we evaluated whether this gene is expressed in microglial cells present in the brain.",Gbp2;GBP2,LPS,
23,bio_0ddf65ba9122,GBP1 recruitment to actin-rich pedestals induced by extracellular Gram-negative bacteria promotes pyroptosis,success,no,no,,,,,
24,PMC7314798,Human GBP1 binds LPS to initiate assembly of a caspase-4 activating platform on cytosolic bacteria,success,no,no,,,,,
25,PMC6326519,Guanylate-binding protein 5 licenses caspase-11 for Gasdermin-D mediated host resistance to Brucella abortus infection,success,yes,yes,"We observed that GBP2, GBP3, GBP5 and to less extent GBP7 had increased mRNA transcripts in macrophages transfected with bacterial LPS compared to cells transfected with FuGENEHD alone (S2 Fig).",BMDMs from C57BL/6 mice were transfected with LPS (5 μg/ml) from B. abortus using FugeneHD.,Gbp2;GBP2,bacterial;LPS,
