title,authors,id,source,date,url,abstract
PP4 modulates macrophage-neutrophil crosstalk to restrict CCL5 -driven NETosis in sepsis,Feng-Ming Yang; Shih-Chang Hsu; Yu-Chih Wu; Ching-Lu Chen; Tse-Hua Tan; Szu-Yi Chou; Hui-Ming Chang;...,Matched: Macrophage-derived CCL5 promotes neutrophil hyperactivity,cat /papers/PMC12945651/content.lines --lines 88-89,2026-02-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12945651/,"PP4 deficiency in myeloid cells exacerbates sepsis by disrupting macrophage-neutrophil communication. Loss of PP4 increases CCL5 production, which drives excessive neutrophil NETosis and tissue damage. Restoring PP4 function limits this inflammatory cascade."
Transcriptional profiling of the LPS induced NF-κB response in macrophages,"Omar Sharif, Viacheslav N Bolshakov, Stephanie Raines, Peter Newham, Neil D Perkins",Matched: Figures and Tables,cat /papers/PMC1781469/content.lines --lines 78-106,2007-01-01,https://doi.org/10.1186/1471-2172-8-1,"This study profiled gene expression in macrophages after LPS exposure. LPS induced a dynamic, time-dependent transcriptional response, with THP-1 cells closely mimicking primary macrophages."
The effect of down-regulation of CCL5 on lipopolysaccharide-induced WI-38 fibroblast injury: a potential role for infantile pneumonia,Dong Bai; Anbang Han; Shan Cong,Matched: CCL5 expression was up-regulated in LPS-treated WI-38 cells,cat /papers/PMC6000219/content.lines --lines 41-42,2018,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6000219/,This study investigated CCL5's role in lipopolysaccharide-induced lung fibroblast injury. Down-regulating CCL5 protected cells from damage by inhibiting inflammatory pathways.
CCR5 signaling promotes lipopolysaccharide-induced macrophage recruitment and alveolar developmental arrest,Ze Chen; Xiaohua Xie; Na Jiang; Jianhui Li; Lei Shen; Yongjun Zhang,Matched: CCR5 facilitates alveolar macrophage migration and IL-1β overproductio,cat /papers/PMC7883330/content.lines --lines 55-59,2021-02-15,https://doi.org/10.1038/s41419-021-03464-7,"This study investigated the role of CCR5 signaling in lipopolysaccharide-induced bronchopulmonary dysplasia. Increased CCR5 expression promotes inflammation and alveolar developmental arrest, suggesting it is a therapeutic target for BPD."
Metabolic effects of CCL5 deficiency in lean and obese mice,Hui Zhou; Xiyan Liao; Qin Zeng; Haowei Zhang; Jianfeng Song; Wanyu Hu; Xiaoxiao Sun; Yujin Ding; Dan...,Matched: Macrophage apoptosis assays,cat /papers/PMC9880418/content.lines --lines 45,2023-01-13,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9880418/,"CCL5 deficiency was studied in lean and obese mice to understand its role in adipose inflammation. CCL5 deficiency worsened insulin resistance and hepatic steatosis in obese mice, suggesting a protective role for CCL5 in metabolic health."
C–C Chemokines Released by Lipopolysaccharide (LPS)-stimulated Human Macrophages Suppress HIV-1 Infection in Both Macrophages and T Cells,Alessia Verani; Gabriella Scarlatti; Manola Comar; Eleonora Tresoldi; Simona Polo; Mauro Giacca; Pao...,PMC2196157,The Journal of Experimental Medicine,1997-03-03,https://doi.org/10.1084/jem.185.5.805,Lipopolysaccharide-stimulated macrophages release C-C chemokines that suppress HIV-1 infection. These chemokines inhibit HIV-1 replication in both macrophages and T cells.
Anti-Inflammatory Effects of Cicadidae Periostracum Extract and Oleic Acid through Inhibiting Inflammatory Chemokines Using PCR Arrays in LPS-Induced Lung inflammation In Vitro,Jung-Hee Hong; Young-Cheol Lee,Matched: 3.3.1. Modulatory Effects of CP and OA Treatments on mRNA Gene Express,cat /papers/PMC9225349/content.lines --lines 81-82,2022-06-08,https://doi.org/10.3390/life12060857,Cicadidae periostracum (CP) and oleic acid (OA) extracts were studied for anti-inflammatory effects in LPS-induced lung inflammation. Both CP and OA significantly inhibited inflammatory chemokines and cytokines by suppressing key signaling pathways.
"Role Of The C-C Motif Chemokine Ligand 5 (CCL5) And Its Receptor, C-C Motif Chemokine Receptor 5 (CCR5) In The Genesis Of Aldosterone-induced Hypertension, Vascular Dysfunction, And End-organ Damage","Rafael M. Costa, Débora M. Cerqueira, Ariane Bruder-Nascimento, Juliano V. Alves, Wanessa A.C. Awata...",Matched: Macrophage adhesion assay,cat /papers/bio_e87507fc7271/content.lines --lines 59,2023-09-22,,"This study investigated the role of CCL5 and CCR5 in aldosterone-induced hypertension and vascular damage. Findings show that CCR5 is essential for aldosterone-induced hypertension, vascular dysfunction, and renal damage, acting via Nox1 and NFκB activation."
Bacterial Lipopolysaccharide Rapidly Inhibits Expression of C–C Chemokine Receptors in Human Monocytes,"Antonio Sica, Alessandra Saccani, Alessandro Borsatti, Christine A. Power, Timothy N.C. Wells, Walte...",Matched: Discussion,cat /papers/PMC2196159/content.lines --lines 34-36,1997-03-03,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2196159/,"Bacterial lipopolysaccharide (LPS) was studied for its effect on C-C chemokine receptors in human monocytes. LPS rapidly reduces CCR2 mRNA by decreasing its half-life, impacting monocyte responsiveness to chemokines."
Blocking the CCL5–CCR5 Axis Using Maraviroc Promotes M1 Polarization of Macrophages Cocultured with Irradiated Hepatoma Cells,Yuan Zhuang; Xiaomei Zhao; Baoying Yuan; Zhaochong Zeng; Yixing Chen,Matched: CCL5 Polarizes THP-1 Macrophages Toward an M2-Like Phenotype,cat /papers/PMC8219307/content.lines --lines 44-45,2021-06-18,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8219307/,"This study investigated how blocking the CCL5–CCR5 axis with maraviroc affects macrophages cocultured with irradiated hepatoma cells. Maraviroc promotes M1 macrophage polarization, enhancing hepatoma cell radiosensitivity and antitumor effects."
