title,authors,id,source,date,url,abstract
Protein Kinase Cε Is Required for Macrophage Activation and Defense Against Bacterial Infection,Antonio Castrillo; Daniel J. Pennington; Florian Otto; Peter J. Parker; Michael J. Owen; Lisardo Bos...,Matched: Macrophages from PKCε−/− Mice Generate Reduced NO and Express Lower Le,cat /papers/PMC2195971/content.lines --lines 50-51,2001-11-05,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2195971/,"This study investigated the role of Protein Kinase Cε (PKCε) in macrophage activation and bacterial infection. PKCε is essential for macrophage response to bacterial stimuli and host defense, with its absence leading to increased mortality."
Nitric oxide produced by NOS2 copes with the cytotoxic effects of superoxide in macrophages,Sho Kobayashi; Takujiro Homma; Junichi Fujii,Matched: NO production was elevated in WT and SOD1-deficient macrophages upon L,cat /papers/PMC7905073/content.lines --lines 63-64,2021-02-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7905073/,"This study investigated the role of nitric oxide (NO) in protecting macrophages from superoxide toxicity. NO produced by NOS2 was found to counteract superoxide's cytotoxic effects, particularly under inflammatory conditions."
Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,"S. Dey, D. Boucher, J. W. Pitchford, D. Lagos *",Matched: Macrophage community AIH is dependent on LPS dose,cat /papers/bio_206e5a356c66/content.lines --lines 42-45,2021-09-19,,"This study mathematically models macrophage responses to LPS, analyzing single-cell protein expression. Macrophage hypo-responsiveness to secondary LPS challenges is driven by altered transition rates to non-responsive states."
Lipopolysaccharide-Induced Nitric Oxide and Prostaglandin E2 Production Is Inhibited by Tellimagrandin II in Mouse and Human Macrophages,Chun-Yu Lin; Shih-Han Kao; Ling-Chien Hung; Hsin-Ju Chien; Wen-Hung Wang; Yu-Wei Chang; Yen-Hsu Chen,Matched: 3.2. TGII Reduces LPS-Stimulated NO Production in Macrophages by Regul,cat /papers/PMC8146495/content.lines --lines 40,2021-04-30,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8146495/,Tellimagrandin II was studied for its anti-inflammatory effects on macrophages stimulated by lipopolysaccharide. TGII significantly inhibited nitric oxide and prostaglandin E2 production by reducing key inflammatory signaling pathways.
"Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS",Shoumit Dey; Dave Boucher; Jon Pitchford; Dimitris Lagos,Matched: LPS challenge,cat /papers/PMC9411976/content.lines --lines 29-30,2022-07-25,https://doi.org/10.12688/wellcomeopenres.17557.2,Mathematical models explored macrophage states and their responses to LPS. Macrophage hypo-responsiveness to a second LPS challenge is driven by altered transition rates between activation states.
Species-Specific Transcriptional Regulation of Genes Involved in Nitric Oxide Production and Arginine Metabolism in Macrophages,Rachel Young; Stephen J. Bush; Lucas Lefevre; Mary E. B. McCulloch; Zofia M. Lisowski; Charity Muriu...,Matched: The bovine NOS2 BOV-A2 element is LPS responsive,cat /papers/PMC6245571/content.lines --lines 43,2018-11-05,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6245571/,"This study analyzed gene expression related to nitric oxide production in macrophages from various species. Macrophage responses to LPS stimulation, including NOS2 induction, are not conserved across species and may be influenced by retrotransposon insertions."
Selective PPARδ Agonist GW501516 Protects Against LPS-Induced Macrophage Inflammation and Acute Liver Failure in Mice via Suppressing Inflammatory Mediators,Hyun-Joung Lim; Hyun Jeong Kwak,Matched: 2.3. GW501516 Suppresses NOS2 Expression in LPS-Activated RAW264.7 Cel,cat /papers/PMC11547330/content.lines --lines 20,2024-11-02,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11547330/,"GW501516, a PPARδ agonist, was studied for its effects on macrophage inflammation and acute liver failure. It protected against liver injury by suppressing inflammatory mediators, including IL-1β, IL-6, and TNF-α."
"Pheophytin a Inhibits Inflammation via Suppression of LPS-Induced Nitric Oxide Synthase-2, Prostaglandin E2, and Interleukin-1β of Macrophages",Chun-Yu Lin; Chien-Hsing Lee; Yu-Wei Chang; Hui-Min Wang; Chung-Yi Chen; Yen-Hsu Chen,Matched: 3.10. NOS2 Promoter Activity Assay,cat /papers/PMC4284740/content.lines --lines 56,2014-12-09,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4284740/,Pheophytin a was studied for its anti-inflammatory effects on macrophages. It was found to suppress key inflammatory mediators like nitric oxide and prostaglandin E2 by inhibiting specific signaling pathways.
"Lipopolysaccharide-Induced Nitric Oxide, Prostaglandin E2, and Cytokine Production of Mouse and Human Macrophages Are Suppressed by Pheophytin-b",Chun-Yu Lin; Wen-Hung Wang; Shin-Huei Chen; Yu-Wei Chang; Ling-Chien Hung; Chung-Yi Chen; Yen-Hsu Ch...,Matched: 1. Introduction,cat /papers/PMC5751240/content.lines --lines 13-14,2017-12-06,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5751240/,"Pheophytin-b was studied for its anti-inflammatory effects on lipopolysaccharide-stimulated macrophages. It suppressed nitric oxide, prostaglandin E2, and cytokine production by inhibiting STAT-1 and PI3K/Akt pathways."
Inducible nitric oxide synthase-derived extracellular nitric oxide flux regulates proinflammatory responses at the single cell level,Veena Somasundaram; Anne C. Gilmore; Debashree Basudhar; Erika Mariana Palmieri; David A. Scheiblin;...,Matched: Different proinflammatory stimuli induce distinct extracellular NO flu,cat /papers/PMC6920088/content.lines --lines 21-22,2019-11-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6920088/,"This study investigated how nitric oxide (NO) flux from inducible NO synthase (iNOS) affects proinflammatory macrophages. High NO flux, restricted to specific cells, limits hypoxic gradients and influences macrophage function, impacting tumor progression."
