rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC8511489,Pathogenic Roles of CXCL10 in Experimental Autoimmune Prostatitis by Modulating Macrophage Chemotaxis and Cytokine Secretion,success,no,no,,,,,
2,PMC7844264,Inhibition of the CXCL9-CXCR3 axis suppresses the progression of experimental apical periodontitis by blocking macrophage migration and activation,success,no,yes,Cxcl10 was also increased at days 7 and 14 but decreased at day 28.,"Briefly, cell suspensions were divided into four groups in a 6-well plate, cultured for 1 h, and then washed twice to remove non-adherent cells and used as peritoneal macrophages.",Cxcl10;CXCL10,,yes->no: evidence does not name LPS or infection
3,PMC5207674,CXCL10/IP-10 Neutralization Can Ameliorate Lipopolysaccharide-Induced Acute Respiratory Distress Syndrome in Rats,success,yes,yes,"After 12 h of LPS injection, the relative mRNA expression of CXCL10 and CXCR3 (34.60±9.76 and 1.57±0.32 respectively) were significantly increased compared with the saline control group (p<0.01) (Fig 3A and 3B).","12 h after LPS or saline was administered, the right lower lungs were obtained.",Cxcl10;CXCL10,LPS,
4,PMC11049839,Anti-Neuroinflammatory Effects of a Macrocyclic Peptide-Peptoid Hybrid in Lipopolysaccharide-Stimulated BV2 Microglial Cells,success,yes,yes,The LPS stimulation of BV2 microglial cells significantly upregulated the expression and release of CXCL10.,L33,Cxcl10;CXCL10,LPS,
5,PMC12847007,Macrophage TRIM21 lactylation exacerbates infection-induced orchitis through enhancing STAT1-mediated CXCL9 and CXCL10 production,success,yes,yes,"As expected, the expression of Cxcl9 and Cxcl10 was substantially increased in the testis after UPEC or LPS treatment, while Ccl17 or Ccl22 exhibited no significant difference.",,Cxcl10;CXCL10,LPS,
6,PMC8924054,Evidence for investigating GSK-3 inhibitors as potential therapeutics for severe COVID-19,success,yes,yes,"S2, but not S1, as well as LPS (positive control) induced significant CXCL10 at the conditions tested (Fig. 1C).","THP-1 macrophages were treated with S, S2, S1, 1 EU/mL ultrapure LPS, or media alone for 6 h and the level of CXCL10 in the supernatants subsequently determined.",Cxcl10;CXCL10,LPS,
7,PMC7833212,Advanced glycation end-products reduce lipopolysaccharide uptake by macrophages,success,yes,yes,"We confirmed that the remarkably increased CXCL10 production in the culture supernatants were able to be detected by exposure to LPS for 24 h but not 4, 8 and 16 h (Fig 2C).","(C) Time course of CXCL10 levels in the culture supernatants obtained from cells treated with LPS at 1 ΓΕg/mL (n = 6, Dunnett’s test).",Cxcl10;CXCL10,LPS,
8,PMC4075230,The role of CXCL10 in the pathogenesis of experimental septic shock,success,yes,yes,Concentrations of CXCL10 increased in plasma and the peritoneal cavity within 4 hours after CLP and remained elevated at 8 and 16 hours with the highest concentrations being measured at 8 hours after CLP (Figure 1).,"Septic shock was induced by cecal ligation and puncture (CLP) in mice resuscitated with lactated Ringer’s solution and, in some cases, the broad spectrum antibiotic Primaxin.",Cxcl10;CXCL10,CLP;Septic;cecal ligation,
9,PMC6935231,Lipopolysaccharide worsens the prognosis of experimental cerebral ischemia via interferon gamma-induced protein 10 recruit in the acute stage,success,no,yes,"As shown in Fig. 6a, the mRNA level of CXCL 10 in Sham + LPS, MCAO and MCAO + LPS group was significant 4.36-fold, 8.31-fold and 14.73-fold changes respectively compared with that in Sham group.","Lipopolysaccharide (LPS, serotype: 055: B5, Sigma L2880) was administered intraperitoneally at doses of 40 ΓΘ/ 300 g rat (134 ΓΘ/kg) or 80 ΓΘ/ 300 g rat (268 ΓΘ/kg) immediately after MCAO surgery [14–16].",,LPS;Lipopolysaccharide,yes->no: evidence does not name the gene
10,PMC10594718,"CXCL10 deficiency limits macrophage infiltration, preserves lung matrix, and enables lung growth in bronchopulmonary dysplasia",success,no,no,,,,,
