title,authors,id,source,date,url,abstract
Adventitial macrophage accumulation impairs perivascular nerve function in mesenteric arteries with inflammatory bowel disease,"Elizabeth A. Grunz, Benjamin W. Jones, Olubodun Lateef, Sidharth Sen, Katie Wilkenson, Trupti Joshi,...",Matched: # Supplementary Table 1. Complete listing of differentially expressed,cat /papers/bio_582891fd6ece/content.lines --lines 385-388,2023-04-04,,"Adventitial macrophages accumulate in mesenteric arteries with inflammatory bowel disease, impairing perivascular nerve function. Depleting these macrophages restores normal nerve-mediated vasodilation and vasoconstriction."
LPS Counter Regulates RNA Expression of Extracellular Proteases and Their Inhibitors in Murine Macrophages,"Andreas Hald, Birgitte Rønø, Leif R. Lund, Kristoffer L. Egerod",PMC3317238,PMC,2012-01-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3317238/,"LPS stimulation of murine macrophages was studied for its effect on extracellular protease and inhibitor gene expression. LPS differentially regulates matrix metalloproteinases and serine proteases, impacting extracellular matrix degradation."
N6-methyladenosine of Spi2a attenuates inflammation and sepsis-associated myocardial dysfunction in mice,Xiangyu Wang; Yan Ding; Ran Li; Rujun Zhang; Xuejun Ge; Ruifang Gao; Miao Wang; Yubing Huang; Fang Z...,Matched: Human orthologue SERPINA3 suppresses LPS-induced cytokines in human ma,cat /papers/PMC9979126/content.lines --lines 49-50,2023-03-02,https://doi.org/10.1038/s41467-023-36865-7,"Spi2a's m6A methylation attenuates inflammation and myocardial dysfunction in sepsis. This methylation inactivates the NF-κB pathway, reducing pro-inflammatory cytokine production and organ damage."
Genome-wide siRNA screen of genes regulating the LPS-induced TNF-α response in human macrophages,Jing Sun; Samuel Katz; Bhaskar Dutta; Ze Wang; Iain D.C. Fraser,Matched: Screening reagents,cat /papers/PMC5332009/content.lines --lines 34-37,2017-03-01,https://doi.org/10.1038/sdata.2017.7,A genome-wide siRNA screen identified genes regulating the LPS-induced TNF-α response in human macrophages. Novel hits broadly affect innate inflammatory responses to microbial stimuli.
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,"Marco Orecchioni, Yanal Ghosheh, Akula Bala Pramod, Klaus Ley",PMC6543837,Frontiers in Immunology,2019-05-24,https://doi.org/10.3389/fimmu.2019.01084,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,"Sobia Raza, Mark W. Barnett, Zohar Barnett-Itzhaki, Ido Amit, David A. Hume, Tom C. Freeman",PMC4378362,Journal of Leukocyte Biology,2014-08-01,https://doi.org/10.1189/jlb.6HI0313-169R,Transcriptomic data was analyzed to understand macrophage activation by inflammatory mediators. The LPS response can be divided into more co-regulated gene subsets than previously thought.
Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,Marco Orecchioni; Yanal Ghosheh; Akula Bala Pramod; Klaus Ley,PMC7053374,Frontiers in Immunology,2020-02-25,https://doi.org/10.3389/fimmu.2020.00234,
Monocyte normal immune response to LPS stimulation,P Myrianthefs; K Venetsanou; E Grouzi; E Boutzouka; P Evagelopoulou; G Fildissis; I Spiliotopoulou; ...,PMC3333514,Critical Care,2002-03-01,https://doi.org/10.1186/cc1554,
Epigenetic profile in lipopolysaccharide-stimulated macrophages,Ester Correia Sarmento Rios; Thais Martins Lima Salgado; Francisco Garcia Soriano,PMC3953056,Critical Care,2013-11-05,https://doi.org/10.1186/cc12987,
The Transcription Factor C/EBP-β Mediates Constitutive and LPS-Inducible Transcription of Murine SerpinB2,Ekemini A. Udofa; Brett W. Stringer; Padmaja Gade; Donna Mahony; Marguerite S. Buzza; Dhananjaya V. ...,Matched: The SerpinB2 Gene is Highly Responsive to LPS,cat /papers/PMC3589482/content.lines --lines 41-42,2013-03-05,https://doi.org/10.1371/journal.pone.0057855,The murine SerpinB2 promoter was analyzed for LPS-inducible regulatory regions. C/EBP-β mediates both constitutive and LPS-induced SerpinB2 transcription.
