title,authors,id,source,date,url,abstract
Calhm6 Governs Macrophage Polarization Through Chp1‐Camk4‐Creb1 Axis and Ectosomal Delivery in Inflammatory Responses,Yanlong Xin; Xiaofan Xiong; Yan Zhang; Siyu Zhang; Shuting Zhang; Yu Yang; Yingxue Liang; Lulu Zang;...,Matched: Ectosomes Carrying Calhm6 Suppress Severe Inflammation in Response to,cat /papers/PMC12766987/content.lines --lines 24-25,2025-09-26,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12766987/,"Calhm6-bearing ectosomes were studied for their role in macrophage polarization and inflammatory responses. These ectosomes promote anti-inflammatory M2 polarization, while Calhm6 deficiency leads to pro-inflammatory M1 polarization."
HDAC6 Deacetylase Activity Is Critical for Lipopolysaccharide-Induced Activation of Macrophages,Bing Yan; Songbo Xie; Zhu Liu; Jie Ran; Yuanyuan Li; Jian Wang; Yang Yang; Jun Zhou; Dengwen Li; Min...,Matched: Abstract,cat /papers/PMC4199742/content.lines --lines 1-7,2014-10-16,https://doi.org/10.1371/journal.pone.0110718,"This study investigated the role of HDAC6 in lipopolysaccharide-induced macrophage activation. HDAC6 deacetylase activity is critical for this activation, mediated by its effects on cell adhesion and microtubule acetylation, not F-actin."
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,"Marco Orecchioni, Yanal Ghosheh, Akula Bala Pramod, Klaus Ley",PMC6543837,Frontiers in Immunology,2019-05-24,https://doi.org/10.3389/fimmu.2019.01084,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,Marco Orecchioni; Yanal Ghosheh; Akula Bala Pramod; Klaus Ley,PMC7053374,PMC,2020-02-25,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7053374/,
Macrophages release neuraminidase and cleaved calreticulin for programmed cell removal,Allison Banuelos; Michelle Baez; Allison Zhang; Leyla Yılmaz; William Kasberg; Regan Volk; Nardin Ge...,Matched: LPS Activation Promotes CALR Translocation to the Cell Surface and Sec,cat /papers/PMC12130849/content.lines --lines 17-19,2025-05-21,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12130849/,Macrophages release cleaved calreticulin and neuraminidase to mark cells for removal. This coordinated process facilitates target cell recognition and clearance by macrophages.
Epigenetic profile in lipopolysaccharide-stimulated macrophages,Ester Correia Sarmento Rios; Thais Martins Lima Salgado; Francisco Garcia Soriano,PMC3953056,Critical Care,2013-11-05,https://doi.org/10.1186/cc12987,
The ion channel CALHM6 controls bacterial infection‐induced cellular cross‐talk at the immunological synapse,Sara Danielli; Zhongming Ma; Eirini Pantazi; Amrendra Kumar; Benjamin Demarco; Fabian A Fischer; Ush...,Matched: Single‐cell calcium imaging,cat /papers/PMC10068325/content.lines --lines 275-277,2023-03-02,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10068325/,"CALHM6's role in regulating early innate control of Listeria monocytogenes infection was studied in mice. CALHM6 facilitates ATP release at the macrophage-NK cell synapse, controlling NK cell activation kinetics."
Store-operated calcium entry facilitates LPS-induced superoxide anion-dependent macrophage extracellular traps,Thang Ngoc Nguyen; Tzu-Chien Lin; Waratchaya Chimphlee; Kon Xuen Siew; Naphatsawan Vongmanee; Shih-C...,Matched: Funding,cat /papers/PMC12308322/content.lines --lines 68,2025,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12308322/,"This study investigated the role of calcium in LPS-induced macrophage extracellular traps (METs). Store-operated calcium entry (SOCE) facilitates superoxide anion generation, leading to METosis."
Resolving macrophage polarization through distinct Ca2+ entry channel that maintains intracellular signaling and mitochondrial bioenergetics,Viviane Nascimento Da Conceicao; Yuyang Sun; Karthik Ramachandran; Arun Chauhan; Amritha Raveendran;...,Matched: Characterization of store-operated Ca2+ channels in naive bone marrow-,cat /papers/PMC8591423/content.lines --lines 20,2021-10-23,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8591423/,"Distinct calcium entry channels, Orai1 for M2 and TRPC1 for M1, regulate macrophage polarization. These channels are crucial for signaling, mitochondrial function, and cytokine production, influencing inflammatory responses."
Ionized calcium‐binding adaptor molecule 1 positive macrophages and HO‐1 up‐regulation in intestinal muscularis resident macrophages,Hanne B. Mikkelsen; Jan D. Huizinga; Jytte O. Larsen; Svend Kirkeby,Matched: Animals,cat /papers/PMC5484384/content.lines --lines 23,2017-02-12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5484384/,"Resident macrophages in the intestinal muscularis externa were studied after LPS stimulation. LPS up-regulates HO-1 in a subset of these macrophages, suggesting a pro-inflammatory response."
Monocyte normal immune response to LPS stimulation,P Myrianthefs; K Venetsanou; E Grouzi; E Boutzouka; P Evagelopoulou; G Fildissis; I Spiliotopoulou; ...,PMC3333514,Critical Care,2002-03-01,https://doi.org/10.1186/cc1554,
Inhibition of Extracellular Calcium Influx Results in Enhanced IL-12 Production in LPS-Treated Murine Macrophages by Downregulation of the CaMKKβ-AMPK-SIRT1 Signaling Pathway,Xin Liu; Ning Wang; Yuanfeng Zhu; Yongjun Yang; Xiaoli Chen; Shijun Fan; Qian Chen; Hong Zhou; Jiang...,Matched: 2.2. Cell Treatment,cat /papers/PMC4904125/content.lines --lines 17,2016-05-30,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4904125/,Extracellular calcium influx was studied in LPS-treated macrophages and found to inhibit IL-12 production. Blocking this influx enhances IL-12 by downregulating the CaMKKβ-AMPK-SIRT1 pathway.
Structure and assembly of calcium homeostasis modulator proteins,Johanna L Syrjanen; Kevin Michalski; Tsung-Han Chou; Timothy Grant; Shanlin Rao; Noriko Simorowski; ...,PMC7015811,PMC,2020-01-27,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7015811/,"Structures of chicken CALHM1 and human CALHM2 channels were determined using cryo-EM. CALHM1 forms 8-mers and CALHM2 forms 11-mers, with CALHM2's larger pore potentially accommodating lipids."
