title,authors,id,source,date,url,abstract
Macrophage Migration and Invasion Is Regulated by MMP10 Expression,Megan Y. Murray; Timothy P. Birkland; Jonathan D. Howe; Andrew D. Rowan; Mark Fidock; William C. Par...,Matched: LPS Differentially Regulates the Expression of Metalloproteinases in B,cat /papers/PMC3653827/content.lines --lines 42-63,2013-05-14,https://doi.org/10.1371/journal.pone.0063555,"This study investigated the role of MMP10 in macrophage migration and invasion. MMP10 expression promotes macrophage movement and invasion, with implications for pathologies involving macrophage activity."
Proinflammatory cytokines and lipopolysaccharides up regulate MMP-3 and MMP-13 production in Asian elephant (Elephas maximus) chondrocytes: attenuation by anti-arthritic agents,Nutnicha Sirikaew; Siriwadee Chomdej; Siriwan Tangyuenyong; Weerapongse Tangjitjaroen; Chaleamchat S...,Matched: LPS induced the expression of MMP3 and MMP13 along with proinflammator,cat /papers/PMC6873576/content.lines --lines 31-34,2019-11-21,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6873576/,Proinflammatory cytokines and lipopolysaccharides increase MMP-3 and MMP-13 production in elephant chondrocytes. These increases are reduced by common anti-arthritic drugs and natural compounds.
Regulation of matrix metalloproteinase-3 gene expression in inflammation: A molecular study,Kavalipurapu Venkata Teja; Sindhu Ramesh; Vishnu Priya,Matched: Cell culture,cat /papers/PMC6249951/content.lines --lines 21,2018,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6249951/,This study investigated the regulation of MMP-3 gene expression in macrophages during inflammation. Results showed significantly increased MMP-3 mRNA levels in response to inflammatory stimuli.
Classical Macrophage Activation Up-Regulates Several Matrix Metalloproteinases through Mitogen Activated Protein Kinases and Nuclear Factor-κB,Wei-Chun Huang; Graciela B. Sala-Newby; Angela Susana; Jason L. Johnson; Andrew C. Newby,Matched: Effects of LPS and IFNγ separately and comparison with other classical,cat /papers/PMC3411745/content.lines --lines 126-127,2012-08-03,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3411745/,Classical macrophage activation up-regulates several matrix metalloproteinases (MMPs) and down-regulates TIMP-3. This process involves mitogen-activated protein kinases and NF-κB signaling.
Sirtuin 1 regulates matrix metalloproteinase-13 expression induced by Porphyromonas endodontalis lipopolysaccharide via targeting nuclear factor–κB in osteoblasts,Liu Qu; Yaqiong Yu; Lihong Qiu; Di Yang; Lu Yan; Jiajie Guo; Rabita Jahan,Matched: P.e LPS–induced MMP-13 expression in MC3T3-E1 cells,cat /papers/PMC5405711/content.lines --lines 36-37,2017-04-21,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5405711/,This study investigated how Sirtuin 1 (SIRT1) affects matrix metalloproteinase-13 (MMP-13) expression in osteoblasts stimulated by *Porphyromonas endodontalis* lipopolysaccharide (P.e LPS). SIRT1 suppresses P.e LPS-induced MMP-13 expression by targeting nuclear factor-κB.
Matrix metalloproteinase 13 modulates intestinal epithelial barrier integrity in inflammatory diseases by activating TNF,Roosmarijn E Vandenbroucke; Eline Dejonckheere; Filip Van Hauwermeiren; Sofie Lodens; Riet De Rycke;...,Matched: MMP13 deficiency protects mice from LPS-induced systemic inflammation,cat /papers/PMC3721470/content.lines --lines 20-21,2013-05-30,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3721470/,"Matrix metalloproteinase 13 (MMP13) was studied for its role in intestinal barrier integrity during inflammatory diseases. MMP13 promotes barrier dysfunction by activating TNF, suggesting it as a potential drug target."
LPS stimulation during HCV infection induces MMP/TIMP1 imbalance in macrophages,Chao Fan; Xiaoxiao Zhang; Peixin Zhang; Jieru Zhao; Huanjun Shen; Ying Zhang; Xingan Wu; Zhansheng J...,Matched: TIMP1 in PBMCs differed between high- and low-LPS patients,cat /papers/PMC7451043/content.lines --lines 45-46,2020-04-03,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7451043/,This study investigated LPS stimulation effects on macrophages during HCV infection. Increased LPS stimulation leads to MMP/TIMP1 imbalance and collagen I deposition due to endotoxin cross-tolerance.
Osteoarthritis patients with high haemoglobin A1c have increased Toll-like receptor 4 and matrix metalloprotease-13 expression in the synovium,Kosuke Murata; Kentaro Uchida; Shotaro Takano; Shintaro Shoji; Dai Iwase; Gen Inoue; Jun Aikawa; Yuj...,"Matched: Effect of TLR4 ligand, LPS, on MMP13 expression and MMP13 production",cat /papers/PMC6642645/content.lines --lines 81-82,2019-07-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6642645/,This study examined Toll-like receptor and matrix metalloprotease expression in the synovium of osteoarthritis patients with varying HbA1c levels. High HbA1c was associated with increased expression of TLR4 and MMP13 in the synovium.
LPS Counter Regulates RNA Expression of Extracellular Proteases and Their Inhibitors in Murine Macrophages,"Andreas Hald, Birgitte Rønø, Leif R. Lund, Kristoffer L. Egerod",Matched: 1. Introduction,cat /papers/PMC3317238/content.lines --lines 11-14,2012-01-01,https://doi.org/10.1155/2012/157894,"LPS stimulation of murine macrophages was studied for its effect on extracellular protease and inhibitor gene expression. LPS differentially regulates matrix metalloproteinases and serine proteases, impacting extracellular matrix degradation."
Biochemical alterations in inflammatory reactive chondrocytes: evidence for intercellular network communication,Eva Skiöldebrand; Anna Thorfve; Ulrika Björklund; Pegah Johansson; Ruth Wickelgren; Anders Lindahl; ...,Matched: Activated MMP-13 release,cat /papers/PMC5857518/content.lines --lines 50-56,2018-02-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5857518/,"This study investigated biochemical changes in chondrocytes stimulated with inflammatory inducers. Inflammatory induction altered cytoskeleton, calcium signaling, and increased expression of inflammatory markers, resembling responses in other cell networks."
