title,authors,id,source,date,url,abstract
Calhm6 Governs Macrophage Polarization Through Chp1‐Camk4‐Creb1 Axis and Ectosomal Delivery in Inflammatory Responses,Yanlong Xin; Xiaofan Xiong; Yan Zhang; Siyu Zhang; Shuting Zhang; Yu Yang; Yingxue Liang; Lulu Zang;...,Matched: Ectosomes Carrying Calhm6 Suppress Severe Inflammation in Response to,cat /papers/PMC12766987/content.lines --lines 24-25,2025-09-26,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12766987/,"Calhm6-bearing ectosomes were studied for their role in macrophage polarization and inflammatory responses. These ectosomes promote anti-inflammatory M2 polarization, while Calhm6 deficiency leads to pro-inflammatory M1 polarization."
HDAC6 Deacetylase Activity Is Critical for Lipopolysaccharide-Induced Activation of Macrophages,Bing Yan; Songbo Xie; Zhu Liu; Jie Ran; Yuanyuan Li; Jian Wang; Yang Yang; Jun Zhou; Dengwen Li; Min...,Matched: Abstract,cat /papers/PMC4199742/content.lines --lines 1-7,2014-10-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4199742/,"This study investigated the role of HDAC6 in lipopolysaccharide-induced macrophage activation. HDAC6 deacetylase activity is critical for this activation, mediated by its effects on cell adhesion and microtubule acetylation, not F-actin."
Macrophages release neuraminidase and cleaved calreticulin for programmed cell removal,Allison Banuelos; Michelle Baez; Allison Zhang; Leyla Yılmaz; William Kasberg; Regan Volk; Nardin Ge...,Matched: LPS Activation Promotes CALR Translocation to the Cell Surface and Sec,cat /papers/PMC12130849/content.lines --lines 17-19,2025-05-21,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12130849/,Macrophages release cleaved calreticulin and neuraminidase to mark cells for removal. This coordinated process facilitates target cell recognition and clearance by macrophages.
The orientation of choroidal macrophage polarization significantly influences the development of myopia in murine models,"Jing Hou, Shin-ichi Ikeda, Kiwako Mori, Heonuk Jeong, Hidemasa Torii, Kazuno Negishi, Kazuo Tsubota ...",Matched: LPS treatment,cat /papers/bio_b06931d16f63/content.lines --lines 60,2023-06-12,,Choroidal macrophages were studied for their role in myopia development. Their polarization towards M1 or M2 phenotypes significantly influences choroidal thickness and myopia progression.
"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",Leah Elson; Niels Eijkelkamp; J. Henk Coert,Matched: Study overview,cat /papers/PMC13372918/content.lines --lines 44-48,2026-07-15,https://doi.org/10.1007/s00011-026-02317-3,This systematic review synthesized evidence for a conserved lipopolysaccharide (LPS)-mediated pathogenic mechanism across diverse tissues and evaluated its potential relevance to peripheral neuropathy
Induction of unique macrophage subset by simultaneous stimulation with LPS and IL-4,Kei Ishida; Takahiro Nagatake; Azusa Saika; Soichiro Kawai; Eri Node; Koji Hosomi; Jun Kunisawa,Matched: Photographs of each macrophage,cat /papers/PMC10167635/content.lines --lines 39,2023-04-21,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10167635/,"This study analyzed macrophages induced by simultaneous LPS and IL-4 stimulation. These macrophages exhibited unique properties, blending M1 and M2 characteristics with distinct energy metabolism."
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,"Marco Orecchioni, Yanal Ghosheh, Akula Bala Pramod, Klaus Ley",Matched: Introduction,cat /papers/PMC6543837/content.lines --lines 14-15,2019-05-24,https://doi.org/10.3389/fimmu.2019.01084,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy,Diletta Ami; Ana Rita Franco; Valentina Artusa; Paolo Mereghetti; Francesco Peri; Antonino Natalello,Matched: 1. Introduction,cat /papers/PMC9656053/content.lines --lines 10-12,2022-11-03,https://doi.org/10.3390/ijms232113447,"Fourier transform infrared microspectroscopy analyzed THP-1 derived macrophages treated with LPS. The study identified spectral markers in lipids, proteins, and sulfated sugars, highlighting their role in inflammation."
Transcriptional profiling of the LPS induced NF-κB response in macrophages,"Omar Sharif, Viacheslav N Bolshakov, Stephanie Raines, Peter Newham, Neil D Perkins",Matched: Analysis of LPS-induced gene expression in the THP-1 macrophage cell l,cat /papers/PMC1781469/content.lines --lines 26,2007-01-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1781469/,"This study profiled gene expression in macrophages after LPS exposure. LPS induced a dynamic, time-dependent transcriptional response, with THP-1 cells closely mimicking primary macrophages."
Ionized calcium‐binding adaptor molecule 1 positive macrophages and HO‐1 up‐regulation in intestinal muscularis resident macrophages,Hanne B. Mikkelsen; Jan D. Huizinga; Jytte O. Larsen; Svend Kirkeby,Matched: Animals,cat /papers/PMC5484384/content.lines --lines 23,2017-02-12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5484384/,"Resident macrophages in the intestinal muscularis externa were studied after LPS stimulation. LPS up-regulates HO-1 in a subset of these macrophages, suggesting a pro-inflammatory response."
