task_id,gene,paper_id,stratum,ledger_verdict,model_answer,downgraded,duplicate_title_in_gene
T001,Adamts4,PMC6120467,A2_boundary_yes,yes,yes,,
T002,Adamts4,PMC10671186,A2_boundary_yes,yes,yes,,
T003,Steap4,PMC8576732,A1_limited_yes,yes,yes,,
T004,Lipg,PMC6694707,B_not_found_no,no,no,,
T005,Il1b,PMC6375194,D_high_count_yes,yes,yes,,
T006,Tmem200b,PMC6990626,B_not_found_no,no,no,,
T007,Ifi205,PMC4378362,A1_limited_yes,yes,yes,,
T008,Ifi205,PMC4378362,A1_limited_yes,yes,yes,,
T009,Rasgrp1,PMC4143924,A2_boundary_yes,yes,yes,,
T010,Rasgrp1,PMC4143924,A2_boundary_yes,yes,yes,,
T011,Ptgs2,PMC12083002,D_high_count_yes,yes,yes,,
T012,Cxcl3,PMC6219809,E_random_no,no,no,,
T013,Cxcl10,PMC5207674,D_high_count_yes,yes,yes,,
T014,Itgb8,PMC5439516,B_not_found_no,no,yes,yes->no: evidence does not name the gene,
T015,Itgb8,PMC5439516,B_not_found_no,no,yes,yes->no: evidence does not name the gene,
T016,Cd69,PMC10339090,A2_boundary_yes,yes,yes,,
T017,Edn1,PMC2188743,A2_boundary_yes,yes,yes,,
T018,Ccl5,PMC9159647,D_high_count_yes,yes,yes,,
T019,Bcl2a1a,PMC11405755,C_downgraded,no,yes,yes->no: evidence does not name the gene,
T020,Bcl2a1a,PMC10626451,A1_limited_yes,yes,yes,,
T021,Bcl2a1a,PMC10626451,A1_limited_yes,yes,yes,,
T022,Col27a1,PMC10091190,B_not_found_no,no,no,,
T023,Gbp6,PMC4446742,B_not_found_no,no,no,,
T024,Il12b,PMC4433692,E_random_no,no,no,,
T025,Rasgrp1,PMC8860163,A2_boundary_yes,yes,yes,,
T026,Rasgrp1,PMC8860163,A2_boundary_yes,yes,yes,,
T027,Gbp2,bio_ea6f8a3b6c58,D_high_count_yes,yes,yes,,
T028,Cxcl2,PMC11049839,D_high_count_yes,yes,yes,,
T029,Cxcl3,PMC10341832,A2_boundary_yes,yes,yes,,
T030,Il6,PMC11784258,D_high_count_yes,yes,yes,,
T031,Ccl17,PMC10384579,A2_boundary_yes,yes,yes,,
T032,Cxcl3,PMC9225349,A2_boundary_yes,yes,yes,,
T033,Cxcl3,PMC9225349,A2_boundary_yes,yes,yes,,
T034,Ccl12,PMC9077289,C_downgraded,no,yes,yes->no: evidence does not name the gene,
T035,Slamf1,PMC11242706,E_random_no,no,no,,
T036,Bcl2a1a,PMC3405526,C_downgraded,no,yes,yes->no: evidence does not name the gene,
T037,Rsad2,PMC12357613,A1_limited_yes,yes,yes,,
T038,Hdc,PMC5763578,C_downgraded,no,yes,yes->no: evidence does not name the gene,
T039,Il27,PMC2118415,D_high_count_yes,yes,yes,,
T040,Cxcl1,PMC13243519,A2_boundary_yes,yes,yes,,
T041,Serpina3g,PMC2817383,A2_boundary_yes,yes,yes,,
T042,Serpina3g,PMC2817383,A2_boundary_yes,yes,yes,,
T043,Gbp5,PMC6113620,D_high_count_yes,yes,yes,,
T044,Cd69,PMC3953056,E_random_no,no,no,,
T045,Gbp6,PMC10104521,B_not_found_no,no,no,,
T046,Adamts4,PMC11418412,E_random_no,no,no,,
T047,Gbp6,PMC6600649,B_not_found_no,no,no,,
T048,Ptges,PMC3311437,E_random_no,no,no,,
T049,Ccl12,PMC10167364,C_downgraded,no,yes,yes->no: evidence does not name the gene,
T050,Serpina3f,PMC9979126,A1_limited_yes,yes,yes,,
T051,Nos2,PMC12572803,D_high_count_yes,yes,yes,,
T052,Lipg,PMC13172313,B_not_found_no,no,no,,
T053,Serpina3g,PMC9979126,A2_boundary_yes,yes,yes,,
T054,Serpina3g,PMC9979126,A2_boundary_yes,yes,yes,,
T055,Hdc,PMC6821885,A1_limited_yes,yes,yes,,
T056,Mmp13,PMC6249951,E_random_no,no,no,,
T057,Cxcl1,bio_e45382736c86,A2_boundary_yes,yes,yes,,
T058,Il1a,PMC4378362,D_high_count_yes,yes,yes,,
T059,Nos2,PMC4191211,E_random_no,no,no,,
T060,Trim30c,PMC4035330,B_not_found_no,no,yes,yes->no: evidence does not name the gene,
T061,Ccl4,PMC4995753,A2_boundary_yes,yes,yes,,
T062,Tarm1,PMC11702950,A1_limited_yes,yes,yes,,
T063,Tarm1,PMC11702950,A1_limited_yes,yes,yes,,
T064,Tnfsf4,PMC10091190,B_not_found_no,no,no,,
T065,Serpinb2,PMC11221169,A2_boundary_yes,yes,yes,,
T066,Tmem200b,PMC5925582,B_not_found_no,no,no,,
T067,Serpinb2,PMC10638313,A2_boundary_yes,yes,yes,,
T068,Serpinb2,PMC10638313,A2_boundary_yes,yes,yes,,
T069,Tnfsf4,PMC5332009,B_not_found_no,no,no,,
T070,Tnfsf4,PMC5332009,B_not_found_no,no,no,,
T071,Adamts4,PMC13443130,A2_boundary_yes,yes,yes,,
T072,Iigp1,PMC5785964,B_not_found_no,no,yes,yes->no: evidence does not name the gene,
T073,Ccl17,PMC4709882,A2_boundary_yes,yes,yes,,
T074,Il12b,PMC9523082,D_high_count_yes,yes,yes,,
T075,Rasgrp1,bio_eb63fe517001,A2_boundary_yes,yes,yes,,
T076,Serpinb2,PMC3317238,A2_boundary_yes,yes,yes,,
T077,Bcl2a1a,PMC10851074,A1_limited_yes,yes,yes,,
T078,Inhba,PMC12043092,A1_limited_yes,yes,yes,,
T079,Inhba,PMC12043092,A1_limited_yes,yes,yes,,
T080,Col27a1,PMC11232647,B_not_found_no,no,no,,
T081,Cd69,PMC6274997,A2_boundary_yes,yes,yes,,
T082,Lipg,PMC3296002,B_not_found_no,no,no,,
T083,Hdc,PMC7497259,A1_limited_yes,yes,yes,,
T084,Shisa3,PMC11423144,A1_limited_yes,yes,yes,,
T085,Ccl12,PMC5436279,A1_limited_yes,yes,yes,,
T086,Slamf1,PMC6963180,A2_boundary_yes,yes,yes,,
T087,Saa3,PMC2188489,D_high_count_yes,yes,yes,,
