title,authors,id,source,date,url,abstract
Complementation of Lymphotoxin α Knockout Mice with Tumor Necrosis Factor–expressing Transgenes Rectifies Defective Splenic Structure and Function,Lena Alexopoulou; Manolis Pasparakis; George Kollias,Matched: Measurement of TNF Production after LPS Stimulation.,cat /papers/PMC2213356/content.lines --lines 21,1998-08-17,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2213356/,"LTα knockout mice were complemented with TNF-expressing transgenes to study splenic structure and function. This restored B/T cell zone segregation and partially preserved B cell follicles, FDC networks, and germinal centers."
Antagonism of the histamine H4 receptor reduces LPS-induced TNF production in vivo,Jeffery M. Cowden; Fuqu Yu; Mamatha Challapalli; Jing-Feng Huang; Sunhwa Kim; Wai-Ping Fung-Leung; J...,Matched: Results,cat /papers/PMC3654183/content.lines --lines 46-47,2013-03-27,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3654183/,"Histamine H4 receptor antagonists and deficiency reduced LPS-induced TNF production in mice. This suggests H4 receptor activation contributes to TLR-mediated inflammation in vivo, particularly in the liver."
Transmembrane TNFα-Expressed Macrophage Membrane-Coated Chitosan Nanoparticles as Cancer Therapeutics,Srirupa Bhattacharyya; Siddhartha Sankar Ghosh,Matched: Optimization of LPS Concentration,cat /papers/PMC6990626/content.lines --lines 41,2020-01-13,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6990626/,Macrophage membranes expressing TNFα were used to coat chitosan nanoparticles. These nanoparticles showed significant anti-cancer effects and good biocompatibility.
Macrophage priming and lipopolysaccharide-triggered release of tumor necrosis factor alpha during graft-versus-host disease,,Matched: Abstract,cat /papers/PMC2119110/content.lines --lines 1-3,1992-02-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2119110/,"This study examined macrophage activation and TNF-alpha release during graft-versus-host disease (GVHD). Macrophages are primed during GVHD, leading to lethal TNF-alpha release upon encountering endogenous lipopolysaccharide."
Lipopolysaccharide-induced selective priming effects on tumor necrosis factor alpha and nitric oxide production in mouse peritoneal macrophages,,Matched: Abstract,cat /papers/PMC2190891/content.lines --lines 1-3,1993-02-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2190891/,"Macrophages were precultured with low-dose LPS, then restimulated. This pretreatment selectively primes macrophages for differential responses to subsequent stimuli, rather than causing total refractoriness."
"Extinction of the tumor necrosis factor locus, and of genes encoding the lipopolysaccharide signaling pathway",,Matched: Abstract,cat /papers/PMC2190998/content.lines --lines 1-3,1993-05-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2190998/,"The TNF gene and LPS signaling pathway were studied in macrophage-fibroblast hybrids. Fusion activated a system that silenced TNF and LPS signaling, potentially during cell differentiation."
LPS‐stimulated NF‐κB p65 dynamic response marks the initiation of TNF expression and transition to IL‐10 expression in RAW 264.7 macrophages,Stuart Hobbs; Marinaliz Reynoso; Alyssa V. Geddis; Alexander Y. Mitrophanov; Ronald W. Matheny,Matched: LPS stimulation of IL‐10 expression occurs subsequent to TNFα expressi,cat /papers/PMC6234144/content.lines --lines 49,2018-11-13,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6234144/,"LPS stimulation kinetics of NF-κB, TNF-α, and IL-10 were studied in macrophages. NF-κB activation precedes TNF-α expression, which then transitions to IL-10 expression."
Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,"S. Dey, D. Boucher, J. W. Pitchford, D. Lagos *",Matched: Macrophage community AIH is dependent on LPS dose,cat /papers/bio_206e5a356c66/content.lines --lines 42-45,2021-09-19,,"This study mathematically models macrophage responses to LPS, analyzing single-cell protein expression. Macrophage hypo-responsiveness to secondary LPS challenges is driven by altered transition rates to non-responsive states."
AS-703026 Inhibits LPS-Induced TNFα Production through MEK/ERK Dependent and Independent Mechanisms,Ping Li; Yonghong Wu; Manxiang Li; Xiaojuan Qiu; Xiaoyan Bai; Xiaojing Zhao,Matched: 3.1. AS-703026 inhibits LPS-induced TNFα production in RAW 264.7 murin,cat /papers/PMC4575053/content.lines --lines 46-47,2015-09-18,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4575053/,"AS-703026 was studied for its effect on LPS-induced TNFα production in macrophages and human cells. The compound inhibits TNFα production through MEK/ERK dependent and independent pathways, including NFκB inhibition."
Lipopolysaccharide regulation of antiinflammatory tristetraprolin family and proinflammatory gene expression in mouse macrophages,Heping Cao,Matched: Effect of LPS on proinflammatory gene expression,cat /papers/PMC10949775/content.lines --lines 65-67,2024-03-19,https://doi.org/10.1186/s13104-024-06743-6,"Lipopolysaccharide (LPS) was studied for its effects on tristetraprolin (TTP) family and proinflammatory gene expression in mouse macrophages. LPS increased TTP, TNF, and COX2 mRNA but had minimal impact on other TTP homologues and proinflammatory cytokine genes."
