rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC6492923,IFIT1 Exerts Opposing Regulatory Effects on the Inflammatory and Interferon Gene Programs in LPS-Activated Human Macrophages,success,no,no,,,,,
2,PMC8794175,Role of interferon-induced GTPases in leishmaniasis,success,no,no,,,,,
3,PMC11606192,"IRF2 Affects LPS- and IFN-γ-Induced Pro-Inflammatory Responses, Cell Viability, Migration and Apoptosis of Macrophages by Regulating IRG1",success,no,no,,,,,
4,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,success,no,no,,,,,
5,PMC6016484,ARL11 regulates lipopolysaccharide-stimulated macrophage activation by promoting mitogen-activated protein kinase (MAPK) signaling,success,no,no,,,,,
6,PMC4163629,An essential role for IFN-β in the induction of IFN-stimulated gene expression by LPS in macrophages,success,no,no,,,,,
7,PMC4951018,Full Spectrum of LPS Activation in Alveolar Macrophages of Healthy Volunteers by Whole Transcriptomic Profiling,success,no,yes,"L96: LPS stimulated alveolar macrophages showed enrichment of interferon stimulated genes (ISGs) including ISG15, IFIT1, IFIT2, IFIT3, MX1, MX2, OAS1, OAS2, OAS3, IFNB1 in addition to antimicrobial guanylate binding proteins GBP2 (mouse homolog Gbp1), GBP4 (mouse homolog Gbp3), GBP5 (mouse homolog Gbp5), and GBP7 (mouse homolog Gbp7) (Fig 2B, S2 Table).","L25: BAL samples from five of the healthy volunteers (samples 11–15, Table 1) were cultured with RPMI1640 + 10% human AB serum and supplemented with 1% Antibiotic-Antimycotic (Life Technologies), with or without ultrapure LPS 100 ng/ml (E. coli 0111:B4, List Biological Laboratories, Cat# 421, Lot# 4217A1) at 37°C and 5% CO2 for 6 hours.",,LPS;E. coli,yes->no: evidence does not name the gene
8,PMC6600649,Human GBP1 is a microbe‐specific gatekeeper of macrophage apoptosis and pyroptosis,success,no,no,,,,,
9,PMC3019512,"Effect of LPS, dsRNA or interferons on the phagocytosis of dying cells or mycobacteria by macrophages",success,no,no,,,,,
10,PMC4378362,Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,success,no,no,,,,,
11,PMC8286824,Interferon-induced GTPases orchestrate host cell-autonomous defence against bacterial pathogens,success,no,no,,,,,
12,PMC11023693,"Type I Interferon, Induced by Adenovirus or Adenoviral Vector Infection, Regulates the Cytokine Response to Lipopolysaccharide in a Macrophage Type-Specific Manner",success,no,no,,,,,
13,PMC9656053,A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy,success,no,no,,,,,
14,PMC5358891,Analysis of the human monocyte-derived macrophage transcriptome and response to lipopolysaccharide provides new insights into genetic aetiology of inflammatory bowel disease,success,no,no,,,,,
15,PMC5593470,Role of interferon regulatory factor-1 in lipopolysaccharide-induced mitochondrial damage and oxidative stress responses in macrophages,success,no,no,,,,,
16,PMC5785964,Down-regulation of guanylate binding protein 1 causes mitochondrial dysfunction and cellular senescence in macrophages,success,no,yes,"Moreover, Gbp1 protein levels were increased in iWAT in mice after one-hour LPS treatment, without a further increase upon 6-hour LPS stimulation (L16).",L17: Figure 1: Regulation of Gbp1 expression in adipose tissue by HFD feeding and LPS stimulation.,,LPS,yes->no: evidence does not name the gene
17,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
18,PMC10419197,Lipopolysaccharide Tolerance in Human Primary Monocytes and Polarized Macrophages,success,no,no,,,,,
19,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
20,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
21,PMC12901304,Dissection of innate-immune-ligand- and interferon-protein-mediated transcriptional responses in human THP1 cell states,success,no,no,,,,,
22,PMC12518975,Six Interferon-Stimulated Genes as Biomarkers of M1 Macrophage Polarization in Psoriasis,success,no,no,,,,,
23,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,no,,,,,
24,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
25,PMC10643899,"IRF1 Is Required for MDA5 (IFIH1) Induction by IFN-α, LPS, and poly(I:C) in Murine Macrophages",success,no,no,,,,,
