title,authors,id,source,date,url,abstract
Responses to Microbial Challenges by SLAMF Receptors,Boaz Job van Driel; Gongxian Liao; Pablo Engel; Cox Terhorst,Matched: SLAMF Receptors Alter Cytokine Production by Phagocytes,cat /papers/PMC4718992/content.lines --lines 64-65,2016-01-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4718992/,"This review examines how SLAMF receptors sense and respond to microbial challenges. These receptors modulate immune cell functions, influencing microbicidal activity and phagocyte migration."
"Lipopolysaccharide (LPS)-induced Macrophage Activation and Signal Transduction in the Absence of Src-Family Kinases Hck, Fgr, and Lyn",Fanying Meng; Clifford A. Lowell,PMC2196288,The Journal of Experimental Medicine,1997-05-05,https://doi.org/10.1084/jem.185.9.1661,"This study investigated LPS-induced macrophage activation in mice lacking Src-family kinases Hck, Fgr, and Lyn. Macrophages from these mice showed no major defects in LPS-induced activation, indicating these kinases are not obligatory for LPS signaling."
The Cell Surface Receptor SLAM Controls T Cell and Macrophage Functions,Ninghai Wang; Abhay Satoskar; William Faubion; Duncan Howie; Susumu Okamoto; Stefan Feske; Charles G...,Matched: Impaired Responses to LPS by SLAM−/− Macrophages.,cat /papers/PMC2211908/content.lines --lines 60-62,2004-05-03,https://doi.org/10.1084/jem.20031835,"SLAM controls T cell IL-4 secretion and macrophage cytokine production. SLAM deficiency impairs parasite clearance, highlighting its role in innate and acquired immunity."
SLAM Family Receptors Regulate Immunity with and without SAP-related Adaptors,André Veillette,Matched: Defects in CD4+ T Cell and Macrophage Functions in SLAM-deficient Mice,cat /papers/PMC2211906/content.lines --lines 19-20,2004-05-03,https://doi.org/10.1084/jem.20040588,"This study investigated the immune phenotypes of mice lacking SLAM and 2B4 receptors. The findings demonstrate the critical role of these SLAM family receptors in regulating T cell, macrophage, and NK cell functions."
SLAMF1 is required for TLR4-mediated TRAM-TRIF–dependent signaling in human macrophages,Maria Yurchenko; Astrid Skjesol; Liv Ryan; Gabriel Mary Richard; Richard Kumaran Kandasamy; Ninghai ...,Matched: ROS activation assay,cat /papers/PMC5881497/content.lines --lines 169,2018-04-02,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5881497/,"SLAMF1's role in TLR4-mediated, MyD88-independent signaling in human macrophages was investigated. SLAMF1 enhances type I interferon production induced by Gram-negative bacteria."
The immune receptors TLR4 and SLAMF1 regulate TNF release by human metapneumovirus in human macrophages,Katja Sæterhaug Bye; Kristin Rian; Liv Ryan; Terje Espevik; Marit W. Anthonsen; Maria Yurchenko,Matched: TLR4 and SLAMF1 silencing in human MDMs reduces HMPV-induced TNF expre,cat /papers/PMC12672276/content.lines --lines 69-70,2025-11-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12672276/,"This study investigated how TLR4 and SLAMF1 receptors influence TNF release by human metapneumovirus in macrophages. The findings show these receptors regulate TNF and IFN-β release via p38 MAPK, suggesting a therapeutic target."
Identification and elucidation of cross talk between SLAM Family Member 7 (SLAMF7) and Toll-like receptor (TLR) pathways in monocytes and macrophages,Uyory Choe; Quynhchi Pham; Young S. Kim; Liangli Yu; Thomas T. Y. Wang,Matched: LPS stimulation affect SLAMF7 at protein level,cat /papers/PMC10329007/content.lines --lines 54-55,2023-07-07,https://doi.org/10.1038/s41598-023-37040-0,"This study investigated SLAMF7 and TLR pathway interactions in monocytes and macrophages. SLAMF7 enhances TLR-induced pro-inflammatory cytokine production, but not phagocytosis."
Peptide derived from SLAMF1 prevents TLR4-mediated inflammation in vitro and in vivo,Kaja Elisabeth Nilsen; Boyao Zhang; Astrid Skjesol; Liv Ryan; Hilde Vagle; Maren Helene Bøe; Pontus ...,Matched: Introduction,cat /papers/PMC10547912/content.lines --lines 14,2023-10-03,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10547912/,A peptide derived from SLAMF1 was studied for its anti-inflammatory properties. This peptide was found to prevent TLR4-mediated inflammation and mortality in vivo by blocking key signaling interactions.
SLAM Family Receptor Signaling in Viral Infections: HIV and Beyond,Patrick O’Connell; Andrea Amalfitano; Yasser A. Aldhamen,"Matched: 3. SLAMF1 (SLAM, CD150)",cat /papers/PMC6963180/content.lines --lines 23-24,2019-11-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6963180/,"This paper reviews SLAM family receptor signaling in immune cells and its role in viral infections, particularly HIV. These receptors, regulated by adaptor proteins, can be targeted by viruses, influencing immune responses."
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,"Marco Orecchioni, Yanal Ghosheh, Akula Bala Pramod, Klaus Ley",PMC6543837,Frontiers in Immunology,2019-05-24,https://doi.org/10.3389/fimmu.2019.01084,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
Interaction of Signaling Lymphocytic Activation Molecule Family 1 (SLAMF1) receptor with Trypanosoma cruzi is strain-dependent and affects NADPH oxidase expression and activity,Cristina Poveda; Alfonso Herreros-Cabello; Francisco Callejas-Hernández; Jesús Osuna-Pérez; María C....,Matched: Thioglycollate-elicited peritoneal macrophage infection,cat /papers/PMC7515593/content.lines --lines 31,2020-09-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7515593/,"SLAMF1 receptor interaction with *Trypanosoma cruzi* was studied using six parasite strains. This interaction influences parasite load, NADPH oxidase expression, and ROS production in a strain-dependent manner, affecting host survival."
Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,Marco Orecchioni; Yanal Ghosheh; Akula Bala Pramod; Klaus Ley,PMC7053374,Frontiers in Immunology,2020-02-25,https://doi.org/10.3389/fimmu.2020.00234,
SLAMF8 Downregulates Mouse Macrophage Microbicidal Mechanisms via PI3K Pathways,Salvador Romero-Pinedo; Domingo I. Rojas Barros; María José Ruiz-Magaña; Elena Maganto-García; Laura...,Matched: Discussion,cat /papers/PMC9273976/content.lines --lines 107-108,2022-06-28,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9273976/,"SLAMF8 deficiency in mouse macrophages enhances NADPH oxidase activation and microbicidal mechanisms. This is mediated by PI3K pathways, leading to improved Salmonella clearance."
SLAMF7 Restrains Pro-Inflammatory Macrophage Activation to Counteract Doxorubicin-Induced Cardiotoxicity,Ao Liu; Peiyuan Bai; Hongmin You; Zehao Zhuang; Fangyan Tian; Haobo Weng; Xuemei Wei; Lu Tang; Litao...,PMC12399171,PMC,2025-05-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12399171/,"SLAMF7 was studied for its role in doxorubicin-induced cardiotoxicity and macrophage inflammation. SLAMF7 restrains pro-inflammatory macrophage activation, protecting against cardiac damage."
SLAMF7 regulates the inflammatory response in macrophages during polymicrobial sepsis,Yongjian Wu; Qiaohua Wang; Miao Li; Juanfeng Lao; Huishu Tang; Siqi Ming; Minhao Wu; Sitang Gong; Li...,Matched: Supplementary Material,cat /papers/PMC10014109/content.lines --lines 70-71,2023-03-15,https://doi.org/10.1172/JCI150224,SLAMF7's expression increases in sepsis and it suppresses macrophage inflammatory signaling. SLAMF7 protects against lethal sepsis by reducing pro-inflammatory cytokines and organ damage.
Migration of Myeloid Cells during Inflammation Is Differentially Regulated by the Cell Surface Receptors Slamf1 and Slamf8,Guoxing Wang; Boaz J. van Driel; Gongxian Liao; Michael S. O’Keeffe; Peter J. Halibozek; Jacky Flips...,Matched: Slamf8 negatively regulates in vivo migration of macrophages to the in,cat /papers/PMC4370648/content.lines --lines 51-52,2015-03-23,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4370648/,This study investigated the roles of Slamf1 and Slamf8 cell surface receptors in myeloid cell migration. The findings indicate these receptors oppositely regulate migration by modulating ROS-dependent inflammatory responses.
Quantitative Proteomic Analysis of Macrophages Infected with Trypanosoma cruzi Reveals Different Responses Dependent on the SLAMF1 Receptor and the Parasite Strain,Alfonso Herreros-Cabello; Javier del Moral-Salmoral; Esperanza Morato; Anabel Marina; Beatriz Barroc...,Matched: 1. Introduction,cat /papers/PMC11242706/content.lines --lines 16-17,2024-07-08,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11242706/,"Quantitative proteomics analyzed macrophage responses to *Trypanosoma cruzi* infection, revealing strain-dependent and SLAMF1-mediated immune regulation. Different parasite strains induce distinct macrophage responses, impacting infection control and host survival."
Epigenetic profile in lipopolysaccharide-stimulated macrophages,Ester Correia Sarmento Rios; Thais Martins Lima Salgado; Francisco Garcia Soriano,PMC3953056,Critical Care,2013-11-05,https://doi.org/10.1186/cc12987,
Expression of Siglec-E Alters the Proteome of Lipopolysaccharide (LPS)-Activated Macrophages but Does Not Affect LPS-Driven Cytokine Production or Toll-Like Receptor 4 Endocytosis,Manjula Nagala; Emma McKenzie; Hannah Richards; Ritu Sharma; Sarah Thomson; Pietro Mastroeni; Paul R...,Matched: Isolation of Peritoneal Macrophages,cat /papers/PMC5775731/content.lines --lines 26,2018-01-15,https://doi.org/10.3389/fimmu.2017.01926,Siglec-E expression was studied in LPS-activated macrophages. Siglec-E alters macrophage proteomes but does not affect LPS-driven cytokine production or TLR4 endocytosis.
SLAMF7 engagement super-activates macrophages in acute and chronic inflammation,"Daimon P. Simmons, Hung N. Nguyen, Emma Gomez-Rivas, Yunju Jeong, Antonia F. Chen, Jeffrey K. Lange,...",Matched: Primer List,cat /papers/bio_9b25e00b6f70/content.lines --lines 196-199,2020-11-05,,"SLAMF7 was identified as a receptor on super-activated macrophages in inflammatory diseases. Engagement of SLAMF7 triggers a potent inflammatory response, suggesting a central role in various pathologies."
Role of signaling lymphocytic activation molecule family of receptors in the pathogenesis of rheumatoid arthritis: insights and application,Yixin Zheng; Jianan Zhao; Mi Zhou; Kai Wei; Ping Jiang; Lingxia Xu; Cen Chang; Yu Shan; Linshuai Xu;...,Matched: 2 SLAMF1- mediated inflammation in RA,cat /papers/PMC10657885/content.lines --lines 18-19,2023-11-06,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10657885/,This review examines the role of SLAMF receptors in rheumatoid arthritis pathogenesis. These receptors contribute to RA inflammation and may serve as diagnostic biomarkers and therapeutic targets.
Monocyte normal immune response to LPS stimulation,P Myrianthefs; K Venetsanou; E Grouzi; E Boutzouka; P Evagelopoulou; G Fildissis; I Spiliotopoulou; ...,PMC3333514,Critical Care,2002-03-01,https://doi.org/10.1186/cc1554,
Ginger extract inhibits LPS induced macrophage activation and function,Sudipta Tripathi; David Bruch; Dilip S Kittur,Matched: Ginger extract suppresses costimulatory molecule expression on LPS sti,cat /papers/PMC2234390/content.lines --lines 43-44,2008-01-03,https://doi.org/10.1186/1472-6882-8-1,"Ginger extract was studied for its effects on LPS-stimulated macrophages. The extract inhibited pro-inflammatory cytokine production, antigen-presenting molecule expression, and macrophage antigen-presenting function."
Macrophage-T cell interactions promote SLAMF1 expression for enhanced TB defense,G. V. R. Krishna Prasad; Steven J. Grigsby; Gideon A. Erkenswick; Cynthia Portal-Celhay; Ekansh Mitt...,Matched: Macrophage SLAMF1 analysis by flow cytometry,cat /papers/PMC12287521/content.lines --lines 66,2025-07-23,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12287521/,"This study investigated how CD4+ T cells help macrophages fight tuberculosis. Macrophage SLAMF1 expression, induced by T cell interaction, enhances defense against M. tuberculosis."
Tumor‐Associated Macrophages as Therapeutic Targets: Deciphering Interaction Networks and Advancing Clinical Translation,Wurihan Bao; Xiaojie Qu; Yiqi Wang; Dan Huang; Huiling Zhang; Mingyuan Dong; Han Sun; Zhaogang Yang;...,Matched: Signaling Lymphocytic Activation Molecule Family,cat /papers/PMC12848806/content.lines --lines 63,2026-01-28,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12848806/,"This review examines how tumor-associated macrophages (TAMs) promote cancer progression and treatment resistance. It highlights therapeutic strategies targeting TAMs, alone or in combination with other treatments, to improve clinical outcomes."
