title,authors,id,source,date,url,abstract
Specifically blocking αvβ8-mediated TGF-β signaling to reverse immunosuppression by modulating macrophage polarization,Cuicui Guo; Hui Sun; Yulei Du; Xiaodong Dai; Yu Pang; Zhen Han; Xinhui Xiong; Shaowei Li; Junhua Zha...,Matched: Regulation of macrophage polarization by anti-αvβ8 antibody,cat /papers/PMC11697059/content.lines --lines 85-86,2025-01-02,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11697059/,"This study investigated the role of integrin αvβ8 in tumor immunosuppression and developed a blocking antibody. The antibody effectively reversed immunosuppression by modulating macrophage polarization and enhanced anti-tumor immunity, especially when combined with PD-1 inhibition."
Human monocytes and macrophages regulate immune tolerance via integrin αvβ8–mediated TGFβ activation,Aoife Kelly; Sezin Gunaltay; Craig P. McEntee; Elinor E. Shuttleworth; Catherine Smedley; Stephanie ...,Matched: Human intestinal macrophages express high levels of integrin αvβ8 and,cat /papers/PMC6219736/content.lines --lines 38-39,2018-11-05,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6219736/,Human monocytes and macrophages activate TGFβ through integrin αvβ8. This process suppresses inflammation and is impaired in inflammatory bowel disease.
Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,Marco Orecchioni; Yanal Ghosheh; Akula Bala Pramod; Klaus Ley,PMC7053374,Frontiers in Immunology,2020-02-25,https://doi.org/10.3389/fimmu.2020.00234,
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,"Marco Orecchioni, Yanal Ghosheh, Akula Bala Pramod, Klaus Ley",Matched: Introduction,cat /papers/PMC6543837/content.lines --lines 14-15,2019-05-24,https://doi.org/10.3389/fimmu.2019.01084,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
Integrin β8 Facilitates Macrophage Infiltration and Polarization by Regulating CCL5 to Promote LUAD Progression,Lei Song; Xi Yu; Yang Wu; Wenwen Zhang; Yu Zhang; Yanchi Shao; Zhenxin Hou; Chen Yang; Yue Gao; Yanb...,Matched: ITGβ8 Plays a Crucial Role in the Polarization of Macrophage Toward th,cat /papers/PMC11727125/content.lines --lines 47-48,2024-11-13,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11727125/,"Integrin β 8 was studied for its role in lung adenocarcinoma progression and macrophage interaction. It promotes macrophage infiltration and M2 polarization via CCL5, contributing to tumor growth and invasion."
Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,"Sobia Raza, Mark W. Barnett, Zohar Barnett-Itzhaki, Ido Amit, David A. Hume, Tom C. Freeman",Matched: Introduction,cat /papers/PMC4378362/content.lines --lines 10-11,2014-08-01,https://doi.org/10.1189/jlb.6HI0313-169R,Transcriptomic data was analyzed to understand macrophage activation by inflammatory mediators. The LPS response can be divided into more co-regulated gene subsets than previously thought.
Analysis of the human monocyte-derived macrophage transcriptome and response to lipopolysaccharide provides new insights into genetic aetiology of inflammatory bowel disease,J. Kenneth Baillie; Erik Arner; Carsten Daub; Michiel De Hoon; Masayoshi Itoh; Hideya Kawaji; Timo L...,Matched: The monocyte-derived macrophage response to LPS as a model for intesti,cat /papers/PMC5358891/content.lines --lines 84-85,2017-03-06,https://doi.org/10.1371/journal.pgen.1006641,Human monocyte-derived macrophages were profiled for gene expression changes in response to lipopolysaccharide. The study found that inflammatory bowel disease susceptibility loci are enriched for monocyte-specific genes regulated during differentiation and activation.
Full Spectrum of LPS Activation in Alveolar Macrophages of Healthy Volunteers by Whole Transcriptomic Profiling,Miguel Pinilla-Vera; Zeyu Xiong; Yutong Zhao; Jing Zhao; Michael P. Donahoe; Suchitra Barge; William...,Matched: Discussion,cat /papers/PMC4951018/content.lines --lines 115-116,2016-07-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4951018/,"Human alveolar macrophages were studied for their response to LPS activation using transcriptomic profiling. LPS induced a type I interferon signature, with IRF-7 and USP18 potentially fine-tuning IL-10 production."
Inflammatory cues enhance TGFβ activation by distinct subsets of human intestinal dendritic cells via integrin αvβ8,TM Fenton; A Kelly; EE Shuttleworth; C Smedley; A Atakilit; F Powrie; S Campbell; SL Nishimura; D Sh...,Matched: Integrin αvβ8 expression by human DC is enhanced by inflammatory signa,cat /papers/PMC5439516/content.lines --lines 29-31,2016-10-26,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5439516/,"This study investigated integrin αvβ8 on human intestinal dendritic cells and its role in TGFβ activation. Inflammatory cues enhance integrin αvβ8 expression on CD1c+ dendritic cells, increasing TGFβ activation and T-cell regulation, particularly in IBD patients."
Epigenetic profile in lipopolysaccharide-stimulated macrophages,Ester Correia Sarmento Rios; Thais Martins Lima Salgado; Francisco Garcia Soriano,PMC3953056,Critical Care,2013-11-05,https://doi.org/10.1186/cc12987,
"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",Leah Elson; Niels Eijkelkamp; J. Henk Coert,Matched: M1 Macrophage polarization mechanism,cat /papers/PMC13372918/content.lines --lines 75,2026-07-15,https://doi.org/10.1007/s00011-026-02317-3,This systematic review synthesized evidence for a conserved lipopolysaccharide (LPS)-mediated pathogenic mechanism across diverse tissues and evaluated its potential relevance to peripheral neuropathy
Monocyte normal immune response to LPS stimulation,P Myrianthefs; K Venetsanou; E Grouzi; E Boutzouka; P Evagelopoulou; G Fildissis; I Spiliotopoulou; ...,PMC3333514,Critical Care,2002-03-01,https://doi.org/10.1186/cc1554,
Targeting the LPS-STING axis: neomycin restores STING-mediated anti-tumor immune suppression and inhibits tumor growth,Hong Fan; Dongjie Fu; Mingfu Tian; Zhiqiang Li; Siyu Liu; Chenglin Ye; Kailang Wu; Chengliang Zhu,Matched: Results,cat /papers/PMC12605410/content.lines --lines 12,2025-10-29,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12605410/,"Low-dose LPS suppresses macrophage anti-tumor immunity by impairing their response to tumor debris. Neomycin treatment reverses this suppression, inhibiting tumor growth and enhancing STING agonist therapy."
Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,Sara Soudi; Ahmad Zavaran-Hosseini; Zuhair Muhammad Hassan; Masoud Soleimani; Fatemeh Jamshidi Adega...,Matched: Cytokine assay,cat /papers/PMC3660024/content.lines --lines 44-46,2013-05-05,,Peritoneal macrophages from BALB/c and C57BL/6 mice were stimulated with LPS to compare their responses. Different mouse strains exhibit distinct cytokine profiles and functional activities when exposed to LPS.
Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,"Akane Tanaka, Joyce To, Bronwyn O’Brien, Sheila Donnelly, Maria Lund",PMC5627409,biomedrxiv,2017-10-03,https://doi.org/10.1186/s12865-017-0223-y,"This study assessed the stability of eight common reference genes in LPS-stimulated murine macrophages. It found that some traditional genes are unreliable, and identified two new, stable reference genes for accurate gene expression analysis."
Lipopolysaccharide-Activated Macrophages Suppress Cellular Senescence and Promote Rejuvenation in Human Dermal Fibroblasts,Hiroyuki Inagawa; Chie Kohchi; Miyuki Uehiro; Gen-Ichiro Soma,Matched: 3. Discussion,cat /papers/PMC12346749/content.lines --lines 40-42,2025-07-22,https://doi.org/10.3390/ijms26157061,LPS-activated macrophages were studied for their effect on senescent human dermal fibroblasts. Their secretions suppressed senescence and partially rejuvenated aged fibroblasts.
Natural variation of macrophage activation as disease-relevant phenotype predictive of inflammation and cancer survival,Konrad Buscher; Erik Ehinger; Pritha Gupta; Akula Bala Pramod; Dennis Wolf; George Tweet; Calvin Pan...,Matched: Natural variation of LPS activation in macrophages,cat /papers/PMC5527282/content.lines --lines 14-15,2017-07-24,https://doi.org/10.1038/ncomms16041,This study analyzed natural variation in macrophage activation using the hybrid mouse diversity panel. A novel gene signature derived from this analysis predicts susceptibility to macrophage-related disorders and cancer survival in humans.
Pre-Treatment of Recombinant Mouse MFG-E8 Downregulates LPS-Induced TNF-α Production in Macrophages via STAT3-Mediated SOCS3 Activation,Monowar Aziz; Asha Jacob; Akihisa Matsuda; Rongqian Wu; Mian Zhou; Weifeng Dong; Weng-Lang Yang; Pin...,Matched: Discussion,cat /papers/PMC3217009/content.lines --lines 68-69,2011-11-15,https://doi.org/10.1371/journal.pone.0027685,"Recombinant mouse MFG-E8 was studied for its effect on LPS-induced TNF-α production in macrophages. Pre-treatment with MFG-E8 downregulated TNF-α by activating STAT3-mediated SOCS3, which negatively regulates TLR4 signaling."
Surface‐bound matrix metalloproteinase‐8 on macrophages: Contributions to macrophage pericellular proteolysis and migration through tissue barriers,Xiaoyun Wang; Duo Zhang; Quynh‐Anh Fucci; Clare M. Dollery; Caroline A. Owen,Matched: Pro‐inflammatory mediators increase surface MMP‐8 protein levels on hu,cat /papers/PMC7927794/content.lines --lines 60-61,2021-03-03,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7927794/,"Activated macrophages express surface MMP-8 and TIMP-1. Surface MMP-8 enhances macrophage migration through tissue barriers, particularly those with type I collagen."
LPS activation of leukocytes attenuates adhesion to endothelial cells under shear stress,B Nohé; V Schmidt; A Hientz; C Zanke; HJ Dieterich; K Unertl,PMC3333518,PMC,2002-03-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3333518/,
Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network,Gen-Ichiro Soma; Masataka Oda; Vindy Tjendana Tjhin; Chie Kohchi; Hiroyuki Inagawa,Matched: Disease prevention and treatment effects of oral administration of LPS,cat /papers/PMC11994614/content.lines --lines 42-44,2025-03-31,https://doi.org/10.3389/fimmu.2025.1563484,"Oral and transdermal LPS administration was studied for its effects on self-healing. This method safely enhances healing through a ""macrophage network"" involving mucosal immune cells."
LPS Counter Regulates RNA Expression of Extracellular Proteases and Their Inhibitors in Murine Macrophages,"Andreas Hald, Birgitte Rønø, Leif R. Lund, Kristoffer L. Egerod",PMC3317238,PMC,2012-01-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3317238/,"LPS stimulation of murine macrophages was studied for its effect on extracellular protease and inhibitor gene expression. LPS differentially regulates matrix metalloproteinases and serine proteases, impacting extracellular matrix degradation."
Targeting Gα13-integrin interaction ameliorates systemic inflammation,Ni Cheng; Yaping Zhang; M. Keegan Delaney; Can Wang; Yanyan Bai; Randal A. Skidgel; Xiaoping Du,Matched: MB2mP6 inhibits LPS-induced macrophage cytokine expression in vitro,cat /papers/PMC8159967/content.lines --lines 15-16,2021-05-27,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8159967/,"A peptide nanoparticle targeting Gα13-integrin signaling was tested in a mouse model of sepsis. This treatment inhibited both inflammation and thrombosis, improving survival without causing bleeding."
Quercetin inhibits LPS-induced macrophage migration by suppressing the iNOS/FAK/paxillin pathway and modulating the cytoskeleton,Shuna Cui; Qingqing Wu; Juan Wang; Min Li; Jing Qian; Shihua Li,Matched: Quercetin inhibits LPS-induced macrophage migration,cat /papers/PMC6527387/content.lines --lines 32-33,2018-08-01,https://doi.org/10.1080/19336918.2018.1486142,"Quercetin was studied for its effect on LPS-induced macrophage migration. It inhibits this migration by suppressing iNOS, FAK/paxillin signaling, and disrupting the cytoskeleton."
