rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC9656053,A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy,success,no,no,,,,,
2,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
3,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
4,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,no,,,,,
5,PMC6369361,RNA-Binding Proteins in the Control of LPS-Induced Macrophage Response,success,no,no,,,,,
6,PMC5925582,p204 Is Required for Canonical Lipopolysaccharide-induced TLR4 Signaling in Mice,success,no,no,,,,,
7,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
8,PMC7576310,LKB1‐MARK2 signalling mediates lipopolysaccharide‐induced production of cytokines in mouse macrophages,success,no,no,,,,,
9,PMC10110401,HuR modulation counteracts lipopolysaccharide response in murine macrophages,success,no,no,,,,,
10,PMC10315567,Recombinant human KAI1/CD82 attenuates M1 macrophage polarization on LPS-stimulated RAW264.7 cells via blocking TLR4/JNK/NF-κB signal pathway,success,no,no,,,,,
11,PMC12346749,Lipopolysaccharide-Activated Macrophages Suppress Cellular Senescence and Promote Rejuvenation in Human Dermal Fibroblasts,success,no,no,,,,,
12,PMC3660024,Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,success,no,no,,,,,
13,PMC6990626,Transmembrane TNFα-Expressed Macrophage Membrane-Coated Chitosan Nanoparticles as Cancer Therapeutics,success,no,no,,,,,
14,PMC11994614,Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network,success,no,no,,,,,
15,PMC9456100,"Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile",success,no,no,,,,,
16,PMC9916340,Lipopolysaccharide Tolerance Enhances Murine Norovirus Reactivation: An Impact of Macrophages Mainly Evaluated by Proteomic Analysis,success,no,no,,,,,
17,PMC7817350,Macrophage ICAM-1 functions as a regulator of phagocytosis in LPS induced endotoxemia,success,no,no,,,,,
18,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,no,,,,,
19,PMC7555432,gga-miR-200b-3p Promotes Macrophage Activation and Differentiation via Targeting Monocyte to Macrophage Differentiation-Associated in HD11 Cells,success,no,no,,,,,
20,PMC2196359,Mice Genetically Hyporesponsive to Lipopolysaccharide (LPS) Exhibit a Defect in Endocytic Uptake of LPS and Ceramide,success,no,no,,,,,
21,PMC2394514,Expression analysis of G Protein-Coupled Receptors in mouse macrophages,success,no,no,,,,,
22,PMC5775731,Expression of Siglec-E Alters the Proteome of Lipopolysaccharide (LPS)-Activated Macrophages but Does Not Affect LPS-Driven Cytokine Production or Toll-Like Receptor 4 Endocytosis,success,no,no,,,,,
23,PMC8278080,Fractalkine aggravates LPS‐induced macrophage activation and acute kidney injury via Wnt/β‐catenin signalling pathway,success,no,no,,,,,
24,bio_74c36375729f,MARCO is an IFN-restricted immunometabolic decoy LPS receptor,success,no,no,,,,,
25,PMC7275413,Progranulin inhibits LPS-induced macrophage M1 polarization via NF-кB and MAPK pathways,success,no,no,,,,,
