rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC5384030,The Bcl2a1 gene cluster finally knocked out: first clues to understanding the enigmatic role of the Bcl-2 protein A1,success,no,no,,,,,
2,PMC10626451,A1 is induced by pathogen ligands to limit myeloid cell death and NLRP3 inflammasome activation,success,yes,yes,"Bcl2a1 was absent in unstimulated BMDMs and rapidly, albeit transiently, induced at the mRNA and protein level in response to Escherichia coli O111:B4 (B4) and/or O55:B5 (B5) LPS serotypes (Figs 1F and G, and EV1K).","L23: Further examination of pro‐survival BCL‐2 family expression over time in response to LPS revealed relatively stable expression of Bcl2l1 (encodes BCL‐XL) and Mcl1 mRNA (Figs 1F and G, and EV1K).",Bcl2a1;BCL2A1,Escherichia;LPS,
3,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
4,PMC11405755,Contribution of A1 to macrophage survival in cooperation with MCL-1 and BCL-XL in a murine cell model of myeloid differentiation,success,no,yes,L44: LPS stimulation strongly induced A1 and NOXA protein expression in CTRL cells in both progenitors and differentiated macrophages (Fig. S6).,L44: LPS stimulation strongly induced A1 and NOXA protein expression in CTRL cells in both progenitors and differentiated macrophages (Fig. S6).,,LPS,yes->no: evidence does not name the gene
5,PMC2212378,"Accelerated Neutrophil Apoptosis in Mice Lacking A1-a, a Subtype of the bcl-2–related A1 Gene",success,no,no,,,,,
6,PMC6274997,Transcriptome Analysis Provides Insights into the Markers of Resting and LPS-Activated Macrophages in Grass Carp (Ctenopharyngodon idella),success,no,no,,,,,
7,PMC8369416,LPSlow-Macrophages Alleviate the Outcome of Graft-Versus-Host Disease Without Aggravating Lymphoma Growth in Mice,success,no,no,,,,,
8,PMC3316698,Could a B-1 Cell Derived Phagocyte “Be One” of the Peritoneal Macrophages during LPS-Driven Inflammation?,success,no,no,,,,,
9,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
10,PMC3405526,A1/Bfl-1 in leukocyte development and cell death,success,no,yes,"In 1993 Lin et al. documented A1 expression in thymus, spleen, bone marrow, myeloid and T-lymphoid cell lines, but not in non-hematopoietic lineages, and confirmed the induction of A1 in GM-CSF and LPS-stimulated primary macrophages [55].",L109: 54. Orlofsky A. Berger M.S. Prystowsky M.B. Novel expression pattern of a new member of the MIP-1 family of cytokine-like genes Cell Regul. 2 1991 403 412 1832565 10.1091/mbc.2.5.403 PMC361810,,LPS,yes->no: evidence does not name the gene
11,PMC8608335,Canine peripheral blood mononuclear cell-derived B lymphocytes pretreated with lipopolysaccharide enhance the immunomodulatory effect through macrophage polarization,success,no,no,,,,,
12,PMC3660024,Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,success,no,no,,,,,
13,PMC7054785,Bcl-2 Proteins Regulate Mitophagy in Lipopolysaccharide-Induced Acute Lung Injury via PINK1/Parkin Signaling Pathway,success,no,no,,,,,
14,PMC6603059,Importance of Mcl-1 for Alveolar Macrophage Apoptosis–associated Bacterial Killing,success,no,no,,,,,
15,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,no,,,,,
16,PMC10851074,ADAR1 Inhibits Macrophage Apoptosis and Alleviates Sepsis-induced Liver Injury Through miR-122/BCL2A1 Signaling,success,yes,yes,"Furthermore, Bcl2a1a mRNA levels in RAW 264.7 cells increased significantly 12 h after LPS treatment and then gradually, with significantly lower expression at 48 h compared with baseline (L109).",We also evaluated miR-122-5p expression in LPS-treated RAW 264.7 cells (L109).,Bcl2a1a,LPS,
17,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
18,PMC2184939,Macrophage stimulation by bacterial lipopolysaccharides. II. Evidence for differentiation signals delivered by lipid A and by a protein rich fraction of lipopolysaccharides,success,no,no,,,,,
19,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,success,no,no,,,,,
20,PMC3300661,Tolerance to lipopolysaccharide regulates apoptosis in B lymphocytes,success,no,no,,,,,
21,PMC6084222,Macrophage Apoptosis Induced by an Avian Strain of Escherichia coli,success,no,no,,,,,
22,PMC6994071,Identification of stable reference genes for lipopolysaccharide-stimulated macrophage gene expression studies,success,no,no,,,,,
23,PMC11994614,Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network,success,no,no,,,,,
24,PMC3897530,Btk Regulates Macrophage Polarization in Response to Lipopolysaccharide,success,no,no,,,,,
25,PMC9656053,A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy,success,no,no,,,,,
