title,authors,id,source,date,url,abstract
Mechanism of action and potential applications of selective inhibition of microsomal prostaglandin E synthase-1-mediated PGE2 biosynthesis by sonlicromanol’s metabolite KH176m,X. Jiang; H. Renkema; B. Pennings; S. Pecheritsyna; J. C. Schoeman; T. Hankemeier; J. Smeitink; J. B...,Matched: KH176m selectively and dose-dependently decreases the level of PGE2 in,cat /papers/PMC7806836/content.lines --lines 28-29,2021-01-13,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7806836/,"This study investigated the mechanism by which KH176m reduces PGE2 levels in mitochondrial disease cells. KH176m selectively inhibits mPGES-1 activity and expression by disrupting a positive feedback loop, suggesting therapeutic potential."
Dynamic changes in macrophage populations and resulting alterations in Prostaglandin E2 sensitivity in mice with diet-induced MASH,Madita Vahrenbrink; C. D. Coleman; S. Kuipers; I. Lurje; L. Hammerich; D. Kunkel; J. Keye; S. Dittri...,Matched: PGE2-mediated feedback loops were impaired in mice with macrophage-spe,cat /papers/PMC12083000/content.lines --lines 56,2025-05-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12083000/,This study examined changes in liver macrophage populations and their response to PGE2 during diet-induced MASH in mice. It found that infiltrating macrophages are more sensitive to PGE2's anti-inflammatory effects than resident Kupffer cells.
Cellular and Molecular Bases of the Initiation of Fever,Alexandre A Steiner; Andrei I Ivanov; Jordi Serrats; Hiroshi Hosokawa; Allison N Phayre; Jared R Rob...,Matched: Results/Discussion,cat /papers/PMC1551923/content.lines --lines 24-26,2006-08-22,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1551923/,All phases of lipopolysaccharide (LPS)-induced fever are mediated by prostaglandin (PG) E2. It is known that the second febrile phase (which starts at ~1.5 h post-LPS) and subsequent phases are mediat
Prostaglandin terminal synthases as novel therapeutic targets,Shuntaro HARA,"Matched: The role of mPGES-1 in inflammatory reactions, pain and fever.",cat /papers/PMC5743848/content.lines --lines 25-27,2017-11-10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5743848/,"Prostaglandin terminal synthases, particularly mPGES-1 and PGIS, are investigated as alternative therapeutic targets to COX for inflammatory diseases and cancer. These enzymes offer potential for more selective modulation of prostaglandin production with fewer side effects."
Lipocalin-Like Prostaglandin D Synthase but Not Hemopoietic Prostaglandin D Synthase Deletion Causes Hypertension and Accelerates Thrombogenesis in Mice,Wen-Liang Song; Emanuela Ricciotti; Xue Liang; Tilo Grosser; Gregory R. Grant; Garret A. FitzGerald,Matched: Peritoneal Macrophage Culture.,cat /papers/PMC6226547/content.lines --lines 21,2018,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6226547/,"Lipocalin-type prostaglandin D synthase (L-PGDS) deletion in mice elevated blood pressure and accelerated thrombogenesis. This suggests L-PGDS, not hematopoietic PGDS, is crucial for vascular homeostasis."
Lipopolysaccharide-Induced Expression of Microsomal Prostaglandin E Synthase-1 Mediates Late-Phase PGE2 Production in Bone Marrow Derived Macrophages,Lei Xiao; Magdalena Ornatowska; Guiqing Zhao; Hongmei Cao; Rui Yu; Jing Deng; Yongchao Li; Qiong Zha...,Matched: Patterns of LPS-stimulated PGE2 and PGD2 productions in BMDM,cat /papers/PMC3511480/content.lines --lines 43-44,2012-11-30,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3511480/,Lipopolysaccharide (LPS) induces late-phase PGE2 production in macrophages. Microsomal prostaglandin E synthase-1 (mPGES-1) mediates this late-phase PGE2 burst and regulates LPS-induced iNOS expression.
Prostaglandin E2 and the Suppression of Phagocyte Innate Immune Responses in Different Organs,Alexandra Medeiros; Camila Peres-Buzalaf; Felipe Fortino Verdan; C. Henrique Serezani,Matched: 7. Peritoneal Macrophages,cat /papers/PMC3449139/content.lines --lines 44-46,2012-09-13,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3449139/,"This paper discusses prostaglandin E2's (PGE2) production and its varied effects on phagocytes in different organs. PGE2's dual roles, both immunosuppressive and immunostimulatory, are mediated by different EP receptors and G proteins."
"Macrophage responses to lipopolysaccharide are modulated by a feedback loop involving prostaglandin E2, dual specificity phosphatase 1 and tristetraprolin",Tina Tang; Thomas E. Scambler; Tim Smallie; Helen E. Cunliffe; Ewan A. Ross; Dalya R. Rosner; John D...,"Matched: PGE2 modulates the phosphorylation of MAPK p38, the expression of DUSP",cat /papers/PMC5489520/content.lines --lines 23-24,2017-06-28,https://doi.org/10.1038/s41598-017-04100-1,"This study investigated how macrophages respond to lipopolysaccharide. A feedback loop involving PGE2, DUSP1, and TTP was found to suppress COX-2 and TNF expression, potentially regulating inflammation phases."
Lapatinib Suppressed the Expression of Proinflammatory Cytokines and Alleviated Pain Behavior in a Mouse Model of Postoperative Pain,Annet Kyomuhangi,bio_523ca8418f4e,bioRxiv,2026-01-01,,"Postoperative pain remains a major clinical challenge, as inadequate management can delay functional recovery, prolong hospitalization, and increase the risk of chronic pain development. Opioid analge"
Prostaglandin E2 affects differently the release of inflammatory mediators from resident macrophages by LPS and muramyl tripeptides.,P Dieter; U Hempel; S Kamionka; A Kolada; B Malessa; E Fitzke; T A Tran-Thi,Matched: Abstract,cat /papers/PMC1781814/content.lines --lines 1-5,1999,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1781814/,"LPS and MTP-PE activate liver macrophages differently, affecting inflammatory mediator release. PGE2 regulates LPS actions but not MTP-PE actions, explaining their differing immunomodulatory effects."
