rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC12766987,Calhm6 Governs Macrophage Polarization Through Chp1‐Camk4‐Creb1 Axis and Ectosomal Delivery in Inflammatory Responses,success,yes,"Additionally, in mouse BMDMs treated with Escherichia coli, Staphylococcus aureus, Candida albicans, or LPS, Calhm6 expression was significantly elevated after 24 h (Figure S1H, Supporting Information).",,
2,PMC4199742,HDAC6 Deacetylase Activity Is Critical for Lipopolysaccharide-Induced Activation of Macrophages,success,no,,,
3,PMC12130849,Macrophages release neuraminidase and cleaved calreticulin for programmed cell removal,success,no,,,
4,bio_b06931d16f63,The orientation of choroidal macrophage polarization significantly influences the development of myopia in murine models,success,no,,,
5,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,,,
6,PMC10167635,Induction of unique macrophage subset by simultaneous stimulation with LPS and IL-4,success,no,,,
7,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,
8,PMC9656053,A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy,success,no,,,
9,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,success,no,,,
10,PMC5484384,Ionized calcium‐binding adaptor molecule 1 positive macrophages and HO‐1 up‐regulation in intestinal muscularis resident macrophages,success,no,,,
11,PMC2196359,Mice Genetically Hyporesponsive to Lipopolysaccharide (LPS) Exhibit a Defect in Endocytic Uptake of LPS and Ceramide,success,no,,,
12,PMC2949756,Motif prediction to distinguish LPS-stimulated pro-inflammatory vs. antibacterial macrophage genes,success,no,,,
13,PMC13398632,Lipopolysaccharide uptake is augmented in lipopolysaccharide‐tolerant mouse macrophage‐like cells via increased CD14 expression,success,no,,,
14,PMC4024643,Translation control of TAK1 mRNA by hnRNP K modulates LPS-induced macrophage activation,success,no,,,
15,PMC10068325,The ion channel CALHM6 controls bacterial infection‐induced cellular cross‐talk at the immunological synapse,success,yes,"Both LPS and IFN-Γ upregulated CALHM6, with high and sustained levels of CALHM6 expression induced by IFN-Γ, while LPS‐induced expression was lower and transient over 48 h (Fig 1D).",,
16,PMC7918892,LPS Tolerance Inhibits Cellular Respiration and Induces Global Changes in the Macrophage Secretome,success,no,,,
17,PMC10068263,LPS inhibits TRIM65 expression in macrophages and C57BL/6J mouse by activating the ERK1/2 signaling pathway,success,no,,,
18,PMC10501887,LPS adsorption and inflammation alleviation by polymyxin B-modified liposomes for atherosclerosis treatment,success,no,,,
19,PMC9411976,"Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS",success,no,,,
20,PMC12847160,Free Fatty Acids and LPS Synergistically Promote Macrophage M1 Polarization and Insulin Resistance Via FTO-Mediated CSF1 Degradation,success,no,,,
21,PMC10855527,Alleviative Effect of Geniposide on Lipopolysaccharide-Stimulated Macrophages via Calcium Pathway,success,no,,,
22,PMC11882389,Laminarin Alleviates Acute Lung Injury Induced by LPS Through Inhibition of M1 Macrophage Polarisation,success,no,,,
23,PMC7556292,miR-106a Targets Anoctamin 1 (ANO1) to Regulate Lipopolysaccharide (LPS)-Induced Inflammatory Response in Macrophages,success,no,,,
24,PMC5742358,Macrophage–Bacteria Interactions—A Lipid-Centric Relationship,success,no,,,
25,PMC6369361,RNA-Binding Proteins in the Control of LPS-Induced Macrophage Response,success,no,,,
