rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC7806836,Mechanism of action and potential applications of selective inhibition of microsomal prostaglandin E synthase-1-mediated PGE2 biosynthesis by sonlicromanol’s metabolite KH176m,success,yes,yes,"As expected, LPS efficiently induced the expression of the two inducible enzymes, mPGES-1 and COX-2, at both the protein (Fig. 6A–C) and gene (Supplemental Figure 4A and B) levels.",RAW264.7 cells were treated with various concentrations of KH176m in the presence of LPS (1 µg/mL) for 24 h or 6 h.,mPGES;mPGES-1,LPS,
2,PMC12083000,Dynamic changes in macrophage populations and resulting alterations in Prostaglandin E2 sensitivity in mice with diet-induced MASH,success,no,yes,"LPS significantly induced the mRNA and protein expression of the PGE2-synthesizing enzymes COX-2 (Fig. 5A, B) and mPGES1 (Supplementary figure S4) in macrophage populations from wildtype control mice.","Primary Kupffer cells (KC), peritoneal macrophages (PM) and bone marrow-derived macrophages (BMDM) were stimulated for 24 h with LPS.",,LPS,yes->no: evidence does not name the gene
3,PMC1551923,Cellular and Molecular Bases of the Initiation of Fever,success,no,no,,,,,
4,PMC5743848,Prostaglandin terminal synthases as novel therapeutic targets,timeout,,,,,,,
5,PMC6226547,Lipocalin-Like Prostaglandin D Synthase but Not Hemopoietic Prostaglandin D Synthase Deletion Causes Hypertension and Accelerates Thrombogenesis in Mice,success,no,no,,,,,
6,PMC3511480,Lipopolysaccharide-Induced Expression of Microsomal Prostaglandin E Synthase-1 Mediates Late-Phase PGE2 Production in Bone Marrow Derived Macrophages,success,yes,yes,"Among the tested proteins, LPS significantly increased the protein expression of iNOS, COX-2, mPGES-1 and PU.1 in BMDM (Figures 1A, 2A–2D).",Primary cultured mouse BMDM was treated with or without 1 µg/ml LPS for various time points from 2 to 24 hrs.,mPGES;mPGES-1,LPS,
7,PMC3449139,Prostaglandin E2 and the Suppression of Phagocyte Innate Immune Responses in Different Organs,success,yes,yes,"LPS induces high levels of PGE2 synthesis by upregulating COX-2 and mPGES-1 expression [76, 78].","L36: Similar to peripheral macrophages, COX-2 is the main enzyme expressed by microglia after activation [77].",mPGES;mPGES-1,LPS,
8,PMC5489520,"Macrophage responses to lipopolysaccharide are modulated by a feedback loop involving prostaglandin E2, dual specificity phosphatase 1 and tristetraprolin",success,no,no,,,,,
9,bio_523ca8418f4e,Lapatinib Suppressed the Expression of Proinflammatory Cytokines and Alleviated Pain Behavior in a Mouse Model of Postoperative Pain,success,yes,yes,"As shown in Fig.4A and 4C, LPS stimulation of RAW 264.7 cells caused a 6800-fold increase in PTGS2 mRNA and a 4-fold increase in PTGES mRNA.",RAW264.7 cells were treated with lapatinib/vehicle and then stimulated with LPS at 10ng/ml for 12 h.,Ptges;PTGES,LPS,
10,PMC1781814,Prostaglandin E2 affects differently the release of inflammatory mediators from resident macrophages by LPS and muramyl tripeptides.,success,no,no,,,,,
11,PMC3748320,PGE2 suppression of innate immunity during mucosal bacterial infection,success,no,no,,,,,
12,PMC8351447,Inhibition of microsomal prostaglandin E synthase-1 ameliorates acute lung injury in mice,success,yes,yes,"Additionally, immunofluorescence demonstrated increased mPGES-1, COX-2 and intracellular adhesion molecule-1 (ICAM-1) expression within the lung parenchyma following intratracheal LPS injection in lungs of vehicle-treated mice (Fig. 2E).","Series 1: Lipopolysaccharide (LPS)-induced ALI. Mice were randomized to receive vehicle, BI 1029539, or celecoxib.",mPGES;mPGES-1,LPS;Lipopolysaccharide,
13,PMC13216351,Migrasome-transported PTGES amplifies the PGE2 cascade in SPP1+ macrophages to drive oral leukoplakia carcinogenesis,success,no,no,,,,,
14,PMC8362890,A PGE2-MEF2A axis enables context-dependent control of inflammatory gene expression,success,no,no,,,,,
