rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC4718992,Responses to Microbial Challenges by SLAMF Receptors,success,yes,yes,"SLAMF1 expression is induced by stimulation with either LPS or IL-1β and in phagocytes during active colitis (34, 55, 56).",,Slamf1;SLAMF1,LPS,
2,PMC2196288,"Lipopolysaccharide (LPS)-induced Macrophage Activation and Signal Transduction in the Absence of Src-Family Kinases Hck, Fgr, and Lyn",success,no,no,,,,,
3,PMC2211908,The Cell Surface Receptor SLAM Controls T Cell and Macrophage Functions,success,no,no,,,,,
4,PMC2211906,SLAM Family Receptors Regulate Immunity with and without SAP-related Adaptors,success,no,no,,,,,
5,PMC5881497,SLAMF1 is required for TLR4-mediated TRAM-TRIF–dependent signaling in human macrophages,success,yes,yes,"LPS stimulation increased the surface expression of SLAMF1 in primary macrophages by >50% after 6 h of LPS stimulation, with an increase in the total SLAMF1 protein expression (Fig. 1, G and H; and Fig. S1 A).",L1: SLAMF1 is required for TLR4-mediated TRAM-TRIF–dependent signaling in human macrophages,Slamf1;SLAMF1,LPS,
6,PMC12672276,The immune receptors TLR4 and SLAMF1 regulate TNF release by human metapneumovirus in human macrophages,success,no,yes,"Strikingly, HMPV also induced SLAMF1 expression, with a marked upregulation in MDMs and a more moderate response in THP-1 cells (Figures 1A, B, fourth panels).","The mRNA levels of IFNB1, TNF, viral nucleocapsid N (HMPV-N), SLAMF1, and TLR4 were quantified by RT-qPCR (Figures 1A, B, E, F).",Slamf1;SLAMF1,,yes->no: evidence does not name LPS or infection
7,PMC10329007,Identification and elucidation of cross talk between SLAM Family Member 7 (SLAMF7) and Toll-like receptor (TLR) pathways in monocytes and macrophages,success,no,no,,,,,
8,PMC10547912,Peptide derived from SLAMF1 prevents TLR4-mediated inflammation in vitro and in vivo,success,no,no,,,,,
9,PMC6963180,SLAM Family Receptor Signaling in Viral Infections: HIV and Beyond,success,yes,yes,"On cells of myeloid lineage, including macrophages and DCs, SLAMF1 is typically expressed at a low level, but becomes up-regulated in response to pro-inflammatory stimuli such as LPS, IL-1̢, TNFα, and IL-6 (L22).",,Slamf1;SLAMF1,LPS,
10,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
11,PMC7515593,Interaction of Signaling Lymphocytic Activation Molecule Family 1 (SLAMF1) receptor with Trypanosoma cruzi is strain-dependent and affects NADPH oxidase expression and activity,success,no,no,,,,,
12,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
13,PMC9273976,SLAMF8 Downregulates Mouse Macrophage Microbicidal Mechanisms via PI3K Pathways,success,no,no,,,,,
14,PMC12399171,SLAMF7 Restrains Pro-Inflammatory Macrophage Activation to Counteract Doxorubicin-Induced Cardiotoxicity,success,no,no,,,,,
15,PMC10014109,SLAMF7 regulates the inflammatory response in macrophages during polymicrobial sepsis,success,no,yes,"In the gene screen, we analyzed the expression of SLAMFs, which have not, to our knowledge, been studied in sepsis before. Interestingly, expression levels of Slamf7 and Slamf9 were substantially elevated, whereas Slamf3, Slamf4, Slamf5, Slamf6, and Slamf8 expression levels were downregulated (Figure 1A).",(A) Heatmap depicting mRNA expression levels of inflammation-related molecules in PBMCs from patients with sepsis (S1–S5) were determined by quantitative real-time PCR and compared with levels in healthy donors (H1–H5).,,sepsis,yes->no: evidence does not name the gene
16,PMC4370648,Migration of Myeloid Cells during Inflammation Is Differentially Regulated by the Cell Surface Receptors Slamf1 and Slamf8,success,no,no,,,,,
17,PMC11242706,Quantitative Proteomic Analysis of Macrophages Infected with Trypanosoma cruzi Reveals Different Responses Dependent on the SLAMF1 Receptor and the Parasite Strain,success,no,no,,,,,
18,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
19,PMC5775731,Expression of Siglec-E Alters the Proteome of Lipopolysaccharide (LPS)-Activated Macrophages but Does Not Affect LPS-Driven Cytokine Production or Toll-Like Receptor 4 Endocytosis,success,no,no,,,,,
20,bio_9b25e00b6f70,SLAMF7 engagement super-activates macrophages in acute and chronic inflammation,success,no,no,,,,,
21,PMC10657885,Role of signaling lymphocytic activation molecule family of receptors in the pathogenesis of rheumatoid arthritis: insights and application,success,no,no,,,,,
22,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
23,PMC2234390,Ginger extract inhibits LPS induced macrophage activation and function,success,no,no,,,,,
24,PMC12287521,Macrophage-T cell interactions promote SLAMF1 expression for enhanced TB defense,success,yes,yes,"SLAMF1 surface expression increased slightly with Mtb-infection or CD4+ T cell co-culture alone, and significantly more by the combination of both Mtb infection and CD4+ T cell co-culture.","A–I SLAMF1 expression was assessed by flow cytometry in BMDMs treated with IFN-γ, followed by infection with Mtb (A), treatment with P25 peptide (B, D, E, G, I), or ESAT-6 peptide (C), and subsequent co-culture for 24hrs with CD4+ T cells specific for P25 (A, B, D, E, G, I) or ESAT-6 (C).",Slamf1;SLAMF1,infection,
25,PMC12848806,Tumor‐Associated Macrophages as Therapeutic Targets: Deciphering Interaction Networks and Advancing Clinical Translation,success,no,no,,,,,
