title,authors,id,source,date,url,abstract
TNFSF15 Promotes Antimicrobial Pathways in Human Macrophages and These Are Modulated by TNFSF15 Disease-Risk Variants,Rui Sun; Matija Hedl; Clara Abraham,Matched: Generation of Mouse Bone Marrow–Derived Macrophages and Stimulation,cat /papers/PMC7689184/content.lines --lines 90-96,2020-08-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7689184/,"TNFSF15 was studied for its role in human macrophage antimicrobial pathways. Increased TNFSF15 expression enhances bacterial clearance in macrophages, with disease-risk variants potentially conferring an advantage."
TNFSF15 facilitates differentiation and polarization of macrophages toward M1 phenotype to inhibit tumor growth,Can-Can Zhao; Qiu-Ju Han; Hao-Yan Ying; Xiang-Xiang Gu; Na Yang; Lu-Yuan Li; Qiang-Zhe Zhang,Matched: TNFSF15 promotes M1-like macrophage infiltration into tumors,cat /papers/PMC8812784/content.lines --lines 43-44,2022-02-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8812784/,"TNFSF15 was studied for its role in macrophage differentiation and polarization. TNFSF15 promotes M1 macrophage polarization, which inhibits tumor growth."
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,Marco Orecchioni; Yanal Ghosheh; Akula Bala Pramod; Klaus Ley,Matched: In vivo M1(=LPS+)C57BL/6J Exclusive Genes Drive Anti-bacterial Immune,cat /papers/PMC6543837/content.lines --lines 40-43,2019-05-24,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6543837/,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
"LITAF and TNFSF15, two downstream targets of AMPK, exert inhibitory effects on tumor growth",Jing Zhou; Zhanmin Yang; Takanori Tsuji; Jun Gong; Jian Xie; Changyan Chen; Wande Li; Salomon Amar; ...,Matched: Introduction,cat /papers/PMC3431012/content.lines --lines 12-13,2011-01-10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3431012/,"AMPK activation upregulates LITAF and TNFSF15, which then inhibit prostate cancer cell growth and tumor progression. LITAF and TNFSF15 together form a regulatory axis that suppresses tumor growth."
Identifying and testing candidate genetic polymorphisms in irritable bowel syndrome: association with TNFSF15 and tumor necrosis factor-α,Amit H. Sachdev; Mark Pimentel,PMC3959508,PMC,2013,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3959508/,
"Quantitative Proteomics Reveals Fh15 as an Antagonist of TLR4 Downregulating the Activation of NF-κB, Inducible Nitric Oxide, Phagosome Signaling Pathways, and Oxidative Stress of LPS-Stimulated Macrophages",Albersy Armina-Rodriguez; Bianca N. Valdés Fernandez; Carlimar Ocasio-Malavé; Yadira M. Cantres Rosa...,Matched: 2.5. Measurement of TNF-α Levels in Supernatant of Culture from Bone M,cat /papers/PMC12294962/content.lines --lines 28,2025-07-18,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12294962/,"Quantitative proteomics identified proteins downregulated by Fh15 in LPS-stimulated macrophages. Fh15 broadly targets multiple TLR4 downstream pathways, modulating inflammatory responses."
Reduced monocyte and macrophage TNFSF15/TL1A expression is associated with susceptibility to inflammatory bowel disease,Arianne C. Richard; James E. Peters; Natalia Savinykh; James C. Lee; Eric T. Hawley; Françoise Meyla...,Matched: Discussion,cat /papers/PMC6130856/content.lines --lines 43-44,2018-09-10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6130856/,"This study investigated the relationship between TNFSF15 gene expression and inflammatory bowel disease (IBD) susceptibility. Reduced TNFSF15 expression in monocytes is associated with increased IBD risk, suggesting that higher expression may be protective."
Protective effect of growth differentiation factor 15 in sepsis by regulating macrophage polarization and its mechanism,Xinliang Zhang; Shimin Dong,Matched: GDF15 expression,cat /papers/PMC9161903/content.lines --lines 94-97,2022-04-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9161903/,"Growth differentiation factor 15 (GDF15) was studied for its protective effects in sepsis by regulating macrophage polarization. GDF15 activates the PI3K/Akt pathway, promoting M2 polarization, reducing inflammation, and improving survival in sepsis models."
Distinct Expression Patterns of Two Tumor Necrosis Factor Superfamily Member 15 Gene Isoforms in Human Colon Cancer,Tomasz Jerzy Ślebioda; Marcin Stanisławowski; Marta Cyman; Piotr Mieczysław Wierzbicki; Dorota Żuraw...,Matched: Discussion,cat /papers/PMC6584785/content.lines --lines 89-90,2019-02-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6584785/,"The study examined the expression of two TNFSF15 gene isoforms and their receptor in colon cancer. Higher VEGI-192 and lower TL1A expression correlated with longer patient survival, suggesting prognostic value."
GDF15 orchestrates mitochondrial-immune crosstalk via SMAD7-HIF-1α-PKM2 cascade to attenuate septic liver injury,Xiandong Kuang; Zhili Niu; Wenqiang Liu; Zhaoyang Huang; Shuo Li; Ye Zhang; Li Wang; Xin Cai; Faxi W...,Matched: LPS challenge induces time-dependent mitochondrial dysfunction and met,cat /papers/PMC12872506/content.lines --lines 48,2026-01-22,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12872506/,"Sepsis-induced multi-organ failure involves pathological crosstalk between mitochondrial dysfunction and hyperinflammation, yet endogenous protective mechanisms remain incompletely defined. This study"
"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",Leah Elson; Niels Eijkelkamp; J. Henk Coert,Matched: M1 Macrophage polarization mechanism,cat /papers/PMC13372918/content.lines --lines 71-74,2026-07-15,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13372918/,This systematic review synthesized evidence for a conserved lipopolysaccharide (LPS)-mediated pathogenic mechanism across diverse tissues and evaluated its potential relevance to peripheral neuropathy
Differential mRNA and miRNA Profiles Reveal the Potential Roles of Genes and miRNAs Involved in LPS Infection in Chicken Macrophages,Qi Zhang; Jie Wang; Jin Zhang; Jie Wen; Guiping Zhao; Qinghe Li,Matched: 1. Introduction,cat /papers/PMC8155903/content.lines --lines 9-11,2021-05-17,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8155903/,"Chicken macrophages were stimulated with LPS, and their mRNA and miRNA profiles were analyzed. This revealed differentially expressed genes and miRNAs involved in immune responses, offering insights into bacterial infection mechanisms."
Monocyte normal immune response to LPS stimulation,P Myrianthefs; K Venetsanou; E Grouzi; E Boutzouka; P Evagelopoulou; G Fildissis; I Spiliotopoulou; ...,PMC3333514,PMC,2002-03-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3333514/,
Cytokine Expression and Macrophage Localization in Xenograft and Allograft Tumor Models Stimulated with Lipopolysaccharide,Junko Masuda; Tsukasa Shigehiro; Takuma Matsumoto; Ayano Satoh; Akifumi Mizutani; Chiho Umemura; Sho...,Matched: 2.2. Pro-Inflammatory Cytokine Production in Nude Mice Stimulated by L,cat /papers/PMC5979423/content.lines --lines 22,2018-04-23,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5979423/,"This study compared myeloid cell responses in xenograft and allograft tumor models after LPS stimulation. Xenografts showed sustained macrophage and DC function, while allografts exhibited suppressed responses to LPS."
Tremella fuciformis Polysaccharides Attenuate Oxidative Stress and Inflammation in Macrophages through miR-155,Yang Ruan; Hong Li; Lianmei Pu; Tao Shen; Zening Jin,Matched: 3.3. TFPS Attenuates the Macrophage Inflammatory Reaction Induced by L,cat /papers/PMC5954968/content.lines --lines 48,2018-05-02,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5954968/,Tremella fuciformis polysaccharides were studied for their effects on LPS-induced inflammation and oxidative stress in macrophages. TFPS attenuates these processes by downregulating miR-155 and inhibiting NF-κB activation.
"Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile",Pablo Veloso; Alejandra Fernández; Jessica Astorga; David González-Quintanilla; Alfredo Castro; Alej...,Matched: 5. Conclusions,cat /papers/PMC9456100/content.lines --lines 70-73,2022-09-02,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9456100/,"This study investigated the effects of lipopolysaccharides from *Porphyromonas gingivalis* and *Porphyromonas endodontalis* on macrophage polarization. *P. gingivalis* LPS induced an M1 macrophage profile, while *P. endodontalis* LPS did not."
Genetic and Epigenetic Etiology of Inflammatory Bowel Disease: An Update,Sara Jarmakiewicz-Czaja; Magdalena Zielińska; Aneta Sokal; Rafał Filip,Matched: 2.3.6. TNFSF15/TL1A (Tumor Necrosis Factor Superfamily Member 15),cat /papers/PMC9778199/content.lines --lines 46-47,2022-12-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9778199/,This review examines genetic and epigenetic factors contributing to inflammatory bowel disease (IBD). It highlights the complex interplay of genetic predisposition and drug response in IBD development.
The Clinical Value of GDF15 and Its Prospective Mechanism in Sepsis,Huan Li; Dongling Tang; Juanjuan Chen; Yuanhui Hu; Xin Cai; Pingan Zhang,Matched: Effect of GDF15 on Polarization of THP-1 and RAW264.7 Cells,cat /papers/PMC8456026/content.lines --lines 134-135,2021-09-08,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8456026/,"This study investigated the clinical value of GDF15 in sepsis and its effects on macrophage inflammation. Elevated GDF15 levels are associated with sepsis severity and prognosis, and GDF15 reduces inflammation and enhances macrophage function by modulating JAK1/STAT3 and NF-κB signaling."
