title,authors,id,source,date,url,abstract
Regulation of Serum Amyloid A3 (SAA3) in Mouse Colonic Epithelium and Adipose Tissue by the Intestinal Microbiota,Christopher S. Reigstad; Gunnel Östergren Lundén; Jenny Felin; Fredrik Bäckhed,Matched: LPS Induces SAA3 and TNF-α Expression in Colonic Epithelial Cells and,cat /papers/PMC2688757/content.lines --lines 34-37,2009-06-09,https://doi.org/10.1371/journal.pone.0005842,"Intestinal microbes significantly increase SAA3 expression in mouse colonic and adipose tissues. This upregulation, particularly in the colon, is partly mediated by the TLR/MyD88/NF-kappaB pathway in response to bacterial LPS."
Serum Amyloid A3 is required for normal lung development and survival following influenza infection,Jennifer L. Ather; Oliver Dienz; Jonathan E. Boyson; Vikas Anathy; Eyal Amiel; Matthew E. Poynter,Matched: The response to low-dose intranasal LPS is exacerbated in the absence,cat /papers/PMC6224415/content.lines --lines 24-25,2018-11-08,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6224415/,"SAA3 knockout mice were studied to understand its role in lung development and immune responses. SAA3 deficiency impairs lung development, leads to obesity, and reduces protection against influenza infection."
Differential expression of serum amyloid A1 and A3 in bovine epithelia,Eriko MURATA; Satoi KOZAKI; Tomoaki MURAKAMI; Kaori SHIMIZU; Ayaka OKADA; Naotaka ISHIGURO; Yasuo IN...,Matched: mRNA expression of SAA1 and SAA3 in BIE and MAC-T cells is stimulated,cat /papers/PMC7324830/content.lines --lines 51-52,2020-05-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7324830/,"This study investigated the expression of SAA1 and SAA3 in bovine epithelia. SAA3, but not SAA1, is upregulated by LPS and expressed in various bovine epithelial tissues, suggesting an immune role."
Serum Amyloid A3 Gene Expression in Adipocytes is an Indicator of the Interaction with Macrophages,Yohei Sanada; Takafumi Yamamoto; Rika Satake; Akiko Yamashita; Sumire Kanai; Norihisa Kato; Fons AJ ...,Matched: Saa3 promoter activity is up-regulated in the presence of activated ma,cat /papers/PMC5144138/content.lines --lines 17-18,2016-12-08,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5144138/,"The study investigated how macrophage interaction affects adipocyte gene expression, identifying Saa3 as a key factor. Saa3 gene expression in adipocytes indicates the presence of infiltrating macrophages in obese adipose tissue."
Lipopolysaccharide and lipoteichoic acid enhance serum amyloid A3 mRNA expression in murine alveolar epithelial cells,Ami IWATA; Kaori SHIMIZU; Haruka KAWASAKI; Ayaka OKADA; Yasuo INOSHIMA,PMC6863727,The Journal of Veterinary Medical Science,2019-08-06,https://doi.org/10.1292/jvms.19-0154,"Murine alveolar epithelial cells were exposed to LPS and LTA to study SAA mRNA expression. Both LPS and LTA enhanced SAA3 mRNA expression, with LPS being more potent."
Detection of a mediator derived from endotoxin-stimulated macrohpages that induces the acute phase serum amyloid A response in mice,Matched: cat /papers/PMC2185651/content.lines --lines 5,PMC2185651,PMC,1979-09-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2185651/,"A mediator from LPS-stimulated macrophages was detected that induces the acute phase serum amyloid A (SAA) response in mice. This mediator appears before SAA synthesis, suggesting macrophages initiate the SAA response to LPS."
Early immune responses to systemic inflammation in the postnatal mouse brain initiated by migrating macrophages and leptomeningeal fibroblasts,Rei Settsu; Aki Obara; Takehiko Tarui; Sanae Hasegawa-Ishii; Atsuyoshi Shimada,Matched: Well-constructed blood-brain barrier functionality after intraperitone,cat /papers/PMC12514789/content.lines --lines 116,2025-10-11,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12514789/,"Systemic inflammation in postnatal mice was initiated by leptomeningeal macrophages and fibroblasts. These cells triggered an increase in brain macrophages/microglia and upregulated inflammatory gene expression, priming the brain for further inflammation."
The Inflammatory Role of Serum Amyloid A in the Pathogenesis and Progression of Diabetic Nephropathy,Antigoni Stavrou; Christina A. Kousparou; Argyrios Tsakalis,Matched: 3. Serum Amyloid A,cat /papers/PMC12693104/content.lines --lines 33-35,2025-11-27,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12693104/,"This paper examines the inflammatory role of Serum Amyloid A (SAA) in diabetic nephropathy (DN). SAA acts as both a biomarker and a mediator of renal inflammation, contributing to DN progression and offering potential therapeutic targets."
Serum Amyloid A3 Expression Is Enhanced by Gram-Negative Bacterial Stimuli in Bovine Endometrial Epithelial Cells,Kazuha Aoyagi; Keishi Owaki; Hiroki Sakai; Ayaka Okada; Yasuo Inoshima,Matched: 3.2. Protein Expressions of SAA1 and SAA3 in BEnEpCs Treated with LPS,cat /papers/PMC12389636/content.lines --lines 43-44,2025-07-23,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12389636/,Bovine endometrial cells were stimulated with bacterial components to study SAA3 expression. Gram-negative bacterial stimuli significantly increased SAA3 mRNA and protein expression in these cells.
Induction of Serum Amyloid A3 in Mouse Mammary Epithelial Cells Stimulated with Lipopolysaccharide and Lipoteichoic Acid,Sato Kamiya; Kaori Shimizu; Ayaka Okada; Yasuo Inoshima,Matched: 3.2. SAA1 and SAA3 Protein Expression Levels,cat /papers/PMC8230092/content.lines --lines 37,2021-05-25,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8230092/,"Mouse mammary epithelial cells were stimulated with bacterial antigens LPS and LTA. SAA3 expression was significantly enhanced, suggesting its role in mammary gland defense against bacterial infection."
