title,authors,id,source,date,url,abstract
Macrophage stimulation by bacterial lipopolysaccharides. II. Evidence for differentiation signals delivered by lipid A and by a protein rich fraction of lipopolysaccharides,,Matched: Abstract,cat /papers/PMC2184939/content.lines --lines 1-3,1978-08-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2184939/,This study investigated how lipopolysaccharides (LPS) stimulate macrophages to kill tumor cells. Lipid A and a protein-rich fraction (LAP) both independently deliver signals for macrophage differentiation.
The orientation of choroidal macrophage polarization significantly influences the development of myopia in murine models,"Jing Hou, Shin-ichi Ikeda, Kiwako Mori, Heonuk Jeong, Hidemasa Torii, Kazuno Negishi, Kazuo Tsubota ...",Matched: LPS treatment,cat /papers/bio_b06931d16f63/content.lines --lines 60,2023-06-12,,Choroidal macrophages were studied for their role in myopia development. Their polarization towards M1 or M2 phenotypes significantly influences choroidal thickness and myopia progression.
Macrophage stimulation by bacterial lipopolysaccharides. I. Cytolytic effect on tumor target cells,,Matched: Abstract,cat /papers/PMC2184936/content.lines --lines 1-3,1978-08-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2184936/,"Mouse macrophages were stimulated with bacterial lipopolysaccharides to kill tumor cells in vitro. This LPS-induced macrophage cytotoxicity is nonspecific, requires viable effector cells, and is dependent on macrophage density."
Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,Sara Soudi; Ahmad Zavaran-Hosseini; Zuhair Muhammad Hassan; Masoud Soleimani; Fatemeh Jamshidi Adega...,Matched: Introduction,cat /papers/PMC3660024/content.lines --lines 18-19,2013-05-05,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3660024/,Peritoneal macrophages from BALB/c and C57BL/6 mice were stimulated with LPS to compare their responses. Different mouse strains exhibit distinct cytokine profiles and functional activities when exposed to LPS.
"Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile",Pablo Veloso; Alejandra Fernández; Jessica Astorga; David González-Quintanilla; Alfredo Castro; Alej...,Matched: 5. Conclusions,cat /papers/PMC9456100/content.lines --lines 70-73,2022-09-02,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9456100/,"This study investigated the effects of lipopolysaccharides from *Porphyromonas gingivalis* and *Porphyromonas endodontalis* on macrophage polarization. *P. gingivalis* LPS induced an M1 macrophage profile, while *P. endodontalis* LPS did not."
Lipopolysaccharide-Activated Macrophages Suppress Cellular Senescence and Promote Rejuvenation in Human Dermal Fibroblasts,Hiroyuki Inagawa; Chie Kohchi; Miyuki Uehiro; Gen-Ichiro Soma,Matched: 3. Discussion,cat /papers/PMC12346749/content.lines --lines 40-42,2025-07-22,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12346749/,LPS-activated macrophages were studied for their effect on senescent human dermal fibroblasts. Their secretions suppressed senescence and partially rejuvenated aged fibroblasts.
Lipopolysaccharide preconditioning augments the antibacterial activity of renal macrophages and ameliorates acute kidney injury caused by Staphylococcus aureus bacteremia in mice,Keiko Tanoue; Manabu Kinoshita; Bradley M Kearney; Seigo Ito; Hiroyasu Goto; Aoi Yamashiro; Tsugumi ...,Matched: LPS preconditioning,cat /papers/PMC12035103/content.lines --lines 20,2025-04-17,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12035103/,"Lipopolysaccharide preconditioning was studied for its effects on renal macrophages and acute kidney injury in mice infected with *Staphylococcus aureus*. Preconditioning enhanced renal macrophage antibacterial activity, reducing bacterial growth and ameliorating kidney injury."
A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy,Diletta Ami; Ana Rita Franco; Valentina Artusa; Paolo Mereghetti; Francesco Peri; Antonino Natalello,Matched: 1. Introduction,cat /papers/PMC9656053/content.lines --lines 10-12,2022-11-03,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9656053/,"Fourier transform infrared microspectroscopy analyzed THP-1 derived macrophages treated with LPS. The study identified spectral markers in lipids, proteins, and sulfated sugars, highlighting their role in inflammation."
LPS adsorption and inflammation alleviation by polymyxin B-modified liposomes for atherosclerosis treatment,Huiwen Liu; Honglan Wang; Qiyu Li; Yiwei Wang; Ying He; Xuejing Li; Chunyan Sun; Onder Ergonul; Füsu...,Matched: Inhibitive effect of PLPs on LPS-induced macrophage activation,cat /papers/PMC10501887/content.lines --lines 58-59,2023-06-13,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10501887/,"Polymyxin B-modified liposomes were developed to adsorb lipopolysaccharide (LPS) for atherosclerosis treatment. This approach reduced inflammation, stabilized plaques, and attenuated atherosclerosis progression by targeting circulating LPS."
Lipopolysaccharide from biofilm-forming Pseudomonas aeruginosa PAO1 induces macrophage hyperinflammatory responses,Sufei Wang; Dandan Xiang; Fangbing Tian; Ming Ni,Matched: Aim,cat /papers/PMC8289208/content.lines --lines 11,2021-04-28,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8289208/,Biofilm-forming *Pseudomonas aeruginosa* LPS was studied for its effect on macrophage polarization. This LPS induced hyperinflammatory responses and increased bacterial growth in macrophages compared to planktonic LPS.
