rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC4188127,“Of Mice and Men”: Arginine Metabolism in Macrophages,success,no,,,
2,PMC7905073,Nitric oxide produced by NOS2 copes with the cytotoxic effects of superoxide in macrophages,success,yes,"While the NOS2 protein was barely detected in cells that had been cultivated in conventional media, LPS stimulation induced NOS2 expression in WT and SOD1KO macrophages but not in NOS2KO or DKO macrophages (Fig. 2A).",Nos2,
3,PMC6245571,Species-Specific Transcriptional Regulation of Genes Involved in Nitric Oxide Production and Arginine Metabolism in Macrophages,success,yes,"In rats, as in mice, LPS strongly induced Nos2, the arginine transporter Slc7a2, arginase 1 (Arg1), GTP cyclohydrolase (Gch1), and argininosuccinate synthase (Ass1).",Nos2,
4,PMC8146495,Lipopolysaccharide-Induced Nitric Oxide and Prostaglandin E2 Production Is Inhibited by Tellimagrandin II in Mouse and Human Macrophages,success,yes,"Pre- or post-treatment with 50 ̱M TGII significantly attenuated LPS-induced NOS2 mRNA and protein expression in RAW 264.7 cells (Figure 2B,C).",Nos2,
5,PMC7851796,Dataset on the differentiation of THP-1 monocytes to LPS inducible adherent macrophages and their capacity for NO/iNOS signaling,success,yes,"Moreover, the expression of iNOS was not induced by LPS (1 Γ%,1 ΓΕ/ΓcΓaΓc) in THP-1 cells.",iNOS,
6,PMC4049611,A Defective TLR4 Signaling for IFN-β Expression Is Responsible for the Innately Lower Ability of BALB/c Macrophages to Produce NO in Response to LPS as Compared to C57BL/6,success,yes,"We showed by Western blot that LPS induces a strong expression of iNOS (130 kDa) (Fig. 3A) in C57BL/6 macrophages, detected as early as 6 h (Fig. 3B).",iNOS,
7,PMC12592619,Neutrophilic granule protein promotes lipopolysaccharide-induced iNOS/NO expression via JAK2/STAT1 signaling pathway and augments bacteria clearance of macrophages,success,yes,"The results showed that 220 DEGs were upregulated in response to LPS challenge, among which the expression level of iNOS gene (Nos2) was significantly elevated (Fig. 1A).",Nos2;iNOS,
8,PMC4284740,"Pheophytin a Inhibits Inflammation via Suppression of LPS-Induced Nitric Oxide Synthase-2, Prostaglandin E2, and Interleukin-1β of Macrophages",success,yes,"The LPS-induced expression of the NOS2 gene was also repressed by pre-treatment with pheophytin a in a dose-dependent manner, including its protein (Figure 2C) and mRNA levels (Figure 2D).",Nos2,
9,PMC2365621,Modulation of nitric oxide synthase activity in macrophages,success,no,"Data from Jorens et al., 1991. 4,, Hydrocortisone; B, dexamethasone.",,yes->no: evidence does not name the gene
10,PMC3891534,Anti-Inflammatory Cytokine Interleukin-4 Inhibits Inducible Nitric Oxide Synthase Gene Expression in the Mouse Macrophage Cell Line RAW264.7 through the Repression of Octamer-Dependent Transcription,timeout,,,,
