rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC6245571,Species-Specific Transcriptional Regulation of Genes Involved in Nitric Oxide Production and Arginine Metabolism in Macrophages,success,yes,"In rats, as in mice (19), LPS greatly increased (18-fold) expression of the cationic amino acid transporter, Slc7a2, whereas goats were the only large animal species in which SLC7A2 mRNA was detectable (TPM 6) and regulated to any degree by LPS, with an induced level (TPM≈16) still lower than the basal level in the rat (TPM 46).",Slc7a2,
2,PMC7128890,FOCIS abstract supplement,success,no,,,
3,PMC12268560,The NF-κB-SLC7A11 axis regulates ferroptosis sensitivity in inflammatory macrophages,success,no,,,
4,PMC6411972,Characterisation of genes differentially expressed in macrophages by virulent and attenuated Mycobacterium tuberculosisthrough RNA-Seq analysis,success,yes,"To clarify the role of Slc7a2 during mycobacterial infection, the temporal gene expression levels were examined by RT-PCR in Rv- and Ra-infected BMDMs.",Slc7a2,
5,PMC11112377,Amino acid transporters within the solute carrier superfamily: Underappreciated proteins and novel opportunities for cancer therapy,success,no,,,
6,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,
7,PMC13199726,Exosomal miR-148a-3p from LPS-Activated Macrophages Promotes M1 Polarization and Ferroptosis-Related Characteristics of Recipient Macrophages by Reducing SLC7A11,success,no,,,
8,PMC3237590,Cationic Amino Acid Transporter 2 Enhances Innate Immunity during Helicobacter pylori Infection,success,yes,"We have demonstrated that cationic amino acid transporter 2 (CAT2) expression is upregulated in macrophages in vitro, and in mouse and human gastritis tissues, with co-localization to gastric macrophages by immunostaining; we also identified CAT2 as the protein responsible for the uptake of l-arginine (L-Arg) into macrophages [4].",Cat2,
9,PMC5526900,l-Arginine Uptake by Cationic Amino Acid Transporter Promotes Intra-Macrophage Survival of Leishmania donovani by Enhancing Arginase-Mediated Polyamine Synthesis,success,no,,,
10,PMC4188127,“Of Mice and Men”: Arginine Metabolism in Macrophages,success,no,,,
11,PMC10412850,Sulfur metabolic response in macrophage limits excessive inflammatory response by creating a negative feedback loop,success,no,,,
12,PMC12950507,Slc7a11‐Mediated Cystine/Glutamate Antiport Reprograms Macrophage Polarization and Ameliorates Atherosclerosis,success,no,,,
13,PMC2999609,In Lysinuric Protein Intolerance system y+L activity is defective in monocytes and in GM-CSF-differentiated macrophages,success,no,,,
14,PMC3507808,A new metabolomic assay to examine inflammation and redox pathways following LPS challenge,success,no,,,
15,PMC7891337,Frontline Science: LPS‐inducible SLC30A1 drives human macrophage‐mediated zinc toxicity against intracellular Escherichia coli,success,no,,,
16,PMC7386301,Species-Specificity of Transcriptional Regulation and the Response to Lipopolysaccharide in Mammalian Macrophages,success,yes,"As noted previously (Young et al., 2018) the sheep BMDM did not show induction of NOS2 mRNA, nor of the inducible arginine transporter SLC7A2 at any time point.",Slc7a2,
17,PMC2265428,Cationic Amino Acid Transporter-2 Regulates Immunity by Modulating Arginase Activity,success,yes,"Several pro-inflammatory mediators including LPS can regulate the expression of CAT2; thus, it likely functions as the key L-arginine transporter during inflammatory responses.",Cat2,
18,PMC5868322,Downregulation of SLC7A7 Triggers an Inflammatory Phenotype in Human Macrophages and Airway Epithelial Cells,success,no,,,
19,PMC12713647,"Single-cell to pre-clinical evaluation of Trem2, Folr2, and Slc7a7 as macrophage-associated biomarkers for atherosclerosis",success,no,,,
20,PMC7232099,Solute Carrier Family 37 Member 2 (SLC37A2) Negatively Regulates Murine Macrophage Inflammation by Controlling Glycolysis,success,no,,,
21,PMC5788887,Role of SLC7A5 in Metabolic Reprogramming of Human Monocyte/Macrophage Immune Responses,success,no,,,
22,PMC8702732,Hematopoietic Cell-Specific SLC37A2 Deficiency Accelerates Atherosclerosis in LDL Receptor-Deficient Mice,success,no,"L86: Since LPS, oxLDL, and IL-4 induce macrophage SLC37A2 protein expression, we speculate that induction of macrophage SLC37A2 expression promotes inflammation resolution and slows atherosclerosis progression.",,yes->no: evidence does not name the gene
23,PMC6377304,Loss of Solute Carrier Family 7 Member 2 Exacerbates Inflammation-Associated Colon Tumorigenesis,success,yes,IFN-\u03b3 + LPS stimulation resulted in robust expression of the M1 markers Nos2 and Il1b (Figure 6a) in both WT and Slc7a2\u2013/\u2013 BMmacs.,Slc7a2,
24,PMC4051248,Expression and Regulation of the Proton-Coupled Oligopeptide Transporter PhT2 by LPS in Macrophages and Mouse Spleen,success,no,,,
25,PMC11077379,Aberrant Expression of SLC7A11 Impairs the Antimicrobial Activities of Macrophages in Staphylococcus Aureus Osteomyelitis in Mice,success,no,,,
26,bio_4372973f6c5f,Hematopoietic-SLC37A2 deficiency accelerates atherosclerosis in LDL receptor-deficient mice,success,no,,,
27,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,,,
28,PMC7383006,SLC Solute Carrier Transporters and Neurodegenerative Disorders: Drawing Attention to Cationic Amino Acid Transporters 1 and 2,success,no,,,
29,bio_1e45c9e1730b,Erythropoietin supplementation ameliorates the immunological and hematological deficiencies of lysinuric protein intolerance in mice,success,no,,,
30,PMC13394352,The Pathological Roles of Cationic Amino Acid Transporters (CATs) in Cancer,success,no,,,
31,PMC9881254,SLC38A6 expression in macrophages exacerbates pulmonary inflammation,success,no,,,
32,PMC11980831,Asparagine transporter supports macrophage inflammation via histone phosphorylation,success,no,,,
33,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,,,
34,PMC12035103,Lipopolysaccharide preconditioning augments the antibacterial activity of renal macrophages and ameliorates acute kidney injury caused by Staphylococcus aureus bacteremia in mice,success,no,,,
35,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,,,
36,PMC6977534,Solute carrier transporters: the metabolic gatekeepers of immune cells,success,no,,,
37,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,yes,"This effect is mediated by different genes such as the cationic amino acid transporters Slc7a2, Slc12a4, Slc1a4, Slc39a14, Slc3a2, and Slc4a7 found expressed exclusively in the in vivo M1(=LPS+)C57BL/6J signature.",Slc7a2,
38,PMC10998134,Targeting SLC22A5 fosters mitophagy inhibition-mediated macrophage immunity against septic acute kidney injury upon CD47-SIRPα axis blockade,success,no,,,
39,PMC4778050,Age-associated metabolic dysregulation in bone marrow-derived macrophages stimulated with lipopolysaccharide,success,yes,"Only Slc7a2 was differentially expressed between young and old macrophages after 16 hrs of LPS exposure, for which the expression of Slc7a2 in young macrophages was 1.43-fold greater than the old (L27).",Slc7a2,
40,bio_761ce1f96d2a,The cationic amino acid exporter Slc7a7 is vital for and induced in tissue macrophages with sustained efferocytic activity,success,no,,,
41,PMC13193715,Lipopolysaccharide stimulates dynamic changes in B cell metabolism to promote proliferation,success,no,,,
42,PMC5724256,Metal transporter Slc39a10 regulates susceptibility to inflammatory stimuli by controlling macrophage survival,success,no,,,
43,PMC3660024,Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,success,no,,,
44,PMC5081186,The L-Arginine Transporter Solute Carrier Family 7 Member 2 Mediates the Immunopathogenesis of Attaching and Effacing Bacteria,success,yes,"When compared to uninfected mice, there was a significant increase in Slc7a2 mRNA levels in colonic tissues from C. rodentium-infected mice (Fig 1A).",Slc7a2,
45,PMC7918892,LPS Tolerance Inhibits Cellular Respiration and Induces Global Changes in the Macrophage Secretome,success,no,,,
46,PMC7379312,Histone deacetylase 2 is essential for LPS‐induced inflammatory responses in macrophages,success,no,,,
47,bio_1a9f83e66ed3,LPCAT2 Regulates CD14 Expression During Macrophage Inflammatory Response to E. coli O111:B4,success,no,,,
48,PMC11044785,Study on the Role and Mechanism of SLC3A2 in Tumor-Associated Macrophage Polarization and Bladder Cancer Cells Growth,success,no,,,
49,PMC4905593,Expression Profiling of LPS Responsive miRNA in Primary Human Macrophages,success,no,,,
50,PMC9368968,Hypoxia Aggravates Inhibition of Alveolar Epithelial Na-Transport by Lipopolysaccharide-Stimulation of Alveolar Macrophages,success,no,,,
