rank,paper_id,title,judge_status,answer,evidence
1,bio_b06931d16f63,The orientation of choroidal macrophage polarization significantly influences the development of myopia in murine models,success,no,
2,PMC10167635,Induction of unique macrophage subset by simultaneous stimulation with LPS and IL-4,success,no,
3,PMC11882325,Interleukins-27 Aggravates Liver Injury by Impairing the Antimicrobial Response of Macrophages via the Promotion of Mitochondrial Dysfunction in the Context of Sepsis,success,no,
4,PMC10091190,LPS combined with CD47mAb enhances the anti‑osteosarcoma ability of macrophages,success,no,
5,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,success,no,
6,PMC2107732,INVOLVEMENT OF MACROPHAGES IN COLLAGEN RESORPTION,success,no,
7,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,
8,PMC3660024,Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,success,no,
9,PMC13199726,Exosomal miR-148a-3p from LPS-Activated Macrophages Promotes M1 Polarization and Ferroptosis-Related Characteristics of Recipient Macrophages by Reducing SLC7A11,success,no,
10,PMC12967598,IL-27 Aggravates Sepsis-Induced ARDS by Driving Macrophage Ferroptosis Through Activation of NCOA4-Mediated Ferritinophagy,success,no,
11,PMC11063594,A sequential macrophage activation strategy for bone regeneration: A micro/nano strontium-releasing composite scaffold loaded with lipopolysaccharide,success,no,
12,bio_5e67bb726e21,IL-27 neutralization enhances macrophage polarization and improves immune checkpoint efficacy,success,no,
13,PMC7689775,LPS‐Induced Inflammation Prior to Injury Exacerbates the Development of Post‐Traumatic Osteoarthritis in Mice,success,no,
14,PMC2949756,Motif prediction to distinguish LPS-stimulated pro-inflammatory vs. antibacterial macrophage genes,success,no,
15,PMC9609449,Effect of regulating macrophage polarization phenotype on intervertebral disc degeneration,success,no,
16,PMC6484317,Overview of RAW264.7 for osteoclastogensis study: Phenotype and stimuli,success,no,
17,PMC3317238,LPS Counter Regulates RNA Expression of Extracellular Proteases and Their Inhibitors in Murine Macrophages,success,no,
18,bio_206e5a356c66,Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,success,no,
19,PMC7275413,Progranulin inhibits LPS-induced macrophage M1 polarization via NF-кB and MAPK pathways,success,no,
20,PMC4534598,Mmu-miR-27a-5p-Dependent Upregulation of MCPIP1 Inhibits the Inflammatory Response in LPS-Induced RAW264.7 Macrophage Cells,success,no,
21,PMC7918892,LPS Tolerance Inhibits Cellular Respiration and Induces Global Changes in the Macrophage Secretome,success,no,
22,PMC11453053,STAT3 blockade ameliorates LPS-induced kidney injury through macrophage-driven inflammation,success,no,
23,PMC6135775,IL-27 amplifies cytokine responses to Gram-negative bacterial products and Salmonella typhimurium infection,success,no,
24,PMC10157156,IL-27 induces an IFN-like signature in murine macrophages which in turn modulate colonic epithelium,success,no,
25,PMC9411976,"Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS",success,no,
