rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC3317238,LPS Counter Regulates RNA Expression of Extracellular Proteases and Their Inhibitors in Murine Macrophages,success,yes,yes,"L38: While the RNA expression of the Plg-activators was decreased by LPS treatment, the opposite was true for the inhibitors of tPA and uPA, PAI-1, and PAI-2 (Serpine1 and Serpinb2). Their expression was increased by up to 32 folds.","L17: After 0, 2, 6, and 18 hours of vehicle or LPS stimulation, the RAW 264.7 cultures were harvested by removing the supernatant and lysing the cells using the NucleoSpin RNAII kit for RNA purification (Macherey-Nagel, Germany).",Serpinb2;PAI-2;SERPINB2,LPS,
2,PMC2817383,Comparative Analyses of Transcriptional Profiles in Mouse Organs Using a Pneumonic Plague Model after Infection with Wild-Type Yersinia pestis CO92 and Its Braun Lipoprotein Mutant,success,no,no,,,,,
3,PMC7123840,Regulation of Neutrophil Serine Proteases by Intracellular Serpins,success,no,no,,,,,
4,PMC13090332,Author Correction: Tissue-resident macrophage survival depends on mitochondrial function regulated by SerpinB2 in chronic inflammation,success,no,no,,,,,
5,PMC10638313,Transcriptomic analysis reveals that RasGEF1b deletion alters basal and LPS-induced expression of genes involved in chemotaxis and cytokine responses in macrophages,success,yes,yes,"Its expression is highly induced by LPS in macrophages [41, 53].",We used a luciferase-based reporter assay to showcase the capability of RasGEF1b in activating the Serpinb2 promoter.,Serpinb2;SERPINB2,LPS,
6,PMC6712035,SerpinB2 inhibits migration and promotes a resolution phase signature in large peritoneal macrophages,success,no,no,,,,,
7,PMC5332009,Genome-wide siRNA screen of genes regulating the LPS-induced TNF-α response in human macrophages,success,no,no,,,,,
8,PMC11221169,SerpinB2 deficiency is associated with delayed mammary tumor development and decreased pro-tumorigenic macrophage polarization,success,yes,yes,"LPS induced the upregulation of SerpinB2, but SerpinB2 siRNA (10 nM) suppressed the LPS-induced SerpinB2 upregulation in RAW264.7 cells (Fig. 7E), indicating effective knockdown of SerpinB2.","Lipopolysaccharides (LPS, 100 ng/ml, Sigma-Aldrich, St. Louis, MO, USA) was used to induce the upregulation of SerpinB2 in RAW264.7 cells as a positive control.",Serpinb2;SERPINB2,LPS;Lipopolysaccharides,
9,PMC12902017,Tissue-resident macrophage survival depends on mitochondrial function regulated by SerpinB2 in chronic inflammation,success,no,no,,,,,
10,PMC3589482,The Transcription Factor C/EBP-β Mediates Constitutive and LPS-Inducible Transcription of Murine SerpinB2,success,yes,yes,"LPS stimulated an increase in SerpinB2 mRNA expression in wild-type MEFs (Fig. 6A), whereas LPS-stimulated SerpinB2 mRNA expression was significantly dampened in Cebpb-/- MEFs as compared to wild-type.",L42: Figure 1: LPS induction of SerpinB2 mRNA and protein expression in murine macrophage cells.,Serpinb2;SERPINB2,LPS,
11,PMC4378362,Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,success,no,no,,,,,
12,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
13,PMC6277787,A Novel Lipopolysaccharide Recognition Mechanism Mediated by Internalization in Teleost Macrophages,success,no,no,,,,,
14,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
15,PMC5358891,Analysis of the human monocyte-derived macrophage transcriptome and response to lipopolysaccharide provides new insights into genetic aetiology of inflammatory bowel disease,success,no,no,,,,,
16,PMC12183897,SPI1 upregulated LILRB2 to enhance the immunosuppressive phenotype of LPS-tolerant macrophages by inhibiting TLR8-mediated MyD88/NF-κB signaling,success,no,no,,,,,
17,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
18,PMC5332015,Genome-wide siRNA screen of genes regulating the LPS-induced NF-κB and TNF-α responses in mouse macrophages,success,no,no,,,,,
19,PMC10604266,Saikosaponin-b2 Inhibits Primary Liver Cancer by Regulating the STK4/IRAK1/NF-κB Pathway,success,no,no,,,,,
20,PMC5892728,Inhibitor of serine peptidase 2 enhances Leishmania major survival in the skin through control of monocytes and monocyte-derived cells,success,no,no,,,,,
21,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,no,,,,,
22,PMC6952955,Upregulation of Mitochondrial Redox Sensitive Proteins in LPS-Treated Stefin B-Deficient Macrophages,success,no,no,,,,,
23,PMC4470529,Macrophage phenotype in sepsis immunosuppression,success,no,no,,,,,
24,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
25,PMC7481448,Serine Supports IL-1β Production in Macrophages Through mTOR Signaling,success,no,no,,,,,
