title,authors,id,source,date,url,abstract
Macrophage autophagy protects against acute kidney injury by inhibiting renal inflammation through the degradation of TARM1,Xiao-Rong Huang; Lin Ye; Ning An; Chun-Yu Wu; Hong-Luan Wu; Hui-Yuan Li; Yan-Heng Huang; Qiao-Ru Ye;...,Matched: Autophagy suppresses macrophage pro-inflammatory activities by targeti,cat /papers/PMC11702950/content.lines --lines 33-34,2024-08-28,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11702950/,"Macrophage autophagy was studied in acute kidney injury (AKI). Macrophage autophagy protects against AKI by degrading TARM1, thereby inhibiting renal inflammation."
"Triggering Receptor Expressed on Myeloid Cells-1 (TREM-1) in Inflammation and Disease: Mechanisms, Therapeutic Potential, and Future Directions",Neerja Trivedi; Jitendra D. Bhosale; Amit Pant; Sonali P. Suryawanshi; Prerna Tiwari; Peter W. Abel;...,Matched: 3.1. LPS Modulates TREM-1 Activation,cat /papers/PMC12608911/content.lines --lines 22,2025-10-25,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12608911/,"This review analyzes TREM-1's role in amplifying inflammation and its dysregulation in disease. Targeting TREM-1, especially with new small-molecule modulators, shows therapeutic promise for inflammatory conditions."
Expression analysis of G Protein-Coupled Receptors in mouse macrophages,Jane E Lattin; Kate Schroder; Andrew I Su; John R Walker; Jie Zhang; Tim Wiltshire; Kaoru Saijo; Chr...,Matched: LPS-regulated GPCR expression in mouse macrophages,cat /papers/PMC2394514/content.lines --lines 134-162,2008-04-29,https://doi.org/10.1186/1745-7580-4-5,"This study analyzed GPCR expression in mouse macrophages, comparing it to other cell types and LPS-stimulated macrophages. Several P2RY family members showed macrophage-specific expression or LPS-regulated changes, suggesting roles in macrophage biology and inflammation."
Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,Marco Orecchioni; Yanal Ghosheh; Akula Bala Pramod; Klaus Ley,PMC7053374,Frontiers in Immunology,2020-02-25,https://doi.org/10.3389/fimmu.2020.00234,
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,"Marco Orecchioni, Yanal Ghosheh, Akula Bala Pramod, Klaus Ley",Matched: In vivo M1(=LPS+)C57BL/6J Exclusive Genes Drive Anti-bacterial Immune,cat /papers/PMC6543837/content.lines --lines 40-43,2019-05-24,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6543837/,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
Expression of Siglec-E Alters the Proteome of Lipopolysaccharide (LPS)-Activated Macrophages but Does Not Affect LPS-Driven Cytokine Production or Toll-Like Receptor 4 Endocytosis,Manjula Nagala; Emma McKenzie; Hannah Richards; Ritu Sharma; Sarah Thomson; Pietro Mastroeni; Paul R...,Matched: Author Contributions,cat /papers/PMC5775731/content.lines --lines 90,2018-01-15,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5775731/,Siglec-E expression was studied in LPS-activated macrophages. Siglec-E alters macrophage proteomes but does not affect LPS-driven cytokine production or TLR4 endocytosis.
Physical exercise mitigates chronic psychological stress‐induced vascular inflammation via the BDNF–Kif4–TARM1 axis,Xianghui Zheng; Yunqi Li; Peiyao Wang; Zhou Guo; Yuxuan Liu; Qi Liu; Baitao Wang; Huiyu Wang; Lizhi ...,Matched: The Kif4–TARM1 axis drives macrophage inflammation in vitro,cat /papers/PMC13096691/content.lines --lines 54,2026-04-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13096691/,Chronic psychological stress drives neuroimmune crosstalk and accelerates atherosclerosis progression. Physical exercise confers broad health benefits and is associated with reduced inflammation. Howe
Commentary: Triggering Receptor Expressed on Myeloid Cells-1 Inhibitor Targeted to Endothelium Decreases Cell Activation,Alexander B. Sigalov,PMC7026307,PMC,2020-02-11,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7026307/,
Gut microbiota and tumor-associated macrophages: potential in tumor diagnosis and treatment,Dongqin Zhou; Yongsheng Li,Matched: LPS,cat /papers/PMC10653702/content.lines --lines 17-18,2023-11-09,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10653702/,This review examines how gut microbiota influence tumor-associated macrophages (TAMs). This interaction offers potential for improved tumor diagnosis and treatment strategies.
"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",Leah Elson; Niels Eijkelkamp; J. Henk Coert,Matched: M1 Macrophage polarization mechanism,cat /papers/PMC13372918/content.lines --lines 71-74,2026-07-15,https://doi.org/10.1007/s00011-026-02317-3,This systematic review synthesized evidence for a conserved lipopolysaccharide (LPS)-mediated pathogenic mechanism across diverse tissues and evaluated its potential relevance to peripheral neuropathy
