title,authors,id,source,date,url,abstract
A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy,Diletta Ami; Ana Rita Franco; Valentina Artusa; Paolo Mereghetti; Francesco Peri; Antonino Natalello,Matched: 1. Introduction,cat /papers/PMC9656053/content.lines --lines 10-12,2022-11-03,https://doi.org/10.3390/ijms232113447,"Fourier transform infrared microspectroscopy analyzed THP-1 derived macrophages treated with LPS. The study identified spectral markers in lipids, proteins, and sulfated sugars, highlighting their role in inflammation."
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,"Marco Orecchioni, Yanal Ghosheh, Akula Bala Pramod, Klaus Ley",Matched: Introduction,cat /papers/PMC6543837/content.lines --lines 14-15,2019-05-24,https://doi.org/10.3389/fimmu.2019.01084,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
Epigenetic profile in lipopolysaccharide-stimulated macrophages,Ester Correia Sarmento Rios; Thais Martins Lima Salgado; Francisco Garcia Soriano,PMC3953056,Critical Care,2013-11-05,https://doi.org/10.1186/cc12987,
"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",Leah Elson; Niels Eijkelkamp; J. Henk Coert,Matched: Study overview,cat /papers/PMC13372918/content.lines --lines 53-56,2026-07-15,https://doi.org/10.1007/s00011-026-02317-3,This systematic review synthesized evidence for a conserved lipopolysaccharide (LPS)-mediated pathogenic mechanism across diverse tissues and evaluated its potential relevance to peripheral neuropathy
RNA-Binding Proteins in the Control of LPS-Induced Macrophage Response,"Dirk H. Ostareck, Antje Ostareck-Lederer",Matched: KH Domain Protein hnRNP K Modulates mRNA Translation,cat /papers/PMC6369361/content.lines --lines 38-39,2019-02-04,https://doi.org/10.3389/fgene.2019.00031,"This review examines RNA-binding proteins (RBPs) like TTP, HUR, TIAR, and hnRNP K in LPS-induced macrophage responses. These RBPs globally regulate inflammation-related gene expression, impacting signaling and cytokine production."
p204 Is Required for Canonical Lipopolysaccharide-induced TLR4 Signaling in Mice,Young-Su Yi; Jinlong Jian; Elena Gonzalez-Gugel; Yong-Xiang Shi; Qingyun Tian; Wenyu Fu; Aubryanna H...,Matched: p204 Did Not Recognize Intracellular LPS and Was Dispensable for Infla,cat /papers/PMC5925582/content.lines --lines 65-66,2018-02-16,https://doi.org/10.1016/j.ebiom.2018.02.012,"p204-deficient mice were generated to study its role in innate immunity. p204 is required for canonical LPS-induced TLR4 signaling, as its absence impairs cytokine production and leads to resistance to LPS shock."
Monocyte normal immune response to LPS stimulation,P Myrianthefs; K Venetsanou; E Grouzi; E Boutzouka; P Evagelopoulou; G Fildissis; I Spiliotopoulou; ...,PMC3333514,Critical Care,2002-03-01,https://doi.org/10.1186/cc1554,
LKB1‐MARK2 signalling mediates lipopolysaccharide‐induced production of cytokines in mouse macrophages,Jie Deng; Chunmei Wen; Xiangyu Ding; Xi Zhang; Guoqing Hou; Andong Liu; Hui Xu; Xuan Cao; Yongheng B...,Matched: INTRODUCTION,cat /papers/PMC7576310/content.lines --lines 13-15,2020-08-25,https://doi.org/10.1111/jcmm.15710,High-throughput phosphoproteomics identified novel mediators of LPS-induced signaling in mouse macrophages. LKB1-MARK2 signaling was found to regulate the production of key inflammatory cytokines.
HuR modulation counteracts lipopolysaccharide response in murine macrophages,Isabelle Bonomo; Giulia Assoni; Valeria La Pietra; Giulia Canarutto; Elisa Facen; Greta Donati; Chia...,Matched: TM7nox reduces inflammatory and chemotaxis response induced by LPS in,cat /papers/PMC10110401/content.lines --lines 35-36,2023-03-29,https://doi.org/10.1242/dmm.050120,Small-molecule tanshinone mimics were shown to inhibit the RNA-binding protein HuR in macrophages. These mimics counteracted LPS-induced inflammation by reducing the expression of key immune response genes.
Recombinant human KAI1/CD82 attenuates M1 macrophage polarization on LPS-stimulated RAW264.7 cells via blocking TLR4/JNK/NF-κB signal pathway,"Hyesook Lee, Jung-Hwa Han, Kangbin An, Yun Jeong Kang, Hyun Hwangbo, Ji Hye Heo, Byung Hyun Choi, Ja...",PMC10315567,biomedrxiv,2023-06-30,https://doi.org/10.5483/BMBRep.2022-0189,Recombinant human KAI1/CD82 was studied for its effect on LPS-stimulated macrophages. It attenuates M1 macrophage polarization by blocking the TLR4/JNK/NF-κB pathway.
