rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC2688757,Regulation of Serum Amyloid A3 (SAA3) in Mouse Colonic Epithelium and Adipose Tissue by the Intestinal Microbiota,success,yes,yes,"In the CMT-93 cells, LPS induced a concentration-dependent increase in SAA3 mRNA levels, with a 27-fold increase observed at 1 ug/ml.",LPS induced SAA3 and TNF-alpha expression in colonic epithelial cells and macrophages,Saa3;SAA3,LPS,
2,PMC6224415,Serum Amyloid A3 is required for normal lung development and survival following influenza infection,success,yes,yes,"Lack of SAA3 protein was confirmed in the serum and BAL fluid of SAA3−/− mice, whereas it was strongly induced by LPS instillation in the wild type mice.",Wild type and SAA3−/− mice received 100 ng of LPS intranasally in 40 Γl of sterile saline.,Saa3;SAA3,LPS,
3,PMC7324830,Differential expression of serum amyloid A1 and A3 in bovine epithelia,success,yes,yes,SAA3 mRNA expression in BIE cells was enhanced to a greater extent than that of SAA1 by higher concentrations of LPS (10 and 100 µg/ml; Fig. 2A).,Bovine small intestinal epithelial (BIE) cells and mammary epithelial MAC-T cells were incubated with lipopolysaccharide (LPS) (0–100 µg/ml) for 2 hr at 37°C.,Saa3;SAA3,LPS;lipopolysaccharide,
4,PMC5144138,Serum Amyloid A3 Gene Expression in Adipocytes is an Indicator of the Interaction with Macrophages,success,no,yes,We found that 224 adipocyte genes were significantly up-regulated more than fivefold upon co-culture with macrophages activated by lipopolysaccharide (LPS).,"DNA microarray analysis, based on a system containing 5693 gene probes (Affymetrix, Santa Clara, CA, USA), was used to compare transcriptional profiles between 3T3-L1 cells co-cultured with RAW264.7 cells in the presence or absence of LPS.",,lipopolysaccharide;LPS,yes->no: evidence does not name the gene
5,PMC6863727,Lipopolysaccharide and lipoteichoic acid enhance serum amyloid A3 mRNA expression in murine alveolar epithelial cells,success,yes,yes,"In MLE-15 cells, SAA3 mRNA expression was significantly enhanced (P<0.01) under all concentrations of LPS (0.01–100 µg/ml) (Fig. 1A).",MLE-15 cells were treated with 0–100 µg/ml LPS (A) or LTA (B) at 37°C for 2 hr.,Saa3;SAA3,LPS,
6,PMC2185651,Detection of a mediator derived from endotoxin-stimulated macrohpages that induces the acute phase serum amyloid A response in mice,success,no,yes,C3H/HeJ mice show a diminished SAA response to all forms of endotoxin and in particular to K235 phenol-extracted LPS.,"C3H/HeJ mice do not produce a significant SAA response to phenol extracted Escherichia coli K235 LPS, in contrast to C3H/HeN mice which exhibit a several hundred-fold increase in SAA-concentration at the peak of the acute phase response to endotoxin (13).",,endotoxin;LPS;Escherichia,yes->no: evidence does not name the gene
7,PMC12514789,Early immune responses to systemic inflammation in the postnatal mouse brain initiated by migrating macrophages and leptomeningeal fibroblasts,success,yes,yes,"The transcript expression of Saa3 in CD11b(+) cells showed the most significant increase, reaching an astonishing 10,790-fold upregulation compared with the saline control 4 h and a marked 4,459-fold increase 12 h after administration of LPS or saline (Fig. 8A).","Systemic inflammation was induced in P7, male, C57BL/6 N mice using LPS (from E. coli O55:B5; Sigma-Aldrich-Merck, Burlington, MA, USA), a bacterial endotoxin, which was administered intraperitoneally to the experimental group at a dose of 0.75 mg/kg with a 33-G Hamilton syringe (systemic inflammation group).",Saa3;SAA3,LPS;E. coli;bacterial;endotoxin,
8,PMC12693104,The Inflammatory Role of Serum Amyloid A in the Pathogenesis and Progression of Diabetic Nephropathy,success,no,no,,,,,
9,PMC12389636,Serum Amyloid A3 Expression Is Enhanced by Gram-Negative Bacterial Stimuli in Bovine Endometrial Epithelial Cells,success,yes,yes,"Conversely, LPS treatment enhanced SAA3 mRNA expression in a concentration-dependent manner (Figure 1B), with significant upregulation at 0.1, 1, 10, and 100 µg/mL, peaking at 100 µg/mL.","BEnEpCs were treated with 0–100 µg/mL of LPS (A,B) or LTA (C,D) at 37 °C for 4 h.",Saa3;SAA3,LPS,
10,PMC8230092,Induction of Serum Amyloid A3 in Mouse Mammary Epithelial Cells Stimulated with Lipopolysaccharide and Lipoteichoic Acid,success,yes,yes,"Saa3 mRNA expression levels were significantly increased ~6.5- and ~3-fold by LPS and LTA, respectively, after stimulation for 2 h (Figure 2).","NMuMG cells were seeded at a density of 4×105 cells/well in 6-well collagen-coated plates (#NCO3506, Corning, Corning, NY, USA) and incubated for 15 ± 1 h before experiments.",Saa3;SAA3,LPS,
