rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC2394514,Expression analysis of G Protein-Coupled Receptors in mouse macrophages,success,no,"Examples of these include Fzd1, Htr2b, Gpr84 (induced by LPS, Table 3), and P2ry1 and 5 (repressed by LPS, Table 4).",,yes->no: evidence does not name the gene
2,PMC10357040,Metabolite-sensing GPCRs controlling interactions between adipose tissue and inflammation,success,no,A similar increase in HCA2 expression in response to LPS is also observed in cultured adipocyte models in vitro (66).,,yes->no: evidence does not name the gene
3,bio_24b6555f70b8,Hydroxycarboxylic acid receptor 2 (HCAR2/GPR109A) expression and signaling promotes the maintenance of an immunoinhibitory retinal environment,success,no,,,
4,PMC5301212,Activated niacin receptor HCA2 inhibits chemoattractant-mediated macrophage migration via Gβγ/PKC/ERK1/2 pathway and heterologous receptor desensitization,success,no,"Consistent with the findings in RAW264.7 cell line, LPS also markedly increased HCA2 in primary mouse macrophages (Fig. 1D).",,yes->no: evidence does not name the gene
5,PMC3356039,Biological Roles and Therapeutic Potential of Hydroxy-Carboxylic Acid Receptors,success,no,,,
6,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,
7,PMC11496569,The hydroxycarboxylic acid receptor HCA2 is required for the protective effect of ketogenic diet in epilepsy,success,no,,,
8,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,,,
9,PMC13253848,Dysregulation of macrophage lipid metabolism underlies intracellular bacterial neuroinvasion,success,no,,,
10,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,
11,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,,,
12,PMC7379312,Histone deacetylase 2 is essential for LPS‐induced inflammatory responses in macrophages,success,no,,,
13,PMC12957811,Anti-inflammatory and polarization-modulating effects of Houttuynia cordata in LPS-stimulated RAW264.7 macrophages,success,no,,,
14,PMC12562522,HCX3 Mitigates LPS-Induced Inflammatory Responses in Macrophages by Suppressing the Activation of the NF-κB Signaling Pathway,success,no,,,
15,PMC5583376,Expression and anti-inflammatory role of activin receptor-interacting protein 2 in lipopolysaccharide-activated macrophages,success,no,,,
16,PMC3254936,Lipopolysaccharide alters expression of incretin receptors in monocytic and hepatocytic cell lines,success,no,,,
17,PMC8784330,Signaling metabolite L-2-hydroxyglutarate activates the transcription factor HIF-1α in lipopolysaccharide-activated macrophages,success,no,,,
18,PMC10049283,The Regulatory Roles of Ezh2 in Response to Lipopolysaccharide (LPS) in Macrophages and Mice with Conditional Ezh2 Deletion with LysM-Cre System,success,no,,,
19,PMC7573489,Lactate Suppresses Macrophage Pro-Inflammatory Response to LPS Stimulation by Inhibition of YAP and NF-κB Activation  via  GPR81-Mediated Signaling,success,no,,,
20,PMC10110401,HuR modulation counteracts lipopolysaccharide response in murine macrophages,success,no,,,
21,PMC3936424,Methyl p-Hydroxycinnamate Suppresses Lipopolysaccharide-Induced Inflammatory Responses through Akt Phosphorylation in RAW264.7 Cells,success,no,,,
22,PMC13398632,Lipopolysaccharide uptake is augmented in lipopolysaccharide‐tolerant mouse macrophage‐like cells via increased CD14 expression,success,no,,,
23,PMC6199307,LncRNA HOTAIR regulates lipopolysaccharide-induced cytokine expression and inflammatory response in macrophages,success,no,,,
24,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,,,
25,PMC4655095,Lipopolysaccharide induces a downregulation of adiponectin receptors in-vitro and in-vivo,success,no,,,
26,PMC10049483,Macrophage-Specific Coxsackievirus and Adenovirus Receptor Deletion Enhances Macrophage M1 Polarity in CVB3-Induced Myocarditis,success,no,,,
27,PMC6396203,Human and murine macrophages exhibit differential metabolic responses to lipopolysaccharide - A divergent role for glycolysis,success,no,,,
28,PMC12622418,Constitutive Androstane Receptor in Macrophages Regulates Toll‐Like Receptor 4‐Mediated Innate Immune Responses Against Endotoxemic Liver Injury,success,no,,,
29,PMC12780877,Lipoic Acid Ameliorates Lipopolysaccharide‐Induced Inflammation via Inhibition of Glycolysis in RAW264.7 Macrophages,success,no,,,
30,PMC7779815,Interplay between Saturated Free Fatty Acids and mmLDL Induces Inflammation in LPS-stimulated Macrophages,success,no,,,
31,PMC4830570,CD36 Differently Regulates Macrophage Responses to Smooth and Rough Lipopolysaccharide,success,no,,,
32,PMC2170953,Geranylgeranylacetone Ameliorates Inflammatory Response to Lipopolysaccharide (LPS) in Murine Macrophages: Inhibition of LPS Binding to The Cell Surface,success,no,,,
33,PMC7833212,Advanced glycation end-products reduce lipopolysaccharide uptake by macrophages,success,no,,,
34,PMC10588835,Macrophage specific restoration of the Nrf2 gene in whole-body knockout mice ameliorates steatohepatitis induced by lipopolysaccharide from Porphyromonas gingivalis through enhanced hepatic clearance,success,no,,,
35,PMC7518957,CD163 deficiency facilitates lipopolysaccharide‐induced inflammatory responses and endotoxin shock in mice,success,no,,,
36,PMC8638184,Rare and potentially pathogenic variants in hydroxycarboxylic acid receptor genes identified in breast cancer cases,success,no,,,
37,PMC6532841,Metabolites of lactic acid bacteria present in fermented foods are highly potent agonists of human hydroxycarboxylic acid receptor 3,success,no,,,
38,PMC12954166,Hydroxycarboxylic Acid Receptor 2 Mediates β‐hydroxybutyrate's Antiseizure Effect in Mice,success,no,,,
39,PMC8620054,Production of Hydroxycarboxylic Acid Receptor 3 (HCA3) Ligands by Bifidobacterium,success,no,,,
40,PMC5599518,Aspirin inhibits LPS-induced macrophage activation via the NF-κB pathway,success,no,,,
41,PMC3642175,Nicotinic Acid Receptor GPR109A Is Down-Regulated in Human Macrophage-Derived Foam Cells,success,no,,,
42,PMC7401756,Lactate induces alternative polarization (M2) of macrophages under lipopolysaccharide stimulation in vitro through G-protein coupled receptor 81,success,no,Lactate induced expression of GPR81 in macrophages under LPS stimulation.,,yes->no: evidence does not name the gene
43,PMC9589251,Mouse Ocilrp2/Clec2i negatively regulates LPS-mediated IL-6 production by blocking Dap12-Syk interaction in macrophage,success,no,,,
44,PMC4863972,Endotoxin Disrupts Circadian Rhythms in Macrophages via Reactive Oxygen Species,success,no,,,
45,PMC7940178,Role of HCA2 in Regulating Intestinal Homeostasis and Suppressing Colon Carcinogenesis,success,no,,,
46,bio_ea6b5db76c06,Mapping interactions of microbial metabolites and human receptors,success,no,,,
47,bio_eb0530776e54,Dynamic nucleosome redistribution and increases in nucleosome sensitivity underpin THP-1 macrophage response to LPS,success,no,,,
48,PMC6144854,Effect of Human Umbilical Vein Endothelial Cells on Immune Responses of Lipopolysaccharide-Induced THP1 Macrophages,success,no,,,
49,PMC2212382,Human Toll-like Receptor 2 Confers Responsiveness to Bacterial Lipopolysaccharide,success,no,,,
50,PMC6098961,Gambogic acid inhibits LPS-induced macrophage pro-inflammatory cytokine production mainly through suppression of the p38 pathway,success,no,,,
