rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC2107732,INVOLVEMENT OF MACROPHAGES IN COLLAGEN RESORPTION,success,no,,,
2,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,
3,PMC7356036,Collagen Fibril Density Modulates Macrophage Activation and Cellular Functions during Tissue Repair,success,no,,,
4,PMC10091190,LPS combined with CD47mAb enhances the anti‑osteosarcoma ability of macrophages,success,no,,,
5,PMC11882325,Interleukins-27 Aggravates Liver Injury by Impairing the Antimicrobial Response of Macrophages via the Promotion of Mitochondrial Dysfunction in the Context of Sepsis,success,no,,,
6,PMC6274997,Transcriptome Analysis Provides Insights into the Markers of Resting and LPS-Activated Macrophages in Grass Carp (Ctenopharyngodon idella),success,no,,,
7,bio_5e67bb726e21,IL-27 neutralization enhances macrophage polarization and improves immune checkpoint efficacy,success,no,,,
8,PMC13199726,Exosomal miR-148a-3p from LPS-Activated Macrophages Promotes M1 Polarization and Ferroptosis-Related Characteristics of Recipient Macrophages by Reducing SLC7A11,success,no,,,
9,PMC9138386,Osteocalcin Alleviates Lipopolysaccharide-Induced Acute Inflammation via Activation of GPR37 in Macrophages,success,no,,,
10,PMC6135775,IL-27 amplifies cytokine responses to Gram-negative bacterial products and Salmonella typhimurium infection,success,no,,,
11,PMC3660024,Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,success,no,,,
12,PMC12967598,IL-27 Aggravates Sepsis-Induced ARDS by Driving Macrophage Ferroptosis Through Activation of NCOA4-Mediated Ferritinophagy,success,no,,,
13,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,,,
14,PMC3242791,Collagen XXVII Organises the Pericellular Matrix in the Growth Plate,success,no,,,
15,PMC9609449,Effect of regulating macrophage polarization phenotype on intervertebral disc degeneration,success,no,,,
