title,authors,id,source,date,url,abstract
IFIT1 Exerts Opposing Regulatory Effects on the Inflammatory and Interferon Gene Programs in LPS-Activated Human Macrophages,Sinu P. John; Jing Sun; Rebecca J. Carlson; Binh Cao; Clinton J. Bradfield; Jian Song; Margery Smelk...,Matched: Dual luciferase assay of THP1 B5 human macrophage cells,cat /papers/PMC6492923/content.lines --lines 65,2019-03-19,https://doi.org/10.1016/j.celrep.2018.09.002,"IFIT1's role in LPS-activated macrophages was studied. IFIT1 negatively regulates inflammatory genes while positively regulating interferon genes, acting as a reciprocal modulator."
Role of interferon-induced GTPases in leishmaniasis,Marie Lipoldová; Yahya Sohrabi,PMC8794175,PMC,2022-01-27,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8794175/,
"IRF2 Affects LPS- and IFN-γ-Induced Pro-Inflammatory Responses, Cell Viability, Migration and Apoptosis of Macrophages by Regulating IRG1",Ru-Xue Qin; Xue-Ying Ma; Zi-Yu Han; Shi-Ya Ma; Zhao-jian Shen; Zhong-Hua Lu; Yun Sun; Wei-Li Yu,Matched: Disclosure,cat /papers/PMC11606192/content.lines --lines 83,2024-11-25,https://doi.org/10.2147/JIR.S490655,"IRF2's role in macrophage inflammatory responses was studied by manipulating its expression and that of IRG1. IRF2 regulates IRG1 to inhibit inflammation, cell migration, and apoptosis, while enhancing cell viability."
Transcriptional profiling of the LPS induced NF-κB response in macrophages,"Omar Sharif, Viacheslav N Bolshakov, Stephanie Raines, Peter Newham, Neil D Perkins",Matched: Analysis of LPS-induced gene expression in the THP-1 macrophage cell l,cat /papers/PMC1781469/content.lines --lines 26,2007-01-01,https://doi.org/10.1186/1471-2172-8-1,"This study profiled gene expression in macrophages after LPS exposure. LPS induced a dynamic, time-dependent transcriptional response, with THP-1 cells closely mimicking primary macrophages."
ARL11 regulates lipopolysaccharide-stimulated macrophage activation by promoting mitogen-activated protein kinase (MAPK) signaling,"Subhash B. Arya, Gaurav Kumar, Harmeet Kaur, Amandeep Kaur, Amit Tuli",PMC6016484,The Journal of Biological Chemistry,2018-06-22,https://doi.org/10.1074/jbc.RA117.000727,"ARL11 was studied for its role in macrophage activation. ARL11 is essential for LPS-stimulated MAPK signaling, cytokine production, and bacterial control in macrophages."
An essential role for IFN-β in the induction of IFN-stimulated gene expression by LPS in macrophages,Faruk Sheikh; Harold Dickensheets; Ana M. Gamero; Stefanie N. Vogel; Raymond P. Donnelly,Matched: Introduction,cat /papers/PMC4163629/content.lines --lines 13,2014,https://doi.org/10.1189/jlb.2A0414-191R,This study investigated the role of IFN-β in LPS-induced gene expression in macrophages. IFN-β was found to be essential for activating ISGF3 and inducing interferon-stimulated genes.
Full Spectrum of LPS Activation in Alveolar Macrophages of Healthy Volunteers by Whole Transcriptomic Profiling,Miguel Pinilla-Vera; Zeyu Xiong; Yutong Zhao; Jing Zhao; Michael P. Donahoe; Suchitra Barge; William...,Matched: Identification of novel Ubiquitin Specific Peptidase 41,cat /papers/PMC4951018/content.lines --lines 96-97,2016-07-19,https://doi.org/10.1371/journal.pone.0159329,"Human alveolar macrophages were studied for their response to LPS activation using transcriptomic profiling. LPS induced a type I interferon signature, with IRF-7 and USP18 potentially fine-tuning IL-10 production."
Human GBP1 is a microbe‐specific gatekeeper of macrophage apoptosis and pyroptosis,Daniel Fisch; Hironori Bando; Barbara Clough; Veit Hornung; Masahiro Yamamoto; Avinash R Shenoy; Eva...,Matched: Introduction,cat /papers/PMC6600649/content.lines --lines 14-15,2019-06-03,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6600649/,"Human GBP1 targets microbial vacuoles, triggering apoptosis or pyroptosis depending on the pathogen. This protein acts as a gatekeeper, controlling cell death pathways specific to invading microbes."
"Effect of LPS, dsRNA or interferons on the phagocytosis of dying cells or mycobacteria by macrophages",Frederic Vanzembergh; Greet Brouckaert; Florence Nazé; Steven Van Gucht; Tom Vanden Berghe; Dmitri K...,PMC3019512,BMC Proceedings,2011-01-10,https://doi.org/10.1186/1753-6561-5-S1-P82,
Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,"Sobia Raza, Mark W. Barnett, Zohar Barnett-Itzhaki, Ido Amit, David A. Hume, Tom C. Freeman",Matched: Introduction,cat /papers/PMC4378362/content.lines --lines 10-11,2014-08-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378362/,Transcriptomic data was analyzed to understand macrophage activation by inflammatory mediators. The LPS response can be divided into more co-regulated gene subsets than previously thought.
