rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC4163629,An essential role for IFN-β in the induction of IFN-stimulated gene expression by LPS in macrophages,success,no,no,,,,,
2,PMC4951018,Full Spectrum of LPS Activation in Alveolar Macrophages of Healthy Volunteers by Whole Transcriptomic Profiling,success,no,no,,,,,
3,PMC12518975,Six Interferon-Stimulated Genes as Biomarkers of M1 Macrophage Polarization in Psoriasis,success,no,no,,,,,
4,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
5,PMC4378362,Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,success,yes,yes,"The mid and mid-to-late transcriptional changes contain the hallmarks of classical macrophage activation; the up-regulated genes include type-I IFN response genes (Ifi204, Ifi205, Ifi35, Ifi47, Ifih1, Ifit1, Ifit2, Ifit3), ILs (Il12a, Il18, Il27, Il7), solute carriers (Slc11a, Slc15a3, Slc25a12, Slc25a22, Slc25a43, Slc26a2), pattern recognition receptors (Tlr3, Tlr6, Tlr7, Tlr8, Nod1, Nod2, Aim2), and chemokines (Ccl3, Ccl4, Ccl8, Ccl17, Ccl22, Cxcl3, Cxcl9, Cxcl10, Cxcl11, Cxcl16; Supplemental Table 2).","The genome-wide transcriptional response of macrophages to LPS has been examined previously [10, [39], 40]. We set out to examine the LPS response using the latest generation of whole genome microarray technology and more advanced computation analytical methods.",Ifi205,LPS,
6,PMC11023693,"Type I Interferon, Induced by Adenovirus or Adenoviral Vector Infection, Regulates the Cytokine Response to Lipopolysaccharide in a Macrophage Type-Specific Manner",success,no,no,,,,,
7,PMC9669445,Single cell analysis of docosahexaenoic acid suppression of sequential LPS-induced proinflammatory and interferon-regulated gene expression in the macrophage,success,no,no,,,,,
8,PMC2632614,Forced IFIT-2 expression represses LPS induced TNF-alpha expression at posttranscriptional levels,success,no,no,,,,,
9,PMC6492923,IFIT1 Exerts Opposing Regulatory Effects on the Inflammatory and Interferon Gene Programs in LPS-Activated Human Macrophages,success,no,no,,,,,
10,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,no,,,,,
11,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
12,PMC3019512,"Effect of LPS, dsRNA or interferons on the phagocytosis of dying cells or mycobacteria by macrophages",success,no,no,,,,,
13,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,success,no,no,,,,,
14,PMC8034242,Knockdown of lncRNA TapSAKI alleviates LPS-induced injury in HK-2 cells through the miR-205/IRF3 pathway,success,no,no,,,,,
15,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,no,,,,,
16,PMC6658531,IFN-γ selectively suppresses a subset of TLR4-activated genes and enhancers to potentiate macrophage activation,success,no,no,,,,,
17,PMC1187927,Delayed polarization of mononuclear phagocyte transcriptional program by type I interferon isoforms,success,no,no,,,,,
18,PMC5358891,Analysis of the human monocyte-derived macrophage transcriptome and response to lipopolysaccharide provides new insights into genetic aetiology of inflammatory bowel disease,success,no,no,,,,,
19,bio_641727ea6fc4,Chronic Interferon Stimulated Gene Transcription Promotes Oncogene Induced Breast Cancer,success,no,no,,,,,
20,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
21,PMC5925582,p204 Is Required for Canonical Lipopolysaccharide-induced TLR4 Signaling in Mice,success,no,no,,,,,
22,PMC3660024,Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,success,no,no,,,,,
23,PMC5527282,Natural variation of macrophage activation as disease-relevant phenotype predictive of inflammation and cancer survival,success,no,no,,,,,
24,PMC11829414,Tumour-derived exosomal miR-205 promotes ovarian cancer cell progression through M2 macrophage polarization via the PI3K/Akt/mTOR pathway,success,no,no,,,,,
25,PMC9916340,Lipopolysaccharide Tolerance Enhances Murine Norovirus Reactivation: An Impact of Macrophages Mainly Evaluated by Proteomic Analysis,success,no,no,,,,,
