title,authors,id,source,date,url,abstract
"Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile",Pablo Veloso; Alejandra Fernández; Jessica Astorga; David González-Quintanilla; Alfredo Castro; Alej...,Matched: 5. Conclusions,cat /papers/PMC9456100/content.lines --lines 70-73,2022-09-02,https://doi.org/10.3390/ijms231710011,"This study investigated the effects of lipopolysaccharides from *Porphyromonas gingivalis* and *Porphyromonas endodontalis* on macrophage polarization. *P. gingivalis* LPS induced an M1 macrophage profile, while *P. endodontalis* LPS did not."
Progranulin inhibits LPS-induced macrophage M1 polarization via NF-кB and MAPK pathways,Lianlian Liu; Hongmei Guo; Aimei Song; Jiahui Huang; Yu Zhang; Shanshan Jin; Shutong Li; Liguo Zhang...,Matched: Effect of LPS on macrophage M1 polarization and PGRN expression,cat /papers/PMC7275413/content.lines --lines 25-26,2020-06-05,https://doi.org/10.1186/s12865-020-00355-y,Progranulin was studied for its effect on LPS-induced macrophage M1 polarization. Progranulin inhibits M1 polarization by suppressing NF-κB and MAPK pathways.
The orientation of choroidal macrophage polarization significantly influences the development of myopia in murine models,"Jing Hou, Shin-ichi Ikeda, Kiwako Mori, Heonuk Jeong, Hidemasa Torii, Kazuno Negishi, Kazuo Tsubota ...",Matched: LPS treatment,cat /papers/bio_b06931d16f63/content.lines --lines 60,2023-06-12,,Choroidal macrophages were studied for their role in myopia development. Their polarization towards M1 or M2 phenotypes significantly influences choroidal thickness and myopia progression.
Free Fatty Acids and LPS Synergistically Promote Macrophage M1 Polarization and Insulin Resistance Via FTO-Mediated CSF1 Degradation,Xiaohui Xiao; Junhao Zhao; Guiwen Ye; Hui Li; Xiuji Huang,Matched: FFA + LPS Mediates Macrophage M1 Polarization by Upregulating FTO,cat /papers/PMC12847160/content.lines --lines 51-52,2026-01-08,https://doi.org/10.1007/s10753-025-02369-3,This study investigated how free fatty acids and LPS promote macrophage M1 polarization and insulin resistance. These factors synergistically induce insulin resistance by promoting M1 polarization via FTO-mediated CSF1 degradation.
Gut microbiota and tumor-associated macrophages: potential in tumor diagnosis and treatment,Dongqin Zhou; Yongsheng Li,Matched: LPS,cat /papers/PMC10653702/content.lines --lines 17-18,2023-11-09,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10653702/,This review examines how gut microbiota influence tumor-associated macrophages (TAMs). This interaction offers potential for improved tumor diagnosis and treatment strategies.
"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",Leah Elson; Niels Eijkelkamp; J. Henk Coert,Matched: M1 Macrophage polarization mechanism,cat /papers/PMC13372918/content.lines --lines 71-74,2026-07-15,https://doi.org/10.1007/s00011-026-02317-3,This systematic review synthesized evidence for a conserved lipopolysaccharide (LPS)-mediated pathogenic mechanism across diverse tissues and evaluated its potential relevance to peripheral neuropathy
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,"Marco Orecchioni, Yanal Ghosheh, Akula Bala Pramod, Klaus Ley",Matched: Introduction,cat /papers/PMC6543837/content.lines --lines 14-15,2019-05-24,https://doi.org/10.3389/fimmu.2019.01084,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
Gut-derived lipopolysaccharide augments adipose macrophage accumulation but is not essential for impaired glucose or insulin tolerance in mice,Robert Caesar; Christopher S Reigstad; Helene Kling Bäckhed; Christoph Reinhardt; Maria Ketonen; Gun...,Matched: Gut-derived LPS increases macrophage accumulation and proinflammatory,cat /papers/PMC3505865/content.lines --lines 72-74,2012-04-25,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3505865/,"This study investigated the role of gut microbiota and LPS in adipose tissue inflammation and glucose metabolism. Gut microbiota, but not LPS specifically, was found to be essential for impaired glucose tolerance, though LPS did promote macrophage accumulation in adipose tissue."
A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy,Diletta Ami; Ana Rita Franco; Valentina Artusa; Paolo Mereghetti; Francesco Peri; Antonino Natalello,Matched: 1. Introduction,cat /papers/PMC9656053/content.lines --lines 10-12,2022-11-03,https://doi.org/10.3390/ijms232113447,"Fourier transform infrared microspectroscopy analyzed THP-1 derived macrophages treated with LPS. The study identified spectral markers in lipids, proteins, and sulfated sugars, highlighting their role in inflammation."
Targeting the LPS-STING axis: neomycin restores STING-mediated anti-tumor immune suppression and inhibits tumor growth,Hong Fan; Dongjie Fu; Mingfu Tian; Zhiqiang Li; Siyu Liu; Chenglin Ye; Kailang Wu; Chengliang Zhu,Matched: Introduction,cat /papers/PMC12605410/content.lines --lines 21-22,2025-10-29,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12605410/,"Low-dose LPS suppresses macrophage anti-tumor immunity by impairing their response to tumor debris. Neomycin treatment reverses this suppression, inhibiting tumor growth and enhancing STING agonist therapy."
Tropomodulin1 exacerbates inflammatory response in macrophages by negatively regulating LPS-induced TLR4 endocytosis,Xueyu Geng; Xue Xia; Zhenhui Liang; Shuo Li; Zejun Yue; Huan Zhang; Lina Guo; Shan Ma; Siyu Jiang; X...,Matched: Cell culture and treatment,cat /papers/PMC11401823/content.lines --lines 28,2024-09-14,https://doi.org/10.1007/s00018-024-05424-8,"Tropomodulin 1 inhibits LPS-induced TLR4 endocytosis in macrophages. This leads to increased inflammation, but Tmod1 deficiency reduces inflammatory responses in a mouse model."
Translation control of TAK1 mRNA by hnRNP K modulates LPS-induced macrophage activation,Anke Liepelt; Jana C. Mossanen; Bernd Denecke; Felix Heymann; Rebecca De Santis; Frank Tacke; Gernot...,Matched: Identification of hnRNP K-associated mRNAs affected in macrophage LPS,cat /papers/PMC4024643/content.lines --lines 21-23,2014,https://doi.org/10.1261/rna.042788.113,"This study investigated how hnRNP K regulates TAK1 mRNA translation. Macrophage activation releases hnRNP K, relieving repression and promoting TAK1 synthesis for an inflammatory response."
Transcriptional profiling of the LPS induced NF-κB response in macrophages,Omar Sharif; Viacheslav N Bolshakov; Stephanie Raines; Peter Newham; Neil D Perkins,Matched: Analysis of LPS-induced gene expression in the THP-1 macrophage cell l,cat /papers/PMC1781469/content.lines --lines 26,2007-01-12,https://doi.org/10.1186/1471-2172-8-1,"This study profiled gene expression in macrophages after LPS exposure. LPS induced a dynamic, time-dependent transcriptional response, with THP-1 cells closely mimicking primary macrophages."
Pharmacological activation of rev-erbα suppresses LPS-induced macrophage M1 polarization and prevents pregnancy loss,Liyuan Cui; Feng Xu; Songcun Wang; Xinyi Li; Haiyan Lin; Yan Ding; Meirong Du,Matched: Activation of rev-erbα reduced the effect of LPS on macrophage polariz,cat /papers/PMC8369701/content.lines --lines 32-33,2021-08-16,https://doi.org/10.1186/s12865-021-00438-4,"Pharmacological activation of Rev-erbα with SR9009 suppresses LPS-induced M1 macrophage polarization. This approach attenuates pregnancy loss in a mouse model, suggesting a potential therapeutic strategy for inflammation-induced miscarriage."
Motif prediction to distinguish LPS-stimulated pro-inflammatory vs. antibacterial macrophage genes,Rahul K Kollipara; Narayanan B Perumal,Matched: Classification of antibacterial and pro-inflammatory macrophage genes,cat /papers/PMC2949756/content.lines --lines 18-20,2010-09-21,https://doi.org/10.1186/1745-7580-6-5,"This study analyzed gene expression patterns in LPS-stimulated macrophages to identify pro-inflammatory and antibacterial genes. It found distinct transcription factor binding site motifs associated with each gene set, helping to distinguish their regulatory mechanisms."
Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network,Gen-Ichiro Soma; Masataka Oda; Vindy Tjendana Tjhin; Chie Kohchi; Hiroyuki Inagawa,Matched: Regulation of innate immunity by LPS as an environmental agent,cat /papers/PMC11994614/content.lines --lines 29-31,2025-03-31,https://doi.org/10.3389/fimmu.2025.1563484,"Oral and transdermal LPS administration was studied for its effects on self-healing. This method safely enhances healing through a ""macrophage network"" involving mucosal immune cells."
LPS/TLR4-activated M1-polarized macrophage-derived exosomes enhance IBV vaccine efficacy in chickens,Jun Zhou; Shikai Cai; Hongbin Huang; Fan Yang; Kexin Pan; Zhaoyang Sun; Yun Fan; Feng Wen; Limei Qin...,Matched: Conclusion,cat /papers/PMC12548463/content.lines --lines 112-114,2025,https://doi.org/10.1128/jvi.01156-25,"Macrophage-derived exosomes were evaluated as an adjuvant for IBV vaccines in chickens. These exosomes significantly enhanced vaccine efficacy by boosting cellular, humoral, and mucosal immunity."
