title,authors,id,source,date,url,abstract
Epigenetic profile in lipopolysaccharide-stimulated macrophages,Ester Correia Sarmento Rios; Thais Martins Lima Salgado; Francisco Garcia Soriano,PMC3953056,Critical Care,2013-11-05,https://doi.org/10.1186/cc12987,
Genome-wide siRNA screen of genes regulating the LPS-induced TNF-α response in human macrophages,"Jing Sun, Samuel Katz, Bhaskar Dutta, Ze Wang, Iain D.C. Fraser",PMC5332009,Scientific Data,2017-03-01,https://doi.org/10.1038/sdata.2017.7,A genome-wide siRNA screen identified genes regulating the LPS-induced TNF-α response in human macrophages. Novel hits broadly affect innate inflammatory responses to microbial stimuli.
Genome-wide siRNA screen of genes regulating the LPS-induced NF-κB and TNF-α responses in mouse macrophages,"Ning Li, Samuel Katz, Bhaskar Dutta, Zachary L. Benet, Jing Sun, Iain D.C. Fraser",PMC5332015,Scientific Data,2017-03-01,https://doi.org/10.1038/sdata.2017.8,A genome-wide siRNA screen identified genes regulating LPS-induced NF-κB and TNF-α responses in mouse macrophages. This study provides a resource for analyzing gene function in this key inflammatory pathway.
RNA-Binding Proteins in the Control of LPS-Induced Macrophage Response,"Dirk H. Ostareck, Antje Ostareck-Lederer",PMC6369361,Frontiers in Genetics,2019-02-04,https://doi.org/10.3389/fgene.2019.00031,"This review examines RNA-binding proteins (RBPs) like TTP, HUR, TIAR, and hnRNP K in LPS-induced macrophage responses. These RBPs globally regulate inflammation-related gene expression, impacting signaling and cytokine production."
LPS inhibits TRIM65 expression in macrophages and C57BL/6J mouse by activating the ERK1/2 signaling pathway,Xufang Zeng; Xinxin Deng; Yuqi Ni; Hongfeng Bi; Meiling Jiang; Dan Wang; Pengzhi Dong; Yunfei Xiao; ...,Matched: Abstract,cat /papers/PMC10068263/content.lines --lines 1-11,2023-03-14,https://doi.org/10.3892/etm.2023.11887,"LPS treatment was studied for its effect on TRIM65 expression in macrophages and mice. LPS inhibits TRIM65 expression via the ERK1/2 pathway, and TRIM65 knockout exacerbates inflammatory cytokine production."
Tripartite Motif Containing 52 Positively Regulates NF-κB Signaling by Promoting IκBα Ubiquitination in Lipopolysaccharide-Treated Microglial Cell Activation,Pei Zhang; Yimin Wu; Ruifeng Li; Huicheng Lv; Baolong Yu,Matched: LPS-induced microglial cell activation,cat /papers/PMC7607666/content.lines --lines 24,2020-10-30,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7607666/,"This study investigated TRIM52's role in LPS-induced microglial activation. TRIM52 promotes IκBα ubiquitination, activating NF-κB signaling and regulating inflammation."
Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,Marco Orecchioni; Yanal Ghosheh; Akula Bala Pramod; Klaus Ley,PMC7053374,Frontiers in Immunology,2020-02-25,https://doi.org/10.3389/fimmu.2020.00234,
Transcriptional profiling of the LPS induced NF-κB response in macrophages,"Omar Sharif, Viacheslav N Bolshakov, Stephanie Raines, Peter Newham, Neil D Perkins",PMC1781469,BMC Immunology,2007-01-01,https://doi.org/10.1186/1471-2172-8-1,"This study profiled gene expression in macrophages after LPS exposure. LPS induced a dynamic, time-dependent transcriptional response, with THP-1 cells closely mimicking primary macrophages."
Regulation of innate immune signalling pathways by the tripartite motif (TRIM) family proteins,Taro Kawai; Shizuo Akira,Matched: NEGATIVE REGULATION OF TLR4 SIGNALLING BY TRIM30α,cat /papers/PMC3377094/content.lines --lines 117,2011,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3377094/,This paper reviews how tripartite motif (TRIM) proteins regulate innate immune signaling pathways. TRIM proteins modulate pattern-recognition receptor signaling to control host defense responses.
Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,"Sobia Raza, Mark W. Barnett, Zohar Barnett-Itzhaki, Ido Amit, David A. Hume, Tom C. Freeman",PMC4378362,PMC,2014-08-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378362/,Transcriptomic data was analyzed to understand macrophage activation by inflammatory mediators. The LPS response can be divided into more co-regulated gene subsets than previously thought.
