rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC5332009,Genome-wide siRNA screen of genes regulating the LPS-induced TNF-α response in human macrophages,success,no,no,,,,,
2,PMC5332015,Genome-wide siRNA screen of genes regulating the LPS-induced NF-κB and TNF-α responses in mouse macrophages,success,no,no,,,,,
3,PMC2949756,Motif prediction to distinguish LPS-stimulated pro-inflammatory  vs . antibacterial macrophage genes,success,no,no,,,,,
4,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
5,PMC12151969,Multi-omics analysis of tumor necrosis factor superfamily 4 reveals its prognostic value with T cell exhaustion feature in cancer,success,no,no,,,,,
6,PMC2359863,The Activation of Macrophage and Upregulation of CD40 Costimulatory Molecule in Lipopolysaccharide-Induced Acute Lung Injury,success,no,no,,,,,
7,PMC10091190,LPS combined with CD47mAb enhances the anti‑osteosarcoma ability of macrophages,success,no,no,,,,,
8,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,no,,,,,
9,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
10,PMC6978349,Effects of thrombospondin-4 on pro-inflammatory phenotype differentiation and apoptosis in macrophages,success,no,no,,,,,
11,bio_206e5a356c66,Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,success,no,no,,,,,
12,PMC9411976,"Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS",success,no,no,,,,,
13,PMC10859262,NF-κB p65 and TCF-4 interactions are associated with LPS-stimulated IL-6 secretion of macrophages,success,no,no,,,,,
14,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
15,PMC9456100,"Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile",success,no,no,,,,,
16,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
17,PMC3622012,NF-κB Plays a Key Role in Inducing  CD274  Expression in Human Monocytes after Lipopolysaccharide Treatment,success,no,no,,,,,
18,PMC8155903,Differential mRNA and miRNA Profiles Reveal the Potential Roles of Genes and miRNAs Involved in LPS Infection in Chicken Macrophages,success,no,no,,,,,
19,PMC10167635,Induction of unique macrophage subset by simultaneous stimulation with LPS and IL-4,success,no,no,,,,,
20,bio_aec0e8f76c09,Effect of Thrombospondin-4 on Pro-inflammatory Phenotype Differentiation and Apoptosis in Macrophages,success,no,no,,,,,
21,PMC4695100,"Hyperinflammation, T cells, and endotoxemia",success,no,no,,,,,
22,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,success,no,no,,,,,
23,PMC11994614,Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network,success,no,no,,,,,
24,PMC10949775,Lipopolysaccharide regulation of antiinflammatory tristetraprolin family and proinflammatory gene expression in mouse macrophages,success,no,no,,,,,
25,PMC11135766,In vivo cisplatin-resistant neuroblastoma metastatic model reveals tumour necrosis factor receptor superfamily member 4 (TNFRSF4) as an independent prognostic factor of survival in neuroblastoma,success,no,no,,,,,
