title,authors,id,source,date,url,abstract
SHISA3 Reprograms Tumor‐Associated Macrophages Toward an Antitumoral Phenotype and Enhances Cancer Immunotherapy,Shimeng Zhang; Bingbing Yu; Chunjie Sheng; Chen Yao; Yang Liu; Jing Wang; Qi Zeng; Yizhi Mao; Jinxin...,Matched: SHISA3 Promotes Macrophage Polarize Toward an M1 Phenotype,cat /papers/PMC11423144/content.lines --lines 34,2024-07-25,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11423144/,This study investigated SHISA3's role in reprogramming tumor-associated macrophages. SHISA3 enhances cancer immunotherapy by promoting an antitumoral macrophage phenotype and boosting T cell responses.
"Lipopolysaccharide (LPS)-induced Macrophage Activation and Signal Transduction in the Absence of Src-Family Kinases Hck, Fgr, and Lyn",Fanying Meng; Clifford A. Lowell,PMC2196288,PMC,1997-05-05,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2196288/,"This study investigated LPS-induced macrophage activation in mice lacking Src-family kinases Hck, Fgr, and Lyn. Macrophages from these mice showed no major defects in LPS-induced activation, indicating these kinases are not obligatory for LPS signaling."
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,"Marco Orecchioni, Yanal Ghosheh, Akula Bala Pramod, Klaus Ley",PMC6543837,Frontiers in Immunology,2019-05-24,https://doi.org/10.3389/fimmu.2019.01084,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
Genome-wide siRNA screen of genes regulating the LPS-induced NF-κB and TNF-α responses in mouse macrophages,"Ning Li, Samuel Katz, Bhaskar Dutta, Zachary L. Benet, Jing Sun, Iain D.C. Fraser",PMC5332015,Scientific Data,2017-03-01,https://doi.org/10.1038/sdata.2017.8,A genome-wide siRNA screen identified genes regulating LPS-induced NF-κB and TNF-α responses in mouse macrophages. This study provides a resource for analyzing gene function in this key inflammatory pathway.
Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,Marco Orecchioni; Yanal Ghosheh; Akula Bala Pramod; Klaus Ley,PMC7053374,Frontiers in Immunology,2020-02-25,https://doi.org/10.3389/fimmu.2020.00234,
Epigenetic profile in lipopolysaccharide-stimulated macrophages,Ester Correia Sarmento Rios; Thais Martins Lima Salgado; Francisco Garcia Soriano,PMC3953056,Critical Care,2013-11-05,https://doi.org/10.1186/cc12987,
The Anti-Inflammatory Effects of Shinbaro3 Is Mediated by Downregulation of the TLR4 Signalling Pathway in LPS-Stimulated RAW 264.7 Macrophages,Hwa-Jin Chung; Wonil Koh; Won Kyung Kim; Joon-Shik Shin; Jinho Lee; Sang Kook Lee; In-Hyuk Ha,Matched: 3.3. Effect of Shinbaro3 on Inflammatory Mediator Expression,cat /papers/PMC5907526/content.lines --lines 46,2018-04-05,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5907526/,Shinbaro3 was studied for its anti-inflammatory effects in LPS-stimulated macrophages. It was found to inhibit inflammation by downregulating the TLR4 signaling pathway.
Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,"Sobia Raza, Mark W. Barnett, Zohar Barnett-Itzhaki, Ido Amit, David A. Hume, Tom C. Freeman",PMC4378362,PMC,2014-08-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378362/,Transcriptomic data was analyzed to understand macrophage activation by inflammatory mediators. The LPS response can be divided into more co-regulated gene subsets than previously thought.
"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",Leah Elson; Niels Eijkelkamp; J. Henk Coert,Matched: Study overview,cat /papers/PMC13372918/content.lines --lines 44-48,2026-07-15,https://doi.org/10.1007/s00011-026-02317-3,This systematic review synthesized evidence for a conserved lipopolysaccharide (LPS)-mediated pathogenic mechanism across diverse tissues and evaluated its potential relevance to peripheral neuropathy
Investigation of microRNAs in mouse macrophage responses to lipopolysaccharide-stimulation by combining gene expression with microRNA-target information,"Chia-Chun Chiu, Wei-Sheng Wu",PMC4682375,biomedrxiv,2015-01-01,https://doi.org/10.1186/1471-2164-16-S12-S13,This study integrated gene expression and miRNA-target data to analyze mouse macrophage responses to LPS. The findings suggest miRNAs are important regulators of LPS-induced innate immune responses in macrophages.
