title,authors,id,source,date,url,abstract
Progranulin inhibits LPS-induced macrophage M1 polarization via NF-кB and MAPK pathways,Lianlian Liu; Hongmei Guo; Aimei Song; Jiahui Huang; Yu Zhang; Shanshan Jin; Shutong Li; Liguo Zhang...,Matched: The key role of TNF-α in LPS-induced macrophage M1 polarization,cat /papers/PMC7275413/content.lines --lines 34-35,2020-06-05,https://doi.org/10.1186/s12865-020-00355-y,Progranulin was studied for its effect on LPS-induced macrophage M1 polarization. Progranulin inhibits M1 polarization by suppressing NF-κB and MAPK pathways.
Macrophage priming and lipopolysaccharide-triggered release of tumor necrosis factor alpha during graft-versus-host disease,,Matched: Abstract,cat /papers/PMC2119110/content.lines --lines 1-3,1992-02-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2119110/,"This study examined macrophage activation and TNF-alpha release during graft-versus-host disease (GVHD). Macrophages are primed during GVHD, leading to lethal TNF-alpha release upon encountering endogenous lipopolysaccharide."
Kappa B-type enhancers are involved in lipopolysaccharide-mediated transcriptional activation of the tumor necrosis factor alpha gene in primary macrophages,,PMC2187654,PMC,1990-01-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2187654/,"Kappa B-type enhancers were studied for their role in LPS-mediated TNF-alpha gene activation in macrophages. These enhancers, along with factors interacting with the Y box, are crucial for LPS-induced TNF-alpha gene transcription."
Lipopolysaccharide-induced selective priming effects on tumor necrosis factor alpha and nitric oxide production in mouse peritoneal macrophages,,Matched: Abstract,cat /papers/PMC2190891/content.lines --lines 1-3,1993-02-01,https://doi.org/10.1084/jem.177.2.511,"Macrophages were precultured with low-dose LPS, then restimulated. This pretreatment selectively primes macrophages for differential responses to subsequent stimuli, rather than causing total refractoriness."
Genome-wide siRNA screen of genes regulating the LPS-induced TNF-α response in human macrophages,Jing Sun; Samuel Katz; Bhaskar Dutta; Ze Wang; Iain D.C. Fraser,Matched: Screening reagents,cat /papers/PMC5332009/content.lines --lines 34-37,2017-03-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5332009/,A genome-wide siRNA screen identified genes regulating the LPS-induced TNF-α response in human macrophages. Novel hits broadly affect innate inflammatory responses to microbial stimuli.
PDX regulates inflammatory cell infiltration via resident macrophage in LPS‐induced lung injury,Yang Ye; Hua‐Wei Zhang; Hong‐Xia Mei; Hao‐Ran Xu; Shu‐Yang Xiang; Qian Yang; Sheng‐Xing Zheng; Fang ...,Matched: PDX reduced neutrophil recruitment via recruited macrophage TNF‐α/MIP‐,cat /papers/PMC7521295/content.lines --lines 55-57,2020-07-31,https://doi.org/10.1111/jcmm.15679,Protectin DX (PDX) was studied for its effect on LPS-induced lung injury. PDX reduces inflammatory cell infiltration by repressing resident macrophage MCP-1 and MIP-2 expression.
Genome-wide siRNA screen of genes regulating the LPS-induced NF-κB and TNF-α responses in mouse macrophages,Ning Li; Samuel Katz; Bhaskar Dutta; Zachary L. Benet; Jing Sun; Iain D.C. Fraser,Matched: Day 4: TNF-α reporter imaging data collection,cat /papers/PMC5332015/content.lines --lines 43,2017-03-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5332015/,A genome-wide siRNA screen identified genes regulating LPS-induced NF-κB and TNF-α responses in mouse macrophages. This study provides a resource for analyzing gene function in this key inflammatory pathway.
AS-703026 Inhibits LPS-Induced TNFα Production through MEK/ERK Dependent and Independent Mechanisms,Ping Li; Yonghong Wu; Manxiang Li; Xiaojuan Qiu; Xiaoyan Bai; Xiaojing Zhao,Matched: 3.1. AS-703026 inhibits LPS-induced TNFα production in RAW 264.7 murin,cat /papers/PMC4575053/content.lines --lines 46-47,2015-09-18,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4575053/,"AS-703026 was studied for its effect on LPS-induced TNFα production in macrophages and human cells. The compound inhibits TNFα production through MEK/ERK dependent and independent pathways, including NFκB inhibition."
Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,"S. Dey, D. Boucher, J. W. Pitchford, D. Lagos *",Matched: Macrophage community AIH is dependent on LPS dose,cat /papers/bio_206e5a356c66/content.lines --lines 42-45,2021-09-19,,"This study mathematically models macrophage responses to LPS, analyzing single-cell protein expression. Macrophage hypo-responsiveness to secondary LPS challenges is driven by altered transition rates to non-responsive states."
LPS‐stimulated NF‐κB p65 dynamic response marks the initiation of TNF expression and transition to IL‐10 expression in RAW 264.7 macrophages,Stuart Hobbs; Marinaliz Reynoso; Alyssa V. Geddis; Alexander Y. Mitrophanov; Ronald W. Matheny,Matched: LPS stimulation of IL‐10 expression occurs subsequent to TNFα expressi,cat /papers/PMC6234144/content.lines --lines 49,2018-11-13,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6234144/,"LPS stimulation kinetics of NF-κB, TNF-α, and IL-10 were studied in macrophages. NF-κB activation precedes TNF-α expression, which then transitions to IL-10 expression."
