rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,bio_582891fd6ece,Adventitial macrophage accumulation impairs perivascular nerve function in mesenteric arteries with inflammatory bowel disease,success,no,no,,,,,
2,PMC3317238,LPS Counter Regulates RNA Expression of Extracellular Proteases and Their Inhibitors in Murine Macrophages,success,no,no,,,,,
3,PMC9979126,N6-methyladenosine of Spi2a attenuates inflammation and sepsis-associated myocardial dysfunction in mice,success,yes,yes,"Supported by the analysis of RNA-sequencing data mentioned above, we noticed Serpina3f expression is also substantially boosted in BMDMs following LPS treatment among the 14 members of mouse Serpina3 family (Serpina3a-n) (Fig. S4i).","In BMDMs exposed to LPS, we verified the upregulation of Serpina3f and confirmed overexpression of SERPINA3F exerted an inhibitory function in cytokines (Fig. S4i-k).",Serpina3f;SERPINA3,LPS,
4,PMC5332009,Genome-wide siRNA screen of genes regulating the LPS-induced TNF-α response in human macrophages,success,no,no,,,,,
5,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
6,PMC4378362,Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,success,no,no,,,,,
7,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
8,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
9,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
10,PMC3589482,The Transcription Factor C/EBP-β Mediates Constitutive and LPS-Inducible Transcription of Murine SerpinB2,success,no,no,,,,,
11,PMC7481448,Serine Supports IL-1β Production in Macrophages Through mTOR Signaling,success,no,no,,,,,
12,bio_78de31c56fc5,Sex differences in nociceptor translatomes contribute to divergent prostaglandin signaling in male and female mice,success,no,no,,,,,
13,PMC4470529,Macrophage phenotype in sepsis immunosuppression,success,no,no,,,,,
14,PMC11202707,SRSF3 Knockdown Inhibits Lipopolysaccharide-Induced Inflammatory Response in Macrophages,success,no,no,,,,,
15,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,no,,,,,
16,PMC12346749,Lipopolysaccharide-Activated Macrophages Suppress Cellular Senescence and Promote Rejuvenation in Human Dermal Fibroblasts,success,no,no,,,,,
17,PMC5892728,Inhibitor of serine peptidase 2 enhances Leishmania major survival in the skin through control of monocytes and monocyte-derived cells,success,no,no,,,,,
18,PMC7918892,LPS Tolerance Inhibits Cellular Respiration and Induces Global Changes in the Macrophage Secretome,success,no,no,,,,,
19,PMC12768378,Reversal of filarial serpin Wb123-urokinase plasminogen activator receptor mediated alternative macrophage activation by monoclonal antibody,success,no,no,,,,,
20,PMC3019512,"Effect of LPS, dsRNA or interferons on the phagocytosis of dying cells or mycobacteria by macrophages",success,no,no,,,,,
21,PMC10940789,LPS-Induced Modifications in Macrophage Transcript and Secretion Profiles Are Linked to Muscle Wasting and Glucose Intolerance,success,no,no,,,,,
22,bio_74c36375729f,MARCO is an IFN-restricted immunometabolic decoy LPS receptor,success,no,no,,,,,
23,PMC7518957,CD163 deficiency facilitates lipopolysaccharide‐induced inflammatory responses and endotoxin shock in mice,success,no,no,,,,,
24,PMC12813378,Serpina3c Mitigates Adipose Tissue Inflammation by Inhibiting the HIF1α-Mediated Endoplasmic Reticulum Overoxidation in Adipocytes,success,no,no,,,,,
25,PMC3440592,Ecotin-like serine peptidase inhibitor ISP1 of Leishmania major plays a role in flagellar pocket dynamics and promastigote differentiation,success,no,no,,,,,
