title,authors,id,source,date,url,abstract
Downregulated PLAU alleviates acute rejection after liver transplantation by targeting Ptgs2 in macrophages,Qiong Qin; Zhe-Chao Wang; Shi-Ming Jiang; Jun-Hua Gong; Yong Zhou; Zhao-Wei Wu; Yong Chen,"Matched: LPS stimulation promoted PLAU and Ptgs2 expression, induced macrophage",cat /papers/PMC13078257/content.lines --lines 112-113,2026-03-31,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13078257/,"Downregulated PLAU alleviates acute rejection after liver transplantation by targeting Ptgs2 in macrophages. PLAU and Ptgs2 expression increases in rejection, and reducing PLAU suppresses macrophage M1-polarization and rejection. This pathway offers a potential therapeutic target."
"Robust, sensitive, and quantitative single-cell proteomics based on ion mobility filtering","Jongmin Woo, Geremy C. Clair, Sarah M. Williams, Song Feng, Chia-Feng Tsai, Ronald J. Moore, William...",Matched: Large-scale proteome profiling of single macrophage cells in response,cat /papers/bio_374dd4d36e7b/content.lines --lines 41,2021-01-30,,"A new method, TIFF, uses ion mobility filtering to improve single-cell proteomics sensitivity and accuracy. This approach enables deeper proteome analysis and novel applications in cell population classification."
Integrating Network Pharmacology And Experimental Verification To Explore The Mechanism Of Qionggui Power Against Atherosclerosis,"Yuqing Wang *, Yonghong Man, Xu Jiang, Dong Shui, Qing Zhao, Shujiao Li, Guo Zhuang",Matched: Effects Of QP On Peroxisome Proliferator-Activated Receptors Gamma (PP,cat /papers/bio_bc9546606c31/content.lines --lines 68,2022-11-01,,"Network pharmacology and experimental verification were used to explore Qionggui Power's mechanism against atherosclerosis. Qionggui Power suppresses inflammation by inhibiting the NF-κB pathway, offering therapeutic potential for atherosclerosis."
Bacterial lipopolysaccharides prime macrophages for enhanced release of arachidonic acid metabolites,,PMC2188197,PMC,1986-07-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2188197/,Macrophages pre-exposed to LPS become primed for significantly increased arachidonic acid secretion. This priming enhances responses to various triggers and persists for at least 30 hours.
Curcumin alleviates LPS-induced WI-38 cell inflammation injury by regulating PTGS2 expression,Hongli Xiao; Wangsheng Ma; Lin Zha; Yanmin Xiao; Hui Li,Matched: Knockdown of PTGS2 alleviates LPS-stimulated WI-38 cell inflammation d,cat /papers/PMC12083002/content.lines --lines 65-66,2025-05-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12083002/,Curcumin was studied for its effects on inflammation in LPS-treated WI-38 cells. Curcumin alleviated LPS-induced cell damage by regulating PTGS2 expression.
Dynamic changes in macrophage populations and resulting alterations in Prostaglandin E2 sensitivity in mice with diet-induced MASH,Madita Vahrenbrink; C. D. Coleman; S. Kuipers; I. Lurje; L. Hammerich; D. Kunkel; J. Keye; S. Dittri...,Matched: Discussion,cat /papers/PMC12083000/content.lines --lines 60-62,2025-05-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12083000/,This study examined changes in liver macrophage populations and their response to PGE2 during diet-induced MASH in mice. It found that infiltrating macrophages are more sensitive to PGE2's anti-inflammatory effects than resident Kupffer cells.
Lipopolysaccharide-Induced Expression of Microsomal Prostaglandin E Synthase-1 Mediates Late-Phase PGE2 Production in Bone Marrow Derived Macrophages,Lei Xiao; Magdalena Ornatowska; Guiqing Zhao; Hongmei Cao; Rui Yu; Jing Deng; Yongchao Li; Qiong Zha...,Matched: LPS stimulated expression of iNOS/COX-2/mPGES-1/PU.1 in BMDM,cat /papers/PMC3511480/content.lines --lines 39-40,2012-11-30,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3511480/,Lipopolysaccharide (LPS) induces late-phase PGE2 production in macrophages. Microsomal prostaglandin E synthase-1 (mPGES-1) mediates this late-phase PGE2 burst and regulates LPS-induced iNOS expression.
"Macrophage responses to lipopolysaccharide are modulated by a feedback loop involving prostaglandin E2, dual specificity phosphatase 1 and tristetraprolin",Tina Tang; Thomas E. Scambler; Tim Smallie; Helen E. Cunliffe; Ewan A. Ross; Dalya R. Rosner; John D...,Matched: Ptgs2 gene expression is negatively regulated by TTP,cat /papers/PMC5489520/content.lines --lines 16-17,2017-06-28,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5489520/,"This study investigated how macrophages respond to lipopolysaccharide. A feedback loop involving PGE2, DUSP1, and TTP was found to suppress COX-2 and TNF expression, potentially regulating inflammation phases."
PTGS2 Silencing Inhibits Ferroptosis in Staphylococcus Aureus-induced Osteomyelitis By Blocking the IL-17A Signaling Pathway,Si-rui Zhou; Wen-guang Li; Li-dan Yang; Hao Xiang; Ying Jin; Jian-bo Feng; Hua-zhang Xiong; Jiachen ...,Matched: PTGS2 Silencing Inhibited Inflammation Levels in LPS-induced MC3T3-E1,cat /papers/PMC12722496/content.lines --lines 71-72,2025-04-21,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12722496/,This study investigated molecular mechanisms of *Staphylococcus aureus*-induced osteomyelitis. Silencing PTGS2 inhibits ferroptosis and osteomyelitis progression by blocking the IL-17A signaling pathway.
Lapatinib Suppressed the Expression of Proinflammatory Cytokines and Alleviated Pain Behavior in a Mouse Model of Postoperative Pain,Annet Kyomuhangi,bio_523ca8418f4e,bioRxiv,2026-01-01,,"Postoperative pain remains a major clinical challenge, as inadequate management can delay functional recovery, prolong hospitalization, and increase the risk of chronic pain development. Opioid analge"
The Bradykinin System Contributes to the Regulation of Prostaglandin-Endoperoxide Synthase 2 Expression in Human Amnion Fibroblasts: Implications for Term and Preterm Birth,Xiao-tian Ni; Wang-sheng Wang; Yun Liu; Yi-kai Lin; Fan Zhang; Wen-jia Lei; Li-jun Ling; Fan Pan; Ya...,Matched: Enhancement of BK- and DABK-Induced PTGS2 Expression and PGE2 Producti,cat /papers/PMC9130483/content.lines --lines 89-90,2022-05-11,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9130483/,"The bradykinin system was studied in human amnion fibroblasts and its role in prostaglandin synthesis. Bradykinin peptides increase prostaglandin E2 production via specific receptors, with infection mediators enhancing this effect."
