gene	query	search_id	date	rank	paper_id	title	verdict	status
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	1	PMC11423144	SHISA3 Reprograms Tumor‐Associated Macrophages Toward an Antitumoral Phenotype and Enhances Cancer Immunotherapy	yes	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	2	PMC2196288	Lipopolysaccharide (LPS)-induced Macrophage Activation and Signal Transduction in the Absence of Src-Family Kinases Hck, Fgr, and Lyn	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	3	PMC6543837	Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	4	PMC5332015	Genome-wide siRNA screen of genes regulating the LPS-induced NF-κB and TNF-α responses in mouse macrophages	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	5	PMC7053374	Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	6	PMC3953056	Epigenetic profile in lipopolysaccharide-stimulated macrophages	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	7	PMC5907526	The Anti-Inflammatory Effects of Shinbaro3 Is Mediated by Downregulation of the TLR4 Signalling Pathway in LPS-Stimulated RAW 264.7 Macrophages	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	8	PMC4378362	Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	9	PMC13372918	Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	10	PMC4682375	Investigation of microRNAs in mouse macrophage responses to lipopolysaccharide-stimulation by combining gene expression with microRNA-target information	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	11	PMC5332009	Genome-wide siRNA screen of genes regulating the LPS-induced TNF-α response in human macrophages	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	12	PMC6667695	Cooperative and distinct functions of MK2 and MK3 in the regulation of the macrophage transcriptional response to lipopolysaccharide	yes	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	13	PMC8289208	Lipopolysaccharide from biofilm-forming Pseudomonas aeruginosa PAO1 induces macrophage hyperinflammatory responses	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	14	PMC11202707	SRSF3 Knockdown Inhibits Lipopolysaccharide-Induced Inflammatory Response in Macrophages	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	15	PMC6894286	Shisa3 brakes resistance to EGFR-TKIs in lung adenocarcinoma by suppressing cancer stem cell properties	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	16	PMC3333514	Monocyte normal immune response to LPS stimulation	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	17	PMC7386301	Species-Specificity of Transcriptional Regulation and the Response to Lipopolysaccharide in Mammalian Macrophages	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	18	PMC12766240	Transducin-like enhancer of split 3 protects against lipopolysaccharide-induced inflammation through DEAD-box helicase 5–activating transcription factor 1–protein phosphatase 2 regulatory subunit 5A signaling	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	19	PMC12346749	Lipopolysaccharide-Activated Macrophages Suppress Cellular Senescence and Promote Rejuvenation in Human Dermal Fibroblasts	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	20	PMC6609111	Pro-Inflammatory Role of S1P3 in Macrophages	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	21	PMC10949775	Lipopolysaccharide regulation of antiinflammatory tristetraprolin family and proinflammatory gene expression in mouse macrophages	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	22	PMC6199307	LncRNA HOTAIR regulates lipopolysaccharide-induced cytokine expression and inflammatory response in macrophages	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	23	bio_eb0530776e54	Dynamic nucleosome redistribution and increases in nucleosome sensitivity underpin THP-1 macrophage response to LPS	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	24	PMC10164277	SENP3 facilitates M1 macrophage polarization via the HIF-1α/PKM2 axis in lipopolysaccharide-induced acute lung injury	no	ok
Shisa3	Shisa3 (shisa family member 3) LPS macrophage	s_88320d4a	2026-09-25T15:44:00Z	25	PMC5627409	Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages	no	ok
Edn1	Edn1 (endothelin 1) LPS macrophage	s_ce9c4eec	2026-09-25T15:44:00Z	1	PMC2188743	Endothelins, peptides with potent vasoactive properties, are produced by human macrophages	yes	ok
Edn1	Edn1 (endothelin 1) LPS macrophage	s_ce9c4eec	2026-09-25T15:44:00Z	2	PMC7779813	Nlrp3, Csf3, and Edn1 in Macrophage Response to Saturated Fatty Acids and Modified Low-Density Lipoprotein	yes	ok
Edn1	Edn1 (endothelin 1) LPS macrophage	s_ce9c4eec	2026-09-25T15:44:00Z	3	PMC12429320	Rodent Models of Lung Disease: A Road Map for Translational Research	no	ok
Edn1	Edn1 (endothelin 1) LPS macrophage	s_ce9c4eec	2026-09-25T15:44:00Z	4	PMC2365438	Endothelin-1 stimulates human monocytes in vitro to release TNF-α , IL-1β and IL-6	no	ok
Edn1	Edn1 (endothelin 1) LPS macrophage	s_ce9c4eec	2026-09-25T15:44:00Z	5	PMC7858588	Macrophages enhance lipopolysaccharide induced apoptosis via Ang1 and NF-κB pathways in human umbilical vein endothelial cells	no	ok
Edn1	Edn1 (endothelin 1) LPS macrophage	s_ce9c4eec	2026-09-25T15:44:00Z	6	PMC4753051	Systemic and Splanchnic Lipopolysaccharide and Endothelin-1 Plasma Levels in Liver Cirrhosis before and after Transjugular Intrahepatic Portosystemic Shunt	no	ok
Edn1	Edn1 (endothelin 1) LPS macrophage	s_ce9c4eec	2026-09-25T15:44:00Z	7	PMC5373621	Correction: Alternatively Activated (M2) Macrophage Phenotype Is Inducible by Endothelin-1 in Cultured Human Macrophages	no	ok
Edn1	Edn1 (endothelin 1) LPS macrophage	s_ce9c4eec	2026-09-25T15:44:00Z	8	PMC2629980	Preferential recruitment of neutrophils by endothelin-1 in acute lung inflammation induced by lipopolysaccharide or cigarette smoke	no	ok
Edn1	Edn1 (endothelin 1) LPS macrophage	s_ce9c4eec	2026-09-25T15:44:00Z	9	PMC6881566	Enhanced Endothelin A and B Receptor Expression and Receptor-Mediated Vasoconstriction in Rat Mesenteric arteries after Lipopolysaccharide Challenge	no	ok
Edn1	Edn1 (endothelin 1) LPS macrophage	s_ce9c4eec	2026-09-25T15:44:00Z	10	PMC5112853	Alternatively Activated (M2) Macrophage Phenotype Is Inducible by Endothelin-1 in Cultured Human Macrophages	no	ok
Edn1	Edn1 (endothelin 1) LPS macrophage	s_ce9c4eec	2026-09-25T15:44:00Z	11	PMC6144854	Effect of Human Umbilical Vein Endothelial Cells on Immune Responses of Lipopolysaccharide-Induced THP1 Macrophages	no	ok
Edn1	Edn1 (endothelin 1) LPS macrophage	s_ce9c4eec	2026-09-25T15:44:00Z	12	PMC10634087	Extracellular vesicles derived from endothelial cells modulate macrophage phenotype in vitro	no	ok
Edn1	Edn1 (endothelin 1) LPS macrophage	s_ce9c4eec	2026-09-25T15:44:00Z	13	PMC13483658	miR-379-5p serves as a biomarker and regulates sepsis-associated acute kidney injury via targeting EDN1	no	ok
Edn1	Edn1 (endothelin 1) LPS macrophage	s_ce9c4eec	2026-09-25T15:44:00Z	14	PMC7053374	Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages	no	ok
