rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC10859262,NF-κB p65 and TCF-4 interactions are associated with LPS-stimulated IL-6 secretion of macrophages,success,yes,yes,"After LPS stimulation, however, IL-6 level increased rapidly at 6 h and reached 0.9 ng/ml at 36 h, approximately 5.5 times higher than the basal level (Fig. 1D).","For inflammatory stimulation, fully differentiated macrophage-like THP-1 cells were treated with lipopolysaccharides (LPS).",Il-6;IL-6,LPS;lipopolysaccharides,
2,PMC10971188,In Vitro Study of Interleukin-6 when Used at Low Dose and Ultra-Low Dose in Micro-Immunotherapy,success,yes,yes,"As illustrated in Figure 5A,C, the macrophages were able to drastically increase their LPS-stimulated-IL-6 secretion, when compared with the unstimulated controls, at the end of the two tested incubation periods.","CD14+ cells from one healthy donor were isolated and differentiated into M0 macrophages for 6 days, before being treated with/without 100 ng/mL lipopolysaccharide (LPS) alone or with 100 ng/mL LPS + either the vehicle (Veh.) or one capsule of 2LALERG® during (i) 24 h (upper panel) or (ii) during 48 h (lower panel).",Il-6;IL-6,LPS;lipopolysaccharide,
3,PMC9411515,Anxiolytic-like effects of hochuekkito in lipopolysaccharide-treated mice involve interleukin-6 inhibition,success,yes,yes,LPS-treatment caused a significant increase in IL-6 serum concentrations after 2 and 5 h (Figure 5).,"Serum samples from mice were obtained 2, 5, and 24 h after the injection.",Il-6;IL-6,LPS,
4,PMC3786936,The Uremic Toxin Indoxyl Sulphate Enhances Macrophage Response to LPS,success,yes,yes,LPS induced a significant induction in TNF-α and IL-6 levels in J774A.1 macrophage (P<0.001 vs control; Fig. 6).,IL-6 (panel A) and TNF-α (panel B) production was measured in the supernatants of J774A.1 cells treated with IS (1000–62.5 µM) and LPS (1 µg/ml) for 18 h by an ELISA kit.,Il-6;IL-6,LPS,
5,PMC4161471,Interleukin-6 signaling promotes alternative macrophage activation to limit obesity-associated insulin resistance and endotoxemia,success,no,no,,,,,
6,PMC6345024,CEACAM1 regulates the IL-6 mediated fever response to LPS through the RP105 receptor in murine monocytes,success,yes,yes,"As shown in Fig. 5a, IL-6 mRNA is significantly increased as early as 30 min after LPS treatment and reached a peak at 90 min in Ceacam1−/− mice.","For LPS treatment or RP105 antibody treatment, cells were treated with 500 ng/mL LPS or 20 μg/mL anti-RP105 antibody (Clone RP/14, Biolegend) over time shown in the figures and harvested for qPCR analysis.",Il-6;IL-6,LPS,
7,bio_f7b8d9ca6e0e,COVID-19 virtual patient cohort reveals immune mechanisms driving disease outcomes,success,yes,yes,"Shibata et al. 37 measured the production of IL-6 for different dosages of LPS and fitting the production rate to this data to obtain p L,MΦ , η L,MΦ .","To model the production of IL-6 by alveolar macrophages by L_U / dt = p_{L, M	heta I} M_{	heta I} / (M_{	heta I} + 	heta_{L, M	heta}) to compare to observations from Shibata et al. 37 who measured the production of IL-6 by alveolar macrophages stimulated by different concentrations of LPS.",Il-6;IL-6,LPS,
8,PMC2910493,Interleukin-6 Contributes to Age-Related Alteration of Cytokine Production by Macrophages,success,no,no,,,,,
9,PMC4355005,MicroRNA-181b regulates endotoxin tolerance by targeting IL-6 in macrophage RAW264.7 cells,success,yes,yes,"Previous study has demonstrated that IL-6 protein significantly increased after LPS stimulation and then incited the “cytokine storm” at the onset of severe systemic inflammation (SSI), and then, IL-6 protein level rapidly decreased and reached background levels by 24 h [12].","L64: Previous study has demonstrated that IL-6 protein significantly increased after LPS stimulation and then incited the “cytokine storm” at the onset of severe systemic inflammation (SSI), and then, IL-6 protein level rapidly decreased and reached background levels by 24 h [12].",Il-6;IL-6,LPS,
10,PMC9363591,Interleukin 6-regulated macrophage polarization controls atherosclerosis-associated vascular intimal hyperplasia,success,no,no,,,,,
