rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC4621458,"Regulation of Macrophage, Dendritic Cell, and Microglial Phenotype and Function by the SOCS Proteins",success,no,no,,,,,
2,PMC4112788,SOCS Proteins in Macrophage Polarization and Function,success,no,yes,"They show low expression in resting macrophages, but are rapidly induced on activation.","SOCS are induced by a variety of stimuli that cause M1 and M2 activation, including cytokines, toll-like receptor (TLR) ligands, angiotensin II, immune complexes, and high glucose (9).",,,yes->no: evidence does not name the gene
3,PMC3876435,SOCS3,success,no,no,,,,,
4,bio_a7f4b83d6e8b,"Suppressor of Cytokine Signaling 3 Derived Peptide as a Therapeutic for Inflammatory, and Oxidative Stress Induced Damage to the Retina",success,no,no,,,,,
5,PMC3775441,"SOCS3 Expression Correlates with Severity of Inflammation, Expression of Proinflammatory Cytokines, and Activation of STAT3 and p38 MAPK in LPS-Induced Inflammation In Vivo",success,yes,yes,"LPS injections increased inflammation, paralleled by an upregulation of SOCS3, of the proinflammatory cytokines IL-1beta, IL-6, and TNF-alpha and increased phosphorylation of STAT3 and p38 MAPK.",L30 ug of LPS from Escherichia coli were injected in the gingival tissues on the palatal aspect of first molars of the animals 3x/week for up to 4 weeks.,Socs3;SOCS3,LPS;Escherichia,
6,PMC10049283,The Regulatory Roles of Ezh2 in Response to Lipopolysaccharide (LPS) in Macrophages and Mice with Conditional Ezh2 Deletion with LysM-Cre System,success,yes,yes,"In control macrophages (Ezh2 control), both N/LPS and LPS/LPS similarly upregulated Ezh2 and Socs3 when compared with the stimulation with media control (N/N) (Figure 4B,C).","Characteristics of bone-marrow-derived macrophages (BMDM) from Ezh2 control (Ezhfl/fl; LysM-Cre−/−) or Ezh2 null (Ezhfl/fl; LysM-Cre cre/−) mice 24 h after stimulation by lipopolysaccharide (LPS) tolerance (twice LPS stimulation; LPS/LPS) or a single LPS stimulation (N/LPS; started with phosphate buffer solution (PBS) followed by LPS) as indicated by the expression of several genes, including Ezh1, Ezh2, and Socs3 (A–C) and the energy status of cells (extracellular flux analysis) (D,E).",Socs3;SOCS3,LPS;lipopolysaccharide,
7,PMC7781909,Anti-inflammatory mechanisms of suppressors of cytokine signaling target ROS via NRF-2/thioredoxin induction and inflammasome activation in macrophages,success,yes,yes,"While SOCS3 is induced by LPS stimulation within 1 h in mock THP1 cells, the SOCS3-tranduced cells show increased basal SOCS3 levels, which were maintained during LPS treatment.","THP1 cells transduced with Flag or Flag-SOCS3 were analyzed for LPS-induced intracellular ROS (A), NRF-2, thioredoxin and SOCS3 levels by Western blot (B), and inflammatory cytokine production by ELISA (C).",Socs3;SOCS3,LPS,
8,PMC3928676,"SOCS3, a Major Regulator of Infection and Inflammation",success,yes,yes,Infection with mycobacteria enhanced the expression of SOCS3 in phagocytes.,Infection with mycobacteria enhanced the expression of SOCS3 in phagocytes.,Socs3;SOCS3,Infection;mycobacteria,
9,PMC5747159,Lack of SOCS3 increases LPS-induced murine acute lung injury through modulation of Ly6C(+) macrophages,success,no,no,,,,,
10,PMC10179427,SOCS3 Protein Mediates the Therapeutic Efficacy of Mesenchymal Stem Cells against Acute Lung Injury,success,yes,yes,"Western blotting analysis confirmed that SOCS1, SOCS2, and SOCS3 expressions were significantly increased in MSCs after LPS induction compared to that in non-treated control MSCs (L24).","In the LPS-treated MSCs, 338 genes showed a significant upregulation compared to the non-treated control MSCs (L21).",Socs3;SOCS3,LPS,
