rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC2107732,INVOLVEMENT OF MACROPHAGES IN COLLAGEN RESORPTION,filtered_out,no,,,
2,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,filtered_out,no,,,
3,PMC7356036,Collagen Fibril Density Modulates Macrophage Activation and Cellular Functions during Tissue Repair,filtered_out,no,,,
4,PMC10091190,LPS combined with CD47mAb enhances the anti‑osteosarcoma ability of macrophages,filtered_out,no,,,
5,PMC11882325,Interleukins-27 Aggravates Liver Injury by Impairing the Antimicrobial Response of Macrophages via the Promotion of Mitochondrial Dysfunction in the Context of Sepsis,filtered_out,no,,,
6,PMC6274997,Transcriptome Analysis Provides Insights into the Markers of Resting and LPS-Activated Macrophages in Grass Carp (Ctenopharyngodon idella),filtered_out,no,,,
7,bio_5e67bb726e21,IL-27 neutralization enhances macrophage polarization and improves immune checkpoint efficacy,filtered_out,no,,,
8,PMC13199726,Exosomal miR-148a-3p from LPS-Activated Macrophages Promotes M1 Polarization and Ferroptosis-Related Characteristics of Recipient Macrophages by Reducing SLC7A11,filtered_out,no,,,
9,PMC9138386,Osteocalcin Alleviates Lipopolysaccharide-Induced Acute Inflammation via Activation of GPR37 in Macrophages,filtered_out,no,,,
10,PMC6135775,IL-27 amplifies cytokine responses to Gram-negative bacterial products and Salmonella typhimurium infection,filtered_out,no,,,
11,PMC3660024,Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,filtered_out,no,,,
12,PMC12967598,IL-27 Aggravates Sepsis-Induced ARDS by Driving Macrophage Ferroptosis Through Activation of NCOA4-Mediated Ferritinophagy,filtered_out,no,,,
13,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,filtered_out,no,,,
14,PMC3242791,Collagen XXVII Organises the Pericellular Matrix in the Growth Plate,filtered_out,no,,,
15,PMC9609449,Effect of regulating macrophage polarization phenotype on intervertebral disc degeneration,filtered_out,no,,,
16,PMC7689775,LPS‐Induced Inflammation Prior to Injury Exacerbates the Development of Post‐Traumatic Osteoarthritis in Mice,filtered_out,no,,,
17,PMC3317238,LPS Counter Regulates RNA Expression of Extracellular Proteases and Their Inhibitors in Murine Macrophages,filtered_out,no,,,
18,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,filtered_out,no,,,
19,PMC11232647,LPS-induced senescence of macrophages aggravates calcification and senescence of vascular smooth muscle cells via IFITM3,filtered_out,no,,,
20,PMC4765811,Biomimetic collagenous scaffold to tune inflammation by targeting macrophages,filtered_out,no,,,
21,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,filtered_out,no,,,
22,PMC5778122,"High-Resolution Mapping and Dynamics of the Transcriptome, Transcription Factors, and Transcription Co-Factor Networks in Classically and Alternatively Activated Macrophages",filtered_out,no,,,
23,PMC4534598,Mmu-miR-27a-5p-Dependent Upregulation of MCPIP1 Inhibits the Inflammatory Response in LPS-Induced RAW264.7 Macrophage Cells,filtered_out,no,,,
24,bio_206e5a356c66,Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,filtered_out,no,,,
25,PMC9411976,"Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS",filtered_out,no,,,
