rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC6445966,TL1A (TNFSF15) and DR3 (TNFRSF25): A Co-stimulatory System of Cytokines With Diverse Functions in Gut Mucosal Immunity,success,yes,"In the monocytic cell line U937, TL1A was induced by LPS.",,
2,PMC9161903,Protective effect of growth differentiation factor 15 in sepsis by regulating macrophage polarization and its mechanism,success,no,,,
3,bio_7e979bb46c52,Identification of a distinct cluster of GDF15 high  macrophages exhibiting anti-inflammatory activities,success,no,,,
4,bio_b06931d16f63,The orientation of choroidal macrophage polarization significantly influences the development of myopia in murine models,success,no,,,
5,PMC3660024,Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,success,no,,,
6,PMC12294962,"Quantitative Proteomics Reveals Fh15 as an Antagonist of TLR4 Downregulating the Activation of NF-κB, Inducible Nitric Oxide, Phagosome Signaling Pathways, and Oxidative Stress of LPS-Stimulated Macrophages",success,no,,,
7,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,,,
8,PMC8289208,Lipopolysaccharide from biofilm-forming Pseudomonas aeruginosa PAO1 induces macrophage hyperinflammatory responses,success,no,,,
9,PMC10167635,Induction of unique macrophage subset by simultaneous stimulation with LPS and IL-4,success,no,,,
10,PMC9411976,"Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS",success,no,,,
11,PMC11994614,Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network,success,no,,,
12,bio_206e5a356c66,Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,success,no,,,
13,PMC9456100,"Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile",success,no,,,
14,PMC12872506,GDF15 orchestrates mitochondrial-immune crosstalk via SMAD7-HIF-1α-PKM2 cascade to attenuate septic liver injury,success,no,,,
15,PMC8812784,TNFSF15 facilitates differentiation and polarization of macrophages toward M1 phenotype to inhibit tumor growth,success,no,,,
16,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,
17,PMC2949756,Motif prediction to distinguish LPS-stimulated pro-inflammatory vs. antibacterial macrophage genes,success,no,,,
18,PMC5954968,Tremella fuciformis Polysaccharides Attenuate Oxidative Stress and Inflammation in Macrophages through miR-155,success,no,,,
19,PMC7918892,LPS Tolerance Inhibits Cellular Respiration and Induces Global Changes in the Macrophage Secretome,success,no,,,
20,PMC8456026,The Clinical Value of GDF15 and Its Prospective Mechanism in Sepsis,success,no,,,
21,PMC11036887,Identification of a distinct cluster of GDF15high macrophages induced by in vitro differentiation exhibiting anti-inflammatory activities,success,no,,,
22,PMC7689184,TNFSF15 Promotes Antimicrobial Pathways in Human Macrophages and These Are Modulated by TNFSF15 Disease-Risk Variants,success,no,,,
23,PMC10949775,Lipopolysaccharide regulation of antiinflammatory tristetraprolin family and proinflammatory gene expression in mouse macrophages,success,no,,,
24,PMC13055263,Protection of mice against septic shock induced by lethal intraperitoneal dose of LPS by a recombinant Fasciola hepatica fatty acid binding protein,success,no,,,
25,PMC5358891,Analysis of the human monocyte-derived macrophage transcriptome and response to lipopolysaccharide provides new insights into genetic aetiology of inflammatory bowel disease,success,yes,"Both TNF receptor genes TNFR1 (TNFRSF1A) and TNFR2 (TNFRSF1B) were induced later in the response to LPS. Aside from TNF, five other members of the TNF superfamily, TNFSF15, TNFSF8 (encoding CD30L), TNFSF10 (TRAIL), TNFSF14 (LIGHT) and TNFSF9 (CD137L) were each induced ahead of induction of their respective receptors TNFRSF6B, TNFRSF8, TNFRSF10A and 10B and TNFRSF9 (CD137).",,
