title,authors,id,source,date,url,abstract
CCR5 signaling promotes lipopolysaccharide-induced macrophage recruitment and alveolar developmental arrest,Ze Chen; Xiaohua Xie; Na Jiang; Jianhui Li; Lei Shen; Yongjun Zhang,Matched: Macrophages increase in number and are the primary source of IL-1β in,cat /papers/PMC7883330/content.lines --lines 49-50,2021-02-15,https://doi.org/10.1038/s41419-021-03464-7,"This study investigated the role of CCR5 signaling in lipopolysaccharide-induced bronchopulmonary dysplasia. Increased CCR5 expression promotes inflammation and alveolar developmental arrest, suggesting it is a therapeutic target for BPD."
IL-1β+ lung-resident macrophages mediate endothelial dysfunction and acute lung injury in sepsis through immune-metabolic crosstalk,Yang Dong; Tianyuan Li; Bei Fang; Dingde Long; Ying Tian; Huan Fu,Matched: LPS-treated macrophages inhibit pulmonary endothelial cell proliferati,cat /papers/PMC12877074/content.lines --lines 41-44,2025-12-08,https://doi.org/10.1038/s41420-025-02868-0,"Sepsis-induced acute lung injury (ALI) involves a complex interplay between immune cells and the pulmonary endothelium. However, the molecular regulators that coordinate this interaction remain poorly"
GATA-2 Transduces LPS-Induced il-1β Gene Expression in Macrophages via a Toll-Like Receptor 4/MD88/MAPK-Dependent Mechanism,Tsu-Tuan Wu; Yu-Ting Tai; Yih-Giun Cherng; Tyng-Guey Chen; Chien-Ju Lin; Ta-Liang Chen; Huai-Chia Ch...,Matched: Enzyme-linked immunosorbent assay (ELISA),cat /papers/PMC3735524/content.lines --lines 26,2013-08-06,https://doi.org/10.1371/journal.pone.0072404,"LPS exposure induces IL-1β expression in macrophages, with GATA-2 translocation and activation playing a key role. This process is mediated by TLR4, MyD88, and MAPKs."
Macrophage-derived IL-1β/NF-κB signaling mediates parenteral nutrition-associated cholestasis,Karim C. El Kasmi; Padade M. Vue; Aimee L. Anderson; Michael W. Devereaux; Swati Ghosh; Natarajan Ba...,Matched: IL-1β suppresses bile transporter expression in PNAC,cat /papers/PMC5895696/content.lines --lines 27,2018-04-11,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895696/,"Hepatic macrophages and IL-1β signaling were studied in a mouse model of parenteral nutrition-associated cholestasis. This signaling pathway interferes with bile and sterol transporter gene expression, leading to cholestasis."
The Bisdioxopiperazine ICRF-193 Attenuates LPS-induced IL-1β Secretion by Macrophages,Ashleigh Brindle; Callum Bainbridge; Muganti R. Kumar; Stephen Todryk; Kay Padget,Matched: Abstract,cat /papers/PMC10798930/content.lines --lines 1-5,2023-09-01,https://doi.org/10.1007/s10753-023-01895-2,"ICRF-193 was tested for its effect on LPS-induced IL-1β secretion in human macrophages. The drug reduced IL-1β secretion without affecting IL1B mRNA levels, suggesting a post-transcriptional mechanism."
D-mannose suppresses macrophage IL-1β production,Simone Torretta; Alessandra Scagliola; Luisa Ricci; Francesco Mainini; Sabrina Di Marco; Ivan Cuccov...,Matched: Endotoxin-induced model of sepsis,cat /papers/PMC7733482/content.lines --lines 80-81,2020-12-11,https://doi.org/10.1038/s41467-020-20164-6,"This study investigated D-mannose's effect on macrophage activation. D-mannose suppresses IL-1β production by impairing glucose metabolism, offering a potential intervention for inflammatory conditions."
Interleukin-1β Secretion by Macrophages in Patients with Colorectal Cancer in Relation to the Clinicopathological Characteristics of the Disease,Nikolay Sadykhov; Nikolay Shakhpazyan; Liudmila Mikhaleva; Arkady Bedzhanyan; Aydin Bumbazhay; Alexa...,Matched: ELISA Measurement of IL-1β,cat /papers/PMC12682978/content.lines --lines 67-70,2025-12-05,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12682978/,This study investigated IL-1β secretion by macrophages from colorectal cancer patients. Macrophage IL-1β secretion was significantly higher in patients with advanced tumor stage and extension.
Regular Voluntary Exercise Potentiates Interleukin-1β and Interleukin-18 Secretion by Increasing Caspase-1 Expression in Murine Macrophages,Ken Shirato; Kazuhiko Imaizumi; Takuya Sakurai; Junetsu Ogasawara; Hideki Ohno; Takako Kizaki,Matched: 2.7. Macrophage Treatment with Caspase-1 Inhibitor,cat /papers/PMC5241476/content.lines --lines 29,2017-01-04,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5241476/,Regular voluntary exercise was studied in relation to macrophage inflammatory responses. Exercise potentiates IL-1β and IL-18 secretion by increasing caspase-1 expression in macrophages.
TLR4-Upregulated IL-1β and IL-1RI Promote Alveolar Macrophage Pyroptosis and Lung Inflammation through an Autocrine Mechanism,Xingying He; Yongbing Qian; Zhigang Li; Erica K. Fan; Yuehua Li; Liang Wu; Timothy R. Billiar; Mark ...,Matched: LPS upregulates IL-1RI cell surface expression in AM,cat /papers/PMC4985817/content.lines --lines 20,2016-08-16,https://doi.org/10.1038/srep31663,"This study investigated how LPS-induced IL-1β and IL-1RI affect lung inflammation. Upregulated IL-1RI on alveolar macrophages leads to pyroptosis, exacerbating lung injury through an autocrine mechanism."
IκBβ is an essential co-activator for LPS-induced IL-1β transcription in vivo,Melanie Scheibel; Bettina Klein; Heidrun Merkle; Manon Schulz; Ralph Fritsch; Florian R. Greten; Mel...,Matched: IκBβ deficiency modify IL-1β cytokine production in LPS-stimulated BMD,cat /papers/PMC2989768/content.lines --lines 23-24,2010-11-22,https://doi.org/10.1084/jem.20100864,"IκBβ's role as a co-activator for LPS-induced IL-1β transcription was studied. Mice lacking IκBβ were protected against LPS-induced shock, indicating its essential function."
