rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC13078257,Downregulated PLAU alleviates acute rejection after liver transplantation by targeting Ptgs2 in macrophages,success,yes,yes,"Compared with unstimulated group (Blank), LPS stimulated macrophages exhibited increased M1 polarization-associated markers and decreased M2 polarization-associated markers (Figures 4A–C).",Stimulation of macrophages with LPS increased PLAU and Ptgs2 expression and promoted macrophage M1-polarization.,Ptgs2;PTGS2,LPS,
2,bio_374dd4d36e7b,"Robust, sensitive, and quantitative single-cell proteomics based on ion mobility filtering",success,yes,yes,"Prostaglandin-endoperoxide synthase 2 (Ptgs2/Cox-2), an important precursor of prostacyclin enzyme which is expressed in macrophages exposed to LPS 32 , was also significantly increased in LPS-stimulated macrophage cells (Supplementary Figure 6c).",RAW 264.7 cells were maintained in DMEM supplemented with 10% FBS followed to be stimulated with 100 ng/ul of LPS (Sigma Aldrich) in serum-free DMEM (Thermo Fisher scientific) for 24 hr or 48 hr.,Ptgs2;prostaglandin-endoperoxide synthase 2;Cox-2;PTGS2,LPS,
3,bio_bc9546606c31,Integrating Network Pharmacology And Experimental Verification To Explore The Mechanism Of Qionggui Power Against Atherosclerosis,success,yes,yes,"Treatment with QP (1mg/ml) also attenuated the increased expression of PTGS2, which is induced by LPS stimulus.","The RAW264.7 cells were treated with LPS (100ng/ml) in the presence or absence of QP for 12h, and the concentrations of protein level for CAT, PPAR4, and PTGS2 were detected by Western-blot assay.",Ptgs2;PTGS2,LPS,
4,PMC2188197,Bacterial lipopolysaccharides prime macrophages for enhanced release of arachidonic acid metabolites,success,no,no,,,,,
5,PMC12083002,Curcumin alleviates LPS-induced WI-38 cell inflammation injury by regulating PTGS2 expression,success,yes,yes,"L62: As shown in Fig. 3A, LPS promoted the expression of PTGS2, while the action was weakened by CUR in a dose-dependent manner.",L63: Fig. 3: PTGS2 is a potential target of CUR. A The expression of PTGS2 was detected when WI-38 cells were treated with the LPS or combined with different concentrations of CUR.,Ptgs2;PTGS2,LPS,
6,PMC12083000,Dynamic changes in macrophage populations and resulting alterations in Prostaglandin E2 sensitivity in mice with diet-induced MASH,success,yes,yes,"LPS significantly induced the mRNA and protein expression of the PGE2-synthesizing enzymes COX-2 (Fig. 5A, B) and mPGES1 (Supplementary figure S4) in macrophage populations from wildtype control mice.","Primary Kupffer cells (KC), peritoneal macrophages (PM) and bone marrow-derived macrophages (BMDM) were stimulated for 24 h with LPS.",Cox-2,LPS,
7,PMC3511480,Lipopolysaccharide-Induced Expression of Microsomal Prostaglandin E Synthase-1 Mediates Late-Phase PGE2 Production in Bone Marrow Derived Macrophages,success,yes,yes,"L39: Among the tested proteins, LPS significantly increased the protein expression of iNOS, COX-2, mPGES-1 and PU.1 in BMDM (Figures 1A, 2A–2D).",L40: Figure 1: LPS induces increased expression of iNOS/COX-2/mPGES-1/PU.1 in BMDM. Primary cultured mouse BMDM was treated with or without 1 µg/ml LPS for various time points from 2 to 24 hrs.,Cox-2,LPS,
8,PMC5489520,"Macrophage responses to lipopolysaccharide are modulated by a feedback loop involving prostaglandin E2, dual specificity phosphatase 1 and tristetraprolin",success,yes,yes,"L17: (c) Zfp36+/+ and Zfp36aa/aa BMMs were stimulated with 10 ng/ml LPS for the times indicated, and Ptgs2 mRNA was measured by qPCR.","L16: Zfp36+/+ and Zfp36aa/aa bone marrow macrophages (BMMs) under-expressed Ptgs2 mRNA at a steady-state level (Fig. 1c), particularly at later time points.",Ptgs2;PTGS2,LPS,
9,PMC12722496,PTGS2 Silencing Inhibits Ferroptosis in Staphylococcus Aureus-induced Osteomyelitis By Blocking the IL-17A Signaling Pathway,success,yes,yes,Western blot analysis showed that LPS stimulation increased PTGS2 protein expression compared to the control group.,"Additionally, PTGS2 protein levels were significantly reduced in the LPS + si-PTGS2 group compared to the LPS + si-NC group.",Ptgs2;PTGS2,LPS,
10,bio_523ca8418f4e,Lapatinib Suppressed the Expression of Proinflammatory Cytokines and Alleviated Pain Behavior in a Mouse Model of Postoperative Pain,success,yes,yes,"As shown in Fig.4A and 4C, LPS stimulation of RAW 264.7 cells caused a 6800-fold increase in PTGS2 mRNA and a 4-fold increase in PTGES mRNA.",RAW264.7 cells were treated with lapatinib/vehicle and then stimulated with LPS at 10ng/ml for 12 h.,Ptgs2;PTGS2,LPS,
11,PMC9130483,The Bradykinin System Contributes to the Regulation of Prostaglandin-Endoperoxide Synthase 2 Expression in Human Amnion Fibroblasts: Implications for Term and Preterm Birth,success,yes,yes,"Pretreatment of amnion fibroblasts with LPS (50 ng/ml) or SAA1 (50 ng/ml) for 24 h significantly enhanced the subsequent induction of PTGS2 mRNA ( Figures 8A–E ) and protein expression ( Figures 8F–I ) and PGE2 production ( Figures 8J–M ) by BK (0.1 μM, 4 h) or DABK (0.1 μM, 4 h).","Activation of TLR4 by LPS induces the expression of critical proinflammatory factors including cytokines, PTGS2, and SAA1 in the fetal membranes (25, 35).",Ptgs2;PTGS2,LPS,
12,PMC11163068,Nicotinic acetylcholine receptor-mediated effects of varenicline on LPS-elevated prostaglandin and cyclooxygenase levels in RAW 264.7 macrophages,success,yes,yes,"COX-2 and PG levels were LPS increased by LPS in a concentration-dependent manner (p < 0.001, n = 6) comparable to that of control and the 1 Γ΄Ιg/mL LPS group (Figure 1).",RAW 264.7 cells were exposed to increasing concentrations of LPS (1–2 and 3 Γ΄Ιg/mL) for 24 h before analyzing COX and PG levels to determine the effective concentration of LPS to be used.,Cox-2,LPS,
13,PMC2949756,Motif prediction to distinguish LPS-stimulated pro-inflammatory  vs . antibacterial macrophage genes,success,no,yes,"A significant number of these genes have been implicated in the inflammatory response including Irf1, Irf2, Ifnb1, Tlr3, Stat1, Stat3, and Nfkb1 with a number of them regulated in LPS-stimulated macrophage activation [8].","To check for the expression patterns of these identified target genes within our data set, we filtered the microarray data by looking for two-fold induction in the N+L set compared to the N samples plus two-fold repression in the T+L samples compared to the N+L set.",,LPS,yes->no: evidence does not name the gene
14,bio_bcc561746c3c,Phagocytosis is differentially regulated by LPS in M1- and M2-like macrophages via PGE 2  formation and EP4 signaling,success,yes,yes,"LPS stimulation led to elevated PTGS2 expression in both macrophage types, leading to a 1.6-fold higher COX-2 abundance in the M1-like type ( Fig. 3A ).",(A) Macrophages were analyzed for ARA enzyme abundance by quantitative proteomics and (B) free oxylipins by quantitative metabolomics with (w) and without (w/o) additional LPS (0.1 µg/mL) treatment for 6 h.,Ptgs2;Cox-2;PTGS2,LPS,
15,PMC1781814,Prostaglandin E2 affects differently the release of inflammatory mediators from resident macrophages by LPS and muramyl tripeptides.,success,yes,yes,COX-2 mRNA increases rapidly to similar levels after the addition of LPS and MTP-PE (Fig. 3C).,L6: Research Article,Cox-2,LPS,
16,PMC6226547,Lipocalin-Like Prostaglandin D Synthase but Not Hemopoietic Prostaglandin D Synthase Deletion Causes Hypertension and Accelerates Thrombogenesis in Mice,success,no,no,,,,,
17,PMC4284740,"Pheophytin a Inhibits Inflammation via Suppression of LPS-Induced Nitric Oxide Synthase-2, Prostaglandin E2, and Interleukin-1β of Macrophages",success,yes,yes,"We further observed that both the protein and mRNA levels of COX-2 were also suppressed by Pheophytin a in a dose-dependent manner (Figure 3A,B).",RAW 264.7 cells were treated with the indicated concentrations of pheophytin a for 30 min followed by LPS (100 ng/mL) for 6 h. Western blot analysis of COX-2 expression.,Cox-2,LPS,
18,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
19,PMC3756181,Suppression of Heme Oxygenase-1 by Prostaglandin E2-Protein Kinase A-A-Kinase Anchoring Protein Signaling Is Central for Augmented Cyclooxygenase-2 Expression in Lipopolysaccharide-Stimulated RAW 264.7 Macrophages,success,yes,yes,"L38: Indomethacin significantly reduced the LPS-induced expression of COX-2 protein (Fig. 1A), implicating that an endogenous prostanoid potentiates COX-2 expression.","L17: Lipopolysaccharide (LPS), the main cell wall component of Gram-negative bacteria, activates inflammatory responses through toll-like receptor 4 (TLR4), and LPS-activated macrophages show a high expression of COX-2.",Cox-2,LPS;Lipopolysaccharide;bacteria,
20,PMC8945100,15-F2t-Isoprostane Favors an Anti-Inflammatory Phenotype in RAW 264.7 Macrophages during Endotoxin Challenge,success,no,no,,,,,
21,PMC8146495,Lipopolysaccharide-Induced Nitric Oxide and Prostaglandin E2 Production Is Inhibited by Tellimagrandin II in Mouse and Human Macrophages,success,yes,yes,"Specifically, pre- or post-treatment with TGII did not attenuate LPS-induced COX-2 gene expression, but decreased COX-2 protein in a dose-dependent manner.","The COX-2 mRNA (A), COX-2 protein (B) and PGE2 production (C) were quantified after 3 h, 6 h, and 12 h of LPS (100 ng/mL) stimulation, respectively.",Cox-2,LPS,
22,PMC2365800,Cyclooxygenase-2 and its regulation in inflammation,success,no,yes,"In an endothelium-derived cell line (ECV304) with IL-1 as the inducing agent, COX-2 mRNA had a half-life of about 1 h.",,Cox-2,,yes->no: evidence does not name LPS or infection
23,PMC5234110,Differential expression of E-type prostanoid receptors 2 and 4 in microglia stimulated with lipopolysaccharide,success,yes,yes,"L68: The PGE2 concentration in the culture medium of astrocytes increased from basal levels of 0.9 ± 0.3 nM to 4.8 ± 3.1 nM (mean ± SD, in 11 independent experiments) 8 hours after LPS exposure, as assessed by ELISA assays.",L67: COX-2 mediates the production of PGE2 in glial cells exposed to LPS,Cox-2,LPS,
24,PMC3592834,Integrated Analysis of COX-2 and iNOS Derived Inflammatory Mediators in LPS-Stimulated RAW Macrophages Pre-Exposed to Echium plantagineum L. Bee Pollen Extract,success,no,no,,,,,
25,PMC6651843,2-Carba cyclic phosphatidic acid inhibits lipopolysaccharide-induced prostaglandin E2 production in a human macrophage cell line,success,yes,yes,"L63: ""The fold changes in the mRNA expression of TNF-\u03b1 and Cox-2, PEG2 synthesizing enzyme, were remarkable (Fig. 2B).""","L64: ""Fig. 2: Variation in cytokine and Cox-2 mRNA expression after LPS stimulation in differentiated THP-1 cells. To measure mRNA expression, differentiated THP-1 cells were cultured with LPS (1 \u03bcg/mL) for the time indicated.""",Cox-2,LPS,
