rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC9833968,LIPG is a novel prognostic biomarker and correlated with immune infiltrates in lung adenocarcinoma,success,no,,,
2,PMC12955355,Regulatory roles of bioactive lipids in vascular homeostasis and remodeling,success,no,,,
3,PMC6618071,LIPG‐promoted lipid storage mediates adaptation to oxidative stress in breast cancer,success,no,,,
4,PMC1316069,Endothelial Lipase: A New Risk Factor for Atherosclerosis?,success,no,,,
5,bio_c6ad21607925,Endothelial lipase facilitates low-density lipoprotein (LDL) uptake in LDL receptor deficiency by a heparan sulfate proteoglycan-dependent mechanism,success,no,,,
6,PMC8426562,A host lipase prevents lipopolysaccharide-induced foam cell formation,success,no,,,
7,bio_81ee94387dff,Angiopoietin like protein 3 regulates low-density lipoprotein transport through aortic endothelial cells via endothelial lipase,success,no,,,
8,PMC7265491,Inhibition of LIPG phospholipase activity suppresses tumor formation of human basal-like triple-negative breast cancer,success,no,,,
9,PMC4378362,Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,success,no,,,
10,PMC6753242,"Which is the Best Predictor for the Development of Atherosclerosis Among Circulating Lipoprotein Lipase, Hepatic Lipase, and Endothelial Lipase?",success,no,,,
11,PMC3375090,Population-Based Resequencing of LIPG and ZNF202 Genes in Subjects with Extreme HDL Levels,success,no,,,
12,PMC3234219,Mining the LIPG Allelic Spectrum Reveals the Contribution of Rare and Common Regulatory Variants to HDL Cholesterol,success,no,,,
13,PMC2188426,Effects of activation on lipoprotein lipase secretion by macrophages. Evidence for autoregulation,success,no,,,
14,PMC12326425,Effect of Interactions Between Endothelial Lipase Gene Polymorphisms and Traditional Cardiovascular Risk Factors on Coronary Heart Disease Susceptibility,success,no,,,
15,PMC4822041,FoxA and LIPG endothelial lipase control the uptake of extracellular lipids for breast cancer growth,success,no,,,
16,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,,,
17,PMC8129130,LIPG endothelial lipase and breast cancer risk by subtypes,success,no,,,
18,PMC2394514,Expression analysis of G Protein-Coupled Receptors in mouse macrophages,success,no,,,
19,PMC9002396,Lipid Metabolism in Inflammation and Immune Function,success,no,,,
20,PMC9656053,A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy,success,no,,,
21,PMC6694707,LIPG supports adaption to oxidative stress,success,no,,,
22,PMC11405259,ZDHHC1 downregulates LIPG and inhibits colorectal cancer growth via IGF2BP1 Palmitoylation,success,no,,,
23,PMC7080329,Protective effect of bacterial lipase on lipopolysaccharide-induced toxicity in rat cardiomyocytes; H9C2 cell line,success,no,,,
24,PMC13172313,NCBP2 drives colorectal cancer growth and metastasis through LIPG-mediated lipid droplet accumulation,success,no,,,
25,PMC3296002,Increased expression of endothelial lipase in symptomatic and unstable carotid plaques,success,no,,,
