gene	query	search_id	date	rank	paper_id	title	verdict	status
Edn1	Edn1 LPS macrophage	s_665b0f34	2026-09-24T19:08:14Z	1	PMC5373621	Correction: Alternatively Activated (M2) Macrophage Phenotype Is Inducible by Endothelin-1 in Cultured Human Macrophages	no	ok
Edn1	Edn1 LPS macrophage	s_665b0f34	2026-09-24T19:08:14Z	2	bio_b06931d16f63	The orientation of choroidal macrophage polarization significantly influences the development of myopia in murine models	no	ok
Edn1	Edn1 LPS macrophage	s_665b0f34	2026-09-24T19:08:14Z	3	PMC3660024	Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages	no	ok
Edn1	Edn1 LPS macrophage	s_665b0f34	2026-09-24T19:08:14Z	4	PMC13372918	Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review	no	ok
Edn1	Edn1 LPS macrophage	s_665b0f34	2026-09-24T19:08:14Z	5	PMC10167635	Induction of unique macrophage subset by simultaneous stimulation with LPS and IL-4	no	ok
Edn1	Edn1 LPS macrophage	s_665b0f34	2026-09-24T19:08:14Z	6	PMC2949756	Motif prediction to distinguish LPS-stimulated pro-inflammatory vs. antibacterial macrophage genes	no	ok
Edn1	Edn1 LPS macrophage	s_665b0f34	2026-09-24T19:08:14Z	7	PMC6543837	Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages	no	ok
Edn1	Edn1 LPS macrophage	s_665b0f34	2026-09-24T19:08:14Z	8	PMC6375194	Responses of perivascular macrophages to circulating lipopolysaccharides in the subfornical organ with special reference to endotoxin tolerance	no	ok
Edn1	Edn1 LPS macrophage	s_665b0f34	2026-09-24T19:08:14Z	9	PMC3292559	New Model of Macrophage Acquisition of the Lymphatic Endothelial Phenotype	no	ok
Edn1	Edn1 LPS macrophage	s_665b0f34	2026-09-24T19:08:14Z	10	PMC8289208	Lipopolysaccharide from biofilm-forming Pseudomonas aeruginosa PAO1 induces macrophage hyperinflammatory responses	no	ok
Edn1	Edn1 LPS macrophage	s_665b0f34	2026-09-24T19:08:14Z	11	PMC9656053	A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy	no	ok
Edn1	Edn1 LPS macrophage	s_665b0f34	2026-09-24T19:08:14Z	12	PMC11606203	A polycomb group protein EED epigenetically regulates responses in lipopolysaccharide tolerized macrophages	no	ok
Edn1	Edn1 LPS macrophage	s_665b0f34	2026-09-24T19:08:14Z	13	PMC7918892	LPS Tolerance Inhibits Cellular Respiration and Induces Global Changes in the Macrophage Secretome	no	ok
Edn1	Edn1 LPS macrophage	s_665b0f34	2026-09-24T19:08:14Z	14	PMC13199726	Exosomal miR-148a-3p from LPS-Activated Macrophages Promotes M1 Polarization and Ferroptosis-Related Characteristics of Recipient Macrophages by Reducing SLC7A11	no	ok
