rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC6377304,Loss of Solute Carrier Family 7 Member 2 Exacerbates Inflammation-Associated Colon Tumorigenesis,success,yes,"In animal models, we have shown SLC7A2 to be upregulated in the setting of experimental colitis[10], [18], [19].",,
2,PMC7128890,FOCIS abstract supplement,success,no,,,
3,PMC6245571,Species-Specific Transcriptional Regulation of Genes Involved in Nitric Oxide Production and Arginine Metabolism in Macrophages,success,yes,"In rats, as in mice (19), LPS greatly increased (18-fold) expression of the cationic amino acid transporter, Slc7a2, whereas goats were the only large animal species in which SLC7A2 mRNA was detectable (TPM 6) and regulated to any degree by LPS, with an induced level (TPM≈16) still lower than the basal level in the rat (TPM 46).",,
4,PMC5081186,The L-Arginine Transporter Solute Carrier Family 7 Member 2 Mediates the Immunopathogenesis of Attaching and Effacing Bacteria,success,yes,"When compared to uninfected mice, there was a significant increase in Slc7a2 mRNA levels in colonic tissues from C. rodentium-infected mice (Fig 1A).",,
5,PMC7232099,Solute Carrier Family 37 Member 2 (SLC37A2) Negatively Regulates Murine Macrophage Inflammation by Controlling Glycolysis,success,no,,,
6,PMC12268560,The NF-κB-SLC7A11 axis regulates ferroptosis sensitivity in inflammatory macrophages,success,no,,,
7,PMC13199726,Exosomal miR-148a-3p from LPS-Activated Macrophages Promotes M1 Polarization and Ferroptosis-Related Characteristics of Recipient Macrophages by Reducing SLC7A11,success,no,,,
8,PMC12950507,Slc7a11‐Mediated Cystine/Glutamate Antiport Reprograms Macrophage Polarization and Ameliorates Atherosclerosis,success,no,,,
9,bio_b06931d16f63,The orientation of choroidal macrophage polarization significantly influences the development of myopia in murine models,success,no,,,
10,PMC10167635,Induction of unique macrophage subset by simultaneous stimulation with LPS and IL-4,success,no,,,
11,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,yes,"This effect is mediated by different genes such as the cationic amino acid transporters Slc7a2, Slc12a4, Slc1a4, Slc39a14, Slc3a2, and Slc4a7 found expressed exclusively in the in vivo M1(=LPS+)C57BL/6J signature.",,
12,PMC10412850,Sulfur metabolic response in macrophage limits excessive inflammatory response by creating a negative feedback loop,success,no,,,
13,PMC7891337,Frontline Science: LPS‐inducible SLC30A1 drives human macrophage‐mediated zinc toxicity against intracellular Escherichia coli,success,no,,,
14,PMC8702732,Hematopoietic Cell-Specific SLC37A2 Deficiency Accelerates Atherosclerosis in LDL Receptor-Deficient Mice,success,no,,,
15,PMC3660024,Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,success,no,,,
16,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,success,no,,,
17,PMC2949756,Motif prediction to distinguish LPS-stimulated pro-inflammatory vs. antibacterial macrophage genes,success,no,,,
18,PMC12035103,Lipopolysaccharide preconditioning augments the antibacterial activity of renal macrophages and ameliorates acute kidney injury caused by Staphylococcus aureus bacteremia in mice,success,no,,,
19,PMC7386301,Species-Specificity of Transcriptional Regulation and the Response to Lipopolysaccharide in Mammalian Macrophages,success,yes,"As noted previously (Young et al., 2018) the sheep BMDM did not show induction of NOS2 mRNA, nor of the inducible arginine transporter SLC7A2 at any time point.",,
20,bio_4372973f6c5f,Hematopoietic-SLC37A2 deficiency accelerates atherosclerosis in LDL receptor-deficient mice,success,no,,,
21,PMC10998134,Targeting SLC22A5 fosters mitophagy inhibition-mediated macrophage immunity against septic acute kidney injury upon CD47-SIRPα axis blockade,success,no,,,
22,PMC10091190,LPS combined with CD47mAb enhances the anti‑osteosarcoma ability of macrophages,success,no,,,
23,PMC7275413,Progranulin inhibits LPS-induced macrophage M1 polarization via NF-кB and MAPK pathways,success,no,,,
24,PMC5788887,Role of SLC7A5 in Metabolic Reprogramming of Human Monocyte/Macrophage Immune Responses,success,no,,,
25,PMC4778050,Age-associated metabolic dysregulation in bone marrow-derived macrophages stimulated with lipopolysaccharide,success,yes,"The gene expression of Arg1, iNOS (Nos2) and the cationic amino acid transport (Slc7a2) were quantified.",,
