rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC11697059,Specifically blocking αvβ8-mediated TGF-β signaling to reverse immunosuppression by modulating macrophage polarization,success,no,no,,,,,
2,PMC6219736,Human monocytes and macrophages regulate immune tolerance via integrin αvβ8–mediated TGFβ activation,success,no,no,,,,,
3,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
4,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
5,PMC11727125,Integrin β8 Facilitates Macrophage Infiltration and Polarization by Regulating CCL5 to Promote LUAD Progression,success,no,no,,,,,
6,PMC4378362,Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,success,no,no,,,,,
7,PMC5358891,Analysis of the human monocyte-derived macrophage transcriptome and response to lipopolysaccharide provides new insights into genetic aetiology of inflammatory bowel disease,success,no,no,,,,,
8,PMC4951018,Full Spectrum of LPS Activation in Alveolar Macrophages of Healthy Volunteers by Whole Transcriptomic Profiling,success,no,no,,,,,
9,PMC5439516,Inflammatory cues enhance TGFβ activation by distinct subsets of human intestinal dendritic cells via integrin αvβ8,success,no,yes,"We found that the TLR4 ligand lipopolysaccharide caused significant upregulation of integrin αvβ8 expression on moDC, which was not apparent with agonists for TLR1/2 (Pam3CSK4), TLR3 (Poly I:C), TLR5 (flagellin), or TLR7 (Imiquimod) (Figure 4b).","Human moDCs were treated for 48 h with ligands for TLR1/2 (Pam3CSK), TLR3 (Poly I:C), TLR4 (LPS), TLR5 (Flagellin), TLR7 (Imiquimod), or TLR8 (ssRNA40), and integrin αvβ8 expression was analyzed by flow cytometry.",,lipopolysaccharide;LPS,yes->no: evidence does not name the gene
10,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
11,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,no,,,,,
12,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
13,PMC12605410,Targeting the LPS-STING axis: neomycin restores STING-mediated anti-tumor immune suppression and inhibits tumor growth,success,no,no,,,,,
14,PMC3660024,Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,success,no,no,,,,,
15,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,no,,,,,
16,PMC12346749,Lipopolysaccharide-Activated Macrophages Suppress Cellular Senescence and Promote Rejuvenation in Human Dermal Fibroblasts,success,no,no,,,,,
17,PMC5527282,Natural variation of macrophage activation as disease-relevant phenotype predictive of inflammation and cancer survival,success,no,no,,,,,
18,PMC3217009,Pre-Treatment of Recombinant Mouse MFG-E8 Downregulates LPS-Induced TNF-α Production in Macrophages via STAT3-Mediated SOCS3 Activation,success,no,no,,,,,
19,PMC7927794,Surface‐bound matrix metalloproteinase‐8 on macrophages: Contributions to macrophage pericellular proteolysis and migration through tissue barriers,success,no,no,,,,,
20,PMC3333518,LPS activation of leukocytes attenuates adhesion to endothelial cells under shear stress,success,no,no,,,,,
21,PMC11994614,Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network,success,no,no,,,,,
22,PMC3317238,LPS Counter Regulates RNA Expression of Extracellular Proteases and Their Inhibitors in Murine Macrophages,success,no,no,,,,,
23,PMC8159967,Targeting Gα13-integrin interaction ameliorates systemic inflammation,success,no,no,,,,,
24,PMC6527387,Quercetin inhibits LPS-induced macrophage migration by suppressing the iNOS/FAK/paxillin pathway and modulating the cytoskeleton,success,no,no,,,,,
25,PMC9076897,Overabundance of Veillonella parvula promotes intestinal inflammation by activating macrophages via LPS-TLR4 pathway,success,no,no,,,,,
