rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC7379312,Histone deacetylase 2 is essential for LPS‐induced inflammatory responses in macrophages,success,no,yes,LPS treatment of the RAW264.7 cells and mouse primary bone-marrow-derived macrophages (BMMs) upregulated the expression of the HDAC2 mRNA within 1 h of stimulation.,"L17: Figure 1: LPS stimulation of macrophages induces HDAC2 expression. (a, b) Levels of the mRNAs encoding HDAC2 and other class I HDAC isoforms in (a) RAW264.7 cells and (b) mouse BMMs after 1 h of stimulation with LPS (100 ng mL −1).",,LPS,yes->no: evidence does not name the gene
2,PMC6359123,Histone Deacetylation Inhibitors as Therapy Concept in Sepsis,success,no,yes,"In this study, the authors observed that LPS transiently repressed expression of HDACs 4, 5, and 7, followed by an induction of these HDACS, which was more rapid, concerning HDAC-1 mRNA [57].","Besides polymicrobial sepsis models, such as CLP, colon ascendens stent peritonitis (CASP), or peritoneal cavity infection (PCI) [55], endotoxemia by a LPS challenge is an important model mimicking sepsis-like symptoms in animals.",,LPS;sepsis;CLP;infection;endotoxemia,yes->no: evidence does not name the gene
3,PMC4199742,HDAC6 Deacetylase Activity Is Critical for Lipopolysaccharide-Induced Activation of Macrophages,success,no,no,,,,,
4,PMC11221109,Myeloid-specific Hdac10 deletion protects against LPS-induced acute lung injury via P62 acetylation at lysine 165,success,no,yes,Our findings revealed an obvious increase of HDAC10 mRNA levels in LPS-exposed ALI mice lung tissues compared to those of normal controls (Fig. 1A).,"To determine whether HDAC10 is involved in LPS-treated ALI, we initially detected HDAC10 expression in ALI mice lung tissues.",,LPS,yes->no: evidence does not name the gene
5,PMC13493966,Sympathetic signaling activation alleviated acute respiratory distress syndrome via the HDC/SLC7A11 axis in lipopolysaccharide-induced macrophages,success,no,no,,,,,
6,PMC10096759,Inhibitory Effects of Ginsenoside Compound K on Lipopolysaccharide-Stimulated Inflammatory Responses in Macrophages by Regulating Sirtuin 1 and Histone Deacetylase 4,success,no,no,,,,,
7,PMC5763578,Histone deacetylase 2 (HDAC2) attenuates lipopolysaccharide (LPS)-induced inflammation by regulating PAI-1 expression,success,no,yes,"RAW264.7 cells transfected with HDAC2 showed around a 1.5-fold increase in HDAC2 protein expression, when compared to the cells transfected with the vector control (Fig. 2a).","RAW264.7 cells were transfected with HDAC2 expression vector for 48 h, and then stimulated with 100 ng/ml LPS for 2 h.",,LPS,yes->no: evidence does not name the gene
8,PMC7573361,HDAC3 Mediates the Inflammatory Response and LPS Tolerance in Human Monocytes and Macrophages,success,no,no,,,,,
9,PMC6821885,Lipopolysaccharide-induced expansion of histidine decarboxylase-expressing Ly6G+ myeloid cells identified by exploiting histidine decarboxylase BAC-GFP transgenic mice,success,yes,yes,Quantitative RT-PCR analysis demonstrated that the endogenous Hdc mRNA level was increased 6.1-fold in the lung at 4 hours after LPS administration (L33).,"Sepsis was induced by intraperitoneal (i.p.) injection of lipopolysaccharide (LPS; Sigma-Aldrich, St. Louis, Missouri) at a dose of 1 mg/kg or 10 mg/kg body weight. Four hours after the LPS injection, all analyses were performed (L59).",Hdc,LPS;Sepsis;lipopolysaccharide,
10,PMC7497259,Histamine and histidine decarboxylase: Immunomodulatory functions and regulatory mechanisms,success,yes,yes,"Mass spectrometry analysis showed that the GFP fluorescence level was increased in parallel with the increased histamine synthesis in the neutrophils upon LPS administration (Takai et al., 2019).",We induced sepsis in the Hdc-BAC-GFP mouse by LPS administration and examined whether the tissue distribution and the number of histamine-producing cells were altered.,Hdc,LPS;sepsis,
