title,authors,id,source,date,url,abstract
Histone deacetylase 2 is essential for LPS‐induced inflammatory responses in macrophages,Chenming Wu; Ang Li; Jian Hu; Jiuhong Kang,Matched: LPS stimulation of macrophages induces HDAC2 expression,cat /papers/PMC7379312/content.lines --lines 16-17,2018-10-31,https://doi.org/10.1111/imcb.12203,"Histone deacetylase 2 (HDAC2) is essential for LPS-induced inflammatory responses in macrophages. HDAC2 regulates these responses by deacetylating c-Jun, which then represses pro-inflammatory gene transcription."
Histone Deacetylation Inhibitors as Therapy Concept in Sepsis,Andreas von Knethen; Bernhard Brüne,Matched: 2.3. Endotoxemia and LPS Treatment of Cells to Mimic Epigenetic Altera,cat /papers/PMC6359123/content.lines --lines 21-22,2019-01-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6359123/,"Histone deacetylase (HDAC) inhibitors were studied as a therapeutic concept for sepsis. Inhibiting HDACs may restore gene expression profiles, potentially blocking sepsis progression by modulating inflammatory mediators."
HDAC6 Deacetylase Activity Is Critical for Lipopolysaccharide-Induced Activation of Macrophages,Bing Yan; Songbo Xie; Zhu Liu; Jie Ran; Yuanyuan Li; Jian Wang; Yang Yang; Jun Zhou; Dengwen Li; Min...,Matched: Abstract,cat /papers/PMC4199742/content.lines --lines 1-7,2014-10-16,https://doi.org/10.1371/journal.pone.0110718,"This study investigated the role of HDAC6 in lipopolysaccharide-induced macrophage activation. HDAC6 deacetylase activity is critical for this activation, mediated by its effects on cell adhesion and microtubule acetylation, not F-actin."
Myeloid-specific Hdac10 deletion protects against LPS-induced acute lung injury via P62 acetylation at lysine 165,Yuanyuan Xiang; Yu Zhong; Xianwen Lai; Zhenfu Fang; Guomei Su; Yingying Lv; Xiantong Tang; Lihuan Ou...,Matched: HDAC10 expression is increased in the lung macrophages following LPS e,cat /papers/PMC11221109/content.lines --lines 30-31,2024-07-02,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11221109/,"HDAC10 deletion in myeloid cells protects against LPS-induced acute lung injury. This protection occurs because HDAC10 normally deacetylates P62 at K165, promoting inflammation."
Sympathetic signaling activation alleviated acute respiratory distress syndrome via the HDC/SLC7A11 axis in lipopolysaccharide-induced macrophages,Xing Lv; Chenhao Jiang; Xu Zhang; Zhengqi Wu; Xuxia Wei; Yang Zhao; Jianhao Zhang; Xuegang Zhao; Lu ...,Matched: Norepinephrine attenuates LPS-induced ferroptosis in a dose-dependent,cat /papers/PMC13493966/content.lines --lines 23-24,2026-06-15,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13493966/,"Acute respiratory distress syndrome (ARDS) represents a severe pulmonary condition characterized by excessive inflammation, wherein alveolar macrophages (AMs), pivotal components of the innate immune "
Inhibitory Effects of Ginsenoside Compound K on Lipopolysaccharide-Stimulated Inflammatory Responses in Macrophages by Regulating Sirtuin 1 and Histone Deacetylase 4,Hyunju Kang; Shin Kim; Jin-Young Lee; Bohkyung Kim,Matched: 3.2. CK and Hdac4 Knockdown Abolished the LPS-Induced Reduction in Sir,cat /papers/PMC10096759/content.lines --lines 35-36,2023-03-27,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10096759/,Ginsenoside compound K's effects on lipopolysaccharide-stimulated macrophages were studied. Compound K inhibits inflammation and metabolic changes by activating SIRT1 and repressing HDAC4.
Histone deacetylase 2 (HDAC2) attenuates lipopolysaccharide (LPS)-induced inflammation by regulating PAI-1 expression,Wen-Feng Fang; Yu-Mu Chen; Chiung-Yu Lin; Hui-Lin Huang; Hua Yeh; Ya-Ting Chang; Kuo-Tung Huang; Men...,Matched: HDAC2 activity analysis,cat /papers/PMC5763578/content.lines --lines 61,2018-01-10,https://doi.org/10.1186/s12950-018-0179-6,Histone deacetylase 2 (HDAC2) was studied in LPS-induced inflammation models to understand its role in regulating inflammatory responses. HDAC2 attenuates inflammation by inhibiting PAI-1 expression through the c-Jun pathway.
HDAC3 Mediates the Inflammatory Response and LPS Tolerance in Human Monocytes and Macrophages,Mohammed Ghiboub; Jing Zhao; Andrew Y. F. Li Yim; Ronald Schilderink; Caroline Verseijden; Patricia ...,Matched: Introduction,cat /papers/PMC7573361/content.lines --lines 17-18,2020-10-05,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7573361/,"HDAC3 inhibition reduced inflammatory cytokine secretion in human monocytes and M1 macrophages, but not M2. HDAC3 also mediates LPS tolerance by suppressing tolerizable genes, possibly via TLR4/CD14 downregulation."
Lipopolysaccharide-induced expansion of histidine decarboxylase-expressing Ly6G+ myeloid cells identified by exploiting histidine decarboxylase BAC-GFP transgenic mice,Jun Takai; Hiroshi Ohtsu; Atsushi Sato; Satoshi Uemura; Tsutomu Fujimura; Masayuki Yamamoto; Takashi...,Matched: Hdc BAC-directed transgenic GFP expression identifies the LPS-induced,cat /papers/PMC6821885/content.lines --lines 33-34,2019-10-30,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6821885/,Histidine decarboxylase BAC-GFP transgenic mice were generated to track histamine-producing cells. A histamine-producing myeloid cell population was found to accumulate in the lungs during sepsis.
Histamine and histidine decarboxylase: Immunomodulatory functions and regulatory mechanisms,Takashi Moriguchi; Jun Takai,Matched: MECHANISM OF Hdc GENE REGULATION,cat /papers/PMC7497259/content.lines --lines 15,2020-05-12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7497259/,This review summarizes how histamine is produced and its immunomodulatory roles. It also introduces a new transgenic mouse model for studying histamine production.
Dichotomous Engagement of HDAC3 Activity Governs Inflammatory Responses,Hoang C. B. Nguyen; Marine Adlanmerini; Amy K. Hauck; Mitchell A. Lazar,Matched: In vivo transcription profiling.,cat /papers/PMC7725280/content.lines --lines 36,2020-08-05,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7725280/,"HDAC3's role in macrophage inflammatory responses was studied. Dichotomous engagement of HDAC3, both with and without its catalytic activity, is vital for innate immunity."
Histone deacetylase 7 mediates lipopolysaccharide-inducible mitochondrial fission in macrophages,Rishika Abrol; Syeda Farhana Afroz; James E. B. Curson; Karoline D. Raven; Kaustav Das Gupta; Kimber...,Matched: HDAC7 promotes LPS-inducible glycolysis and a subset of inflammatory r,cat /papers/PMC12539210/content.lines --lines 40-41,2025-10-10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12539210/,"HDAC7 was studied for its role in LPS-inducible mitochondrial fission in macrophages. HDAC7 promotes this fission, which is linked to DRP1 and influences metabolic and inflammatory responses."
HDAC3 promotes macrophage pyroptosis via regulating histone deacetylation in acute lung injury,Ning Li; Bohao Liu; Ruyuan He; Guorui Li; Rui Xiong; Tinglv Fu; Donghang Li; Chenzhen Xu; Bo Wang; Q...,Matched: HDAC3 deficiency inhibited LPS-induced pyroptosis in macrophage,cat /papers/PMC10316655/content.lines --lines 25,2023-06-19,https://doi.org/10.1016/j.isci.2023.107158,"HDAC3 was studied for its role in macrophage pyroptosis during acute lung injury. HDAC3 promotes pyroptosis by deacetylating histones, activating the cGAS/STING pathway, and increasing cGAS expression."
The regulation of histidine decarboxylase gene expression.,M. Höcker; Z. Zhang; T. J. Koh; T. C. Wang,Matched: Images,cat /papers/PMC2588973/content.lines --lines 6-10,1996,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2588973/,"The histidine decarboxylase (HDC) gene's expression was studied in rat stomach and liver, and its promoter was analyzed in a human cell line. Gastrin transcriptionally regulates HDC expression via a protein-kinase C-dependent pathway."
Histone deacetylase 5 regulates the inflammatory response of macrophages,Lukas Poralla; Thorsten Stroh; Ulrike Erben; Marie Sittig; Sven Liebig; Britta Siegmund; Rainer Glau...,Matched: Discussion,cat /papers/PMC4568921/content.lines --lines 86-88,2015-06-08,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4568921/,"HDAC5's role in macrophage inflammatory response was studied using cell lines and genetic manipulation. Overexpression of HDAC5 enhances pro-inflammatory cytokine production, while its knockdown reduces it, indicating HDAC5 is a key regulator."
Histamine Signaling Is Essential for Tissue Macrophage Differentiation and Suppression of Bacterial Overgrowth in the Stomach,Kwang H. Kim; Jihwan Park; Yejin Cho; Soo Young Cho; Buhyun Lee; Haengdueng Jeong; Yura Lee; Ja-Woon...,Matched: Single-Cell RNA Profiling of Stomach Macrophages of Hdc-/- and Hdc+/+,cat /papers/PMC9672892/content.lines --lines 52,2022-09-24,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9672892/,"Histamine signaling was studied for its role in stomach macrophage differentiation and gastric homeostasis. Histamine is essential for proper macrophage differentiation, which suppresses bacterial overgrowth and prevents stomach pathology."
