title,authors,id,source,date,url,abstract
IL-1α and IL-1β-producing macrophages populate lung tumor lesions in mice,Michela Terlizzi; Chiara Colarusso; Ada Popolo; Aldo Pinto; Rosalinda Sorrentino,Matched: Lung tumor-derived macrophages release IL-1α after LPS stimulation,cat /papers/PMC5295423/content.lines --lines 28-29,2016-08-12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5295423/,"Lung tumor lesions in mice were found to be populated by macrophages that produce IL-1α and IL-1β. This production, regulated by the NLRP3 inflammasome and caspase-11/caspase-1, promotes tumor growth."
Inflammatory responses following CRISPR modification of the nuclear localisation sequence in endogenous interleukin-1α,"Christopher Hoyle, Rodrigo Díaz Pino, Si Min Lai, Jack P Green, Antony Adamson, Graham Coutts, Cathe...",Matched: Acknowledgements,cat /papers/bio_5bcf0fbf7dda/content.lines --lines 150-154,2025-09-30,,CRISPR was used to disrupt the nuclear localization sequence (NLS) of endogenous interleukin-1α in mice. Disruption of the NLS did not alter inflammatory responses in vitro or in vivo.
Developmentally Regulated Innate Immune NFκB Signaling Mediates IL-1α Expression in the Perinatal Murine Lung,Brittany Butler; Robyn De Dios; Leanna Nguyen; Sarah McKenna; Sankar Ghosh; Clyde J. Wright,Matched: LPS Induces NFκB-Mediated IL1α Expression in Macrophages,cat /papers/PMC6637303/content.lines --lines 59-61,2019-07-10,https://doi.org/10.3389/fimmu.2019.01555,Perinatal inflammatory stress induces IL-1α expression in the neonatal lung via NFκB signaling. This IL-1α expression is developmentally regulated and specific to the neonatal lung.
CRISPR/Cas9 mediated mutation of mouse IL-1α nuclear localisation sequence abolishes expression,Michael J. D. Daniels; Antony D. Adamson; Neil Humphreys; David Brough,Matched: CRISPR-mediated disruption of the Il1a gene leads to loss of IL-1α exp,cat /papers/PMC5719027/content.lines --lines 30-31,2017-12-06,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5719027/,"CRISPR/Cas9 was used to mutate the IL-1α nuclear localization sequence in mice. This mutation unexpectedly abolished IL-1α expression, suggesting a lncRNA's secondary structure regulates its transcription."
Targeting senescence-associated secretory phenotype macrophage: apigenin inhibits DOT1L-dependent H3K79me2 at IL1A to fight SASP in senescent macrophages,Guozhen Ni; Ning Ma; Jian Xu,Matched: API treatment hindered DOT1L-mediated H3K79me2 enrichment to downregul,cat /papers/PMC13421434/content.lines --lines 66-67,2026-07-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13421434/,"Apigenin (API) has been utilized in the treatment of atherosclerosis. Senescent macrophages exhibit a senescence-associated secretory phenotype (SASP), which plays a critical role in the progression o"
Transition from interleukin 1 beta (IL-1 beta) to IL-1 alpha production during maturation of inflammatory macrophages in vivo,Matched: cat /papers/PMC2119227/content.lines --lines 5,PMC2119227,PMC,1992-06-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2119227/,"Monocytes migrating into inflamed Peyer's patches during bacterial infection initially produce IL-1 beta. As these cells mature into macrophages, IL-1 beta production ceases and IL-1 alpha production begins."
The common IL1A single nucleotide polymorphism rs17561 is a hypomorphic mutation that significantly reduces interleukin‐1α release from human blood cells,Kimberley A. Wiggins; Katerina Pyrillou; Melanie Humphry; Adam S. Butterworth; Murray CH. Clarke,Matched: Whole blood LPS stimulation,cat /papers/PMC11495263/content.lines --lines 20,2022-10-13,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11495263/,"The study investigated the functional impact of the common IL1A single nucleotide polymorphism rs17561. This variant significantly reduces interleukin-1α release from human blood cells, acting as a hypomorphic mutation."
CCR5 signaling promotes lipopolysaccharide-induced macrophage recruitment and alveolar developmental arrest,Ze Chen; Xiaohua Xie; Na Jiang; Jianhui Li; Lei Shen; Yongjun Zhang,Matched: Macrophages increase in number and are the primary source of IL-1β in,cat /papers/PMC7883330/content.lines --lines 49-50,2021-02-15,https://doi.org/10.1038/s41419-021-03464-7,"This study investigated the role of CCR5 signaling in lipopolysaccharide-induced bronchopulmonary dysplasia. Increased CCR5 expression promotes inflammation and alveolar developmental arrest, suggesting it is a therapeutic target for BPD."
D-mannose suppresses macrophage IL-1β production,Simone Torretta; Alessandra Scagliola; Luisa Ricci; Francesco Mainini; Sabrina Di Marco; Ivan Cuccov...,Matched: Endotoxin-induced model of sepsis,cat /papers/PMC7733482/content.lines --lines 80-81,2020-12-11,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7733482/,"This study investigated D-mannose's effect on macrophage activation. D-mannose suppresses IL-1β production by impairing glucose metabolism, offering a potential intervention for inflammatory conditions."
Host-derived Interleukin 1α induces an immunosuppressive tumor microenvironment via regulating monocyte-to-macrophage differentiation,"Manikanda Raja Keerthi Raja, Gourab Gupta, Grace Atkinson, Katie Kathrein, Alissa Armstrong, Michael...",Matched: Human macrophage M1/M2 gene signature analysis,cat /papers/bio_16d3b4c677d7/content.lines --lines 87,2024-05-03,,"Host-derived Interleukin 1α was studied for its role in regulating monocyte-to-macrophage differentiation in breast cancer. IL-1α promotes an immunosuppressive tumor microenvironment, and its absence leads to tumor rejection and improved anti-tumor immunity."
