title,authors,id,source,date,url,abstract
Downregulated RSAD2 Attenuates the Apoptosis of LPS-Stimulated RAW264.7 via NF-κB Signaling Pathway,Zhen Qi; Kongli Lu; Mengxi Huang; Haixia Wang; Rongheng Liao; Ri Tang,Matched: RSAD2 Knockdown Attenuated Apoptosis in LPS-Induced RAW264.7 Cells,cat /papers/PMC12357613/content.lines --lines 56-57,2025-08-12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12357613/,This study investigated RSAD2's role in LPS-stimulated macrophage apoptosis. Downregulating RSAD2 reduces apoptosis by suppressing the NF-κB pathway.
Epigenetic profile in lipopolysaccharide-stimulated macrophages,Ester Correia Sarmento Rios; Thais Martins Lima Salgado; Francisco Garcia Soriano,PMC3953056,Critical Care,2013-11-05,https://doi.org/10.1186/cc12987,
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,"Marco Orecchioni, Yanal Ghosheh, Akula Bala Pramod, Klaus Ley",PMC6543837,Frontiers in Immunology,2019-05-24,https://doi.org/10.3389/fimmu.2019.01084,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
RSAD2: A pathogenic interferon-stimulated gene at the maternal-fetal interface of patients with systemic lupus erythematosus,Xiaoyu Ding; Yonggang Zhou; Xiaofeng Qiu; Xiuxiu Xu; Xinyu Hu; Jingkun Qin; Yulan Chen; Min Zhang; J...,Matched: Abstract,cat /papers/PMC11970327/content.lines --lines 1-11,2025-02-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11970327/,"This study identifies RSAD2 as a pathogenic interferon-stimulated gene at the maternal-fetal interface in systemic lupus erythematosus patients. Elevated RSAD2 impairs placental vascular development by accumulating diacylglycerol lipids, suggesting RSAD2 targeting as a therapeutic strategy."
Lipopolysaccharide-induced innate immune responses are exacerbated by Prohibitin 1 deficiency and mitigated by S-adenosylmethionine in murine macrophages,Soohan Jung; Jaehee Park; Kwang Suk Ko,Matched: Effect of LPS stimulation on Phb1 expression in RAW 264.7 cells,cat /papers/PMC7657527/content.lines --lines 49-50,2020-11-11,https://doi.org/10.1371/journal.pone.0241224,"Prohibitin 1 deficiency exacerbates LPS-induced inflammation in macrophages, while S-adenosylmethionine mitigates these responses. Phb1 modulates innate immunity via the NF-κB pathway."
LncRNA NRIR inhibits osteogenesis by promoting macrophage M1 polarization through RSAD2/NF-κB axis in peri-implantitis,Renshengjie Zhao; Lan Wang; Yang Zhou; Keming Xiao; Qiqi Liu; Ke Yu,Matched: RSAD2 regulates M1 macrophage polarization,cat /papers/PMC12580130/content.lines --lines 64-65,2025-10-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12580130/,"LncRNA NRIR's role in peri-implantitis macrophage polarization was studied. NRIR promotes M1 macrophage polarization via the RSAD2/NF-κB axis, inhibiting osteogenesis."
Full Spectrum of LPS Activation in Alveolar Macrophages of Healthy Volunteers by Whole Transcriptomic Profiling,"Miguel Pinilla-Vera, Zeyu Xiong, Yutong Zhao, Jing Zhao, Michael P. Donahoe, Suchitra Barge, William...",PMC4951018,PLoS ONE,2016-07-19,https://doi.org/10.1371/journal.pone.0159329,"Human alveolar macrophages were studied for their response to LPS activation using transcriptomic profiling. LPS induced a type I interferon signature, with IRF-7 and USP18 potentially fine-tuning IL-10 production."
Lipopolysaccharide from biofilm-forming Pseudomonas aeruginosa PAO1 induces macrophage hyperinflammatory responses,Sufei Wang; Dandan Xiang; Fangbing Tian; Ming Ni,Matched: Methodology,cat /papers/PMC8289208/content.lines --lines 13,2021-04-28,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8289208/,Biofilm-forming *Pseudomonas aeruginosa* LPS was studied for its effect on macrophage polarization. This LPS induced hyperinflammatory responses and increased bacterial growth in macrophages compared to planktonic LPS.
Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,Marco Orecchioni; Yanal Ghosheh; Akula Bala Pramod; Klaus Ley,PMC7053374,Frontiers in Immunology,2020-02-25,https://doi.org/10.3389/fimmu.2020.00234,
Histone deacetylase 2 is essential for LPS‐induced inflammatory responses in macrophages,Chenming Wu; Ang Li; Jian Hu; Jiuhong Kang,"Matched: BMM adoptive transfer, LPS challenge and bacterial sepsis model",cat /papers/PMC7379312/content.lines --lines 61,2018-10-31,https://doi.org/10.1111/imcb.12203,"Histone deacetylase 2 (HDAC2) is essential for LPS-induced inflammatory responses in macrophages. HDAC2 regulates these responses by deacetylating c-Jun, which then represses pro-inflammatory gene transcription."
Lipopolysaccharide-Activated Macrophages Suppress Cellular Senescence and Promote Rejuvenation in Human Dermal Fibroblasts,Hiroyuki Inagawa; Chie Kohchi; Miyuki Uehiro; Gen-Ichiro Soma,Matched: 3. Discussion,cat /papers/PMC12346749/content.lines --lines 40-42,2025-07-22,https://doi.org/10.3390/ijms26157061,LPS-activated macrophages were studied for their effect on senescent human dermal fibroblasts. Their secretions suppressed senescence and partially rejuvenated aged fibroblasts.
RSAD2 is abundant in atherosclerotic plaques and promotes interferon-induced CXCR3-chemokines in human smooth muscle cells,Assim Hayderi; Ashok K. Kumawat; Vladimir S. Shavva; Mats Dreifaldt; Birgitta Sigvant; Marcelo H. Pe...,Matched: IFN-γ strongly and persistently induces RSAD2 in hAoSMCs,cat /papers/PMC11001978/content.lines --lines 24,2024-04-08,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11001978/,"RSAD2 was studied in atherosclerotic plaques and IFN-γ-stimulated human smooth muscle cells. RSAD2 promotes interferon-induced CXCR3-chemokines in these cells, potentially contributing to monocyte recruitment in atherosclerosis."
Species-Specificity of Transcriptional Regulation and the Response to Lipopolysaccharide in Mammalian Macrophages,Stephen J. Bush; Mary E. B. McCulloch; Zofia M. Lisowski; Charity Muriuki; Emily L. Clark; Rachel Yo...,Matched: Introduction,cat /papers/PMC7386301/content.lines --lines 15-16,2020-07-21,https://doi.org/10.3389/fcell.2020.00661,"This study analyzed the transcriptional response of sheep macrophages to lipopolysaccharide (LPS) and compared it to other mammalian species. A conserved transcriptional network was found, but large animals and rodents differed in their metabolic responses to LPS."
Rsad2 is necessary for mouse dendritic cell maturation via the IRF7-mediated signaling pathway,Ji-Su Jang; Jun-Ho Lee; Nam-Chul Jung; So-Yeon Choi; Soo-Yeoun Park; Ji-Young Yoo; Jie-Young Song; H...,Matched: Expression of Rsad2 in mDCs,cat /papers/PMC6070531/content.lines --lines 21-22,2018-08-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6070531/,Rsad2 expression was studied in mouse dendritic cells and its role in maturation investigated. Rsad2 is essential for dendritic cell maturation through the IRF7 pathway and is required for their anti-tumor efficacy.
Intracellular NAD+ levels are associated with LPS-induced TNF-α release in pro-inflammatory macrophages,Abbas Jawad Al-Shabany; Alan John Moody; Andrew David Foey; Richard Andrew Billington,Matched: RESULTS,cat /papers/PMC4770305/content.lines --lines 45-46,2016-02-29,https://doi.org/10.1042/BSR20150247,Intracellular NAD+ levels were studied in pro-inflammatory and anti-inflammatory macrophages stimulated with lipopolysaccharide. NAD+ levels in pro-inflammatory macrophages correlated with TNF-α release.
Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,"Akane Tanaka, Joyce To, Bronwyn O’Brien, Sheila Donnelly, Maria Lund",PMC5627409,biomedrxiv,2017-10-03,https://doi.org/10.1186/s12865-017-0223-y,"This study assessed the stability of eight common reference genes in LPS-stimulated murine macrophages. It found that some traditional genes are unreliable, and identified two new, stable reference genes for accurate gene expression analysis."
Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network,Gen-Ichiro Soma; Masataka Oda; Vindy Tjendana Tjhin; Chie Kohchi; Hiroyuki Inagawa,Matched: Regulation of innate immunity by LPS as an environmental agent,cat /papers/PMC11994614/content.lines --lines 29-31,2025-03-31,https://doi.org/10.3389/fimmu.2025.1563484,"Oral and transdermal LPS administration was studied for its effects on self-healing. This method safely enhances healing through a ""macrophage network"" involving mucosal immune cells."
Expression Profiling of LPS Responsive miRNA in Primary Human Macrophages,"Afsar Raza Naqvi, Sheng Zhong, Hong Dang, Jezrom B Fordham, Salvador Nares, Asma Khan",PMC4905593,biomedrxiv,2016-06-03,https://doi.org/10.4172/1948-5948.1000276,"This study profiled microRNA expression in human macrophages exposed to lipopolysaccharide (LPS). LPS treatment temporally altered macrophage microRNA expression, impacting key cell signaling and pathogen response pathways."
A potential role for macrophages in maintaining lipopolysaccharide-induced subacute airway inflammation in rats,LIN LIU; LEI CHEN; YONGSHENG WANG; HUA YANG; YIFANG CHEN; XIAOYA XU; HANG ZHOU; FANGPING JIANG; TONG...,Matched: Animals and reagents,cat /papers/PMC3494132/content.lines --lines 16,2012-09-27,https://doi.org/10.3892/etm.2012.726,"This study investigated airway inflammation in rats after lipopolysaccharide administration. Macrophages, along with IL-1β, showed sustained presence, suggesting their role in maintaining this inflammation."
P23 Acts as Functional RBP in the Macrophage Inflammation Response,Sebastian de Vries; Vladimir Benes; Isabel S. Naarmann-de Vries; Cornelia Rücklé; Katharina Zarnack;...,Matched: Depletion of P23 Enhances Phagocytosis,cat /papers/PMC8226254/content.lines --lines 56-57,2021-06-11,https://doi.org/10.3389/fmolb.2021.625608,"P23, a known HSP90 co-chaperone, was studied for its RNA-binding role in macrophages. P23 depletion destabilizes Kif15 mRNA, reducing KIF15 expression and enhancing macrophage migration and phagocytosis."
Monocyte normal immune response to LPS stimulation,P Myrianthefs; K Venetsanou; E Grouzi; E Boutzouka; P Evagelopoulou; G Fildissis; I Spiliotopoulou; ...,PMC3333514,Critical Care,2002-03-01,https://doi.org/10.1186/cc1554,
Histone acetyltransferase and DNA methyltransferase expression in response to LPS stimulation,Ester Correia Sarmento Rios; Francisco Garcia Soriano,PMC3952185,Critical Care,2013-11-05,https://doi.org/10.1186/cc12988,
A new metabolomic assay to examine inflammation and redox pathways following LPS challenge,Jung H Suh; Robert Y Kim; Daniel S Lee,Matched: LPS-dependent changes in the RAW macrophage amino acid profile,cat /papers/PMC3507808/content.lines --lines 39-43,2012-10-04,https://doi.org/10.1186/1476-9255-9-37,"A new LC-MS/MS assay simultaneously measures arginine and sulfur amino acid metabolism. This assay revealed that the Cit+Orn/Arg+Asp ratio is an early, sensitive biomarker of LPS-induced macrophage activation."
Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,"S. Dey, D. Boucher, J. W. Pitchford, D. Lagos *",Matched: Macrophage community AIH is dependent on LPS dose,cat /papers/bio_206e5a356c66/content.lines --lines 42-45,2021-09-19,,"This study mathematically models macrophage responses to LPS, analyzing single-cell protein expression. Macrophage hypo-responsiveness to secondary LPS challenges is driven by altered transition rates to non-responsive states."
