rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC6245571,Species-Specific Transcriptional Regulation of Genes Involved in Nitric Oxide Production and Arginine Metabolism in Macrophages,success,yes,"In rats, as in mice, LPS strongly induced Nos2, the arginine transporter Slc7a2, arginase 1 (Arg1), GTP cyclohydrolase (Gch1), and argininosuccinate synthase (Ass1).",Slc7a2,
2,PMC7128890,FOCIS abstract supplement,success,no,,,
3,PMC12268560,The NF-κB-SLC7A11 axis regulates ferroptosis sensitivity in inflammatory macrophages,success,no,,,
4,PMC6411972,Characterisation of genes differentially expressed in macrophages by virulent and attenuated Mycobacterium tuberculosisthrough RNA-Seq analysis,success,yes,The expression level of Slc7a2 was significantly increased later (12–24 h) after infection in Ra-infected macrophages compared with macrophages infected with Rv (Fig. 3A–C).,Slc7a2,
5,PMC11112377,Amino acid transporters within the solute carrier superfamily: Underappreciated proteins and novel opportunities for cancer therapy,success,no,,,
6,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,
7,PMC13199726,Exosomal miR-148a-3p from LPS-Activated Macrophages Promotes M1 Polarization and Ferroptosis-Related Characteristics of Recipient Macrophages by Reducing SLC7A11,success,no,,,
8,PMC3237590,Cationic Amino Acid Transporter 2 Enhances Innate Immunity during Helicobacter pylori Infection,success,yes,"We have demonstrated that cationic amino acid transporter 2 (CAT2) expression is upregulated in macrophages in vitro, and in mouse and human gastritis tissues, with co-localization to gastric macrophages by immunostaining; we also identified CAT2 as the protein responsible for the uptake of l-arginine (L-Arg) into macrophages [4].",Cat2,
9,PMC5526900,l-Arginine Uptake by Cationic Amino Acid Transporter Promotes Intra-Macrophage Survival of Leishmania donovani by Enhancing Arginase-Mediated Polyamine Synthesis,success,no,,,
10,PMC4188127,“Of Mice and Men”: Arginine Metabolism in Macrophages,success,no,,,
11,PMC10412850,Sulfur metabolic response in macrophage limits excessive inflammatory response by creating a negative feedback loop,success,no,,,
12,PMC12950507,Slc7a11‐Mediated Cystine/Glutamate Antiport Reprograms Macrophage Polarization and Ameliorates Atherosclerosis,success,no,,,
13,PMC2999609,In Lysinuric Protein Intolerance system y+L activity is defective in monocytes and in GM-CSF-differentiated macrophages,success,no,,,
14,PMC3507808,A new metabolomic assay to examine inflammation and redox pathways following LPS challenge,success,no,,,
15,PMC7891337,Frontline Science: LPS‐inducible SLC30A1 drives human macrophage‐mediated zinc toxicity against intracellular Escherichia coli,success,no,,,
16,PMC7386301,Species-Specificity of Transcriptional Regulation and the Response to Lipopolysaccharide in Mammalian Macrophages,success,yes,"As noted previously (Young et al., 2018) the sheep BMDM did not show induction of NOS2 mRNA, nor of the inducible arginine transporter SLC7A2 at any time point.",Slc7a2,
17,PMC2265428,Cationic Amino Acid Transporter-2 Regulates Immunity by Modulating Arginase Activity,success,yes,"Several pro-inflammatory mediators including LPS can regulate the expression of CAT2; thus, it likely functions as the key L-arginine transporter during inflammatory responses.",Cat2,
18,PMC5868322,Downregulation of SLC7A7 Triggers an Inflammatory Phenotype in Human Macrophages and Airway Epithelial Cells,success,no,,,
19,PMC12713647,"Single-cell to pre-clinical evaluation of Trem2, Folr2, and Slc7a7 as macrophage-associated biomarkers for atherosclerosis",success,no,,,
20,PMC7232099,Solute Carrier Family 37 Member 2 (SLC37A2) Negatively Regulates Murine Macrophage Inflammation by Controlling Glycolysis,success,no,"Interestingly, LPS rapidly increased SLC37A2 protein level in wild-type (WT) bone marrow-derived macrophages (BMDMs) at 1 h.",,yes->no: evidence does not name the gene
21,PMC5788887,Role of SLC7A5 in Metabolic Reprogramming of Human Monocyte/Macrophage Immune Responses,success,no,,,
22,PMC8702732,Hematopoietic Cell-Specific SLC37A2 Deficiency Accelerates Atherosclerosis in LDL Receptor-Deficient Mice,success,no,,,
23,PMC6377304,Loss of Solute Carrier Family 7 Member 2 Exacerbates Inflammation-Associated Colon Tumorigenesis,success,yes,Slc7a2 mRNA levels were not detectable in control or AOM-DSS treated Slc7a2–/– mice (Supplementary Figure 1).,Slc7a2,
24,PMC4051248,Expression and Regulation of the Proton-Coupled Oligopeptide Transporter PhT2 by LPS in Macrophages and Mouse Spleen,success,no,,,
25,PMC11077379,Aberrant Expression of SLC7A11 Impairs the Antimicrobial Activities of Macrophages in Staphylococcus Aureus Osteomyelitis in Mice,success,no,,,
