rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC8576732,The expression of STEAP4 in peripheral blood predicts the outcome of septic patients,success,yes,yes,"As shown in Figure 7, both mRNA and protein expression of STEAP4 were significantly increased in septic liver cells.","The mouse macrophage RAW264.7 cells used in this study were purchased from Shanghai Cell Bank of Chinese Academy of Sciences and cultured in complete medium containing 10% fetal bovine serum. Lipopolysaccharide (LPS, purchased from Sigema, USA) was used to model sepsis cells at a dose of 100 ng/mL.",Steap4;STEAP4,septic;Lipopolysaccharide;LPS;sepsis,
2,PMC10494559,Immune responses of six-transmembrane epithelial antigen of the prostate 4 functions as a novel biomarker in gastric cancer,success,no,no,,,,,
3,PMC11346062,Six transmembrane epithelial antigens of the prostate to illustrate inflammatory response in gastrointestinal cancers,success,no,no,,,,,
4,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
5,PMC13364855,STEAP4 drives immune dysregulation in myocardial infarction–NSCLC comorbidity,success,no,no,,,,,
6,PMC10823946,Inflammatory response in gastrointestinal cancers: Overview of six transmembrane epithelial antigens of the prostate in pathophysiology and clinical implications,success,no,no,,,,,
7,PMC7021685,Inflammation mobilizes copper metabolism to promote colon tumorigenesis via an IL-17-STEAP4-XIAP axis,success,no,no,,,,,
8,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
9,PMC12035103,Lipopolysaccharide preconditioning augments the antibacterial activity of renal macrophages and ameliorates acute kidney injury caused by Staphylococcus aureus bacteremia in mice,success,no,no,,,,,
10,PMC13480316,Hepatic STEAP4 promotes liver regeneration by regulating lysosomal iron homeostasis and membrane integrity in acetaminophen-induced liver injury,success,no,no,,,,,
11,PMC6194020,Cryo-EM structures of human STEAP4 reveal mechanism of iron(III) reduction,success,no,no,,,,,
12,PMC7386301,Species-Specificity of Transcriptional Regulation and the Response to Lipopolysaccharide in Mammalian Macrophages,success,no,no,,,,,
13,PMC12605410,Targeting the LPS-STING axis: neomycin restores STING-mediated anti-tumor immune suppression and inhibits tumor growth,success,no,no,,,,,
14,PMC4459839,Steap4 attenuates high glucose and S100B-induced effects in mesangial cells,success,no,no,,,,,
15,PMC8059164,STEAP4 expression in CNS resident cells promotes Th17 cell-induced autoimmune encephalomyelitis,success,no,no,,,,,
16,PMC11851923,Diabetes-Mediated STEAP4 Enhances Retinal Oxidative Stress and Impacts the Development of Diabetic Retinopathy,success,no,no,,,,,
17,PMC11394647,"Correction: Trstenjak Prebanda et al. Upregulation of Mitochondrial Redox Sensitive Proteins in LPS-Treated Stefin B-Deficient Macrophages. Cells 2019, 8, 1476",success,no,no,,,,,
18,PMC2196288,"Lipopolysaccharide (LPS)-induced Macrophage Activation and Signal Transduction in the Absence of Src-Family Kinases Hck, Fgr, and Lyn",success,no,no,,,,,
19,PMC9406800,STEAP1–4 (Six-Transmembrane Epithelial Antigen of the Prostate 1–4) and Their Clinical Implications for Prostate Cancer,success,no,no,,,,,
20,PMC13359901,STEAP4–Mediated ROS–TERT–TP53 Signaling Promotes Granulosa Cell Dysfunction in Experimental Models of Polycystic Ovary Syndrome,success,no,no,,,,,
21,PMC3317238,LPS Counter Regulates RNA Expression of Extracellular Proteases and Their Inhibitors in Murine Macrophages,success,no,no,,,,,
22,PMC11994614,Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network,success,no,no,,,,,
23,PMC7288959,BRD4 contributes to LPS-induced macrophage senescence and promotes progression of atherosclerosis-associated lipid uptake,success,no,no,,,,,
24,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
25,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,no,,,,,
