rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC8812784,TNFSF15 facilitates differentiation and polarization of macrophages toward M1 phenotype to inhibit tumor growth,success,no,,,
2,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,
3,PMC7689184,TNFSF15 Promotes Antimicrobial Pathways in Human Macrophages and These Are Modulated by TNFSF15 Disease-Risk Variants,success,yes,"We previously found that NOD2 stimulation activates tumor necrosis factor converting enzyme (TACE), which then cleaves transmembrane TNFSF15 to release soluble TNFSF15.",Tnfsf15,
4,PMC3431012,"LITAF and TNFSF15, two downstream targets of AMPK, exert inhibitory effects on tumor growth",success,no,,,
5,PMC3959508,Identifying and testing candidate genetic polymorphisms in irritable bowel syndrome: association with TNFSF15 and tumor necrosis factor-α,success,no,,,
6,PMC12294962,"Quantitative Proteomics Reveals Fh15 as an Antagonist of TLR4 Downregulating the Activation of NF-κB, Inducible Nitric Oxide, Phagosome Signaling Pathways, and Oxidative Stress of LPS-Stimulated Macrophages",success,no,,,
7,PMC6130856,Reduced monocyte and macrophage TNFSF15/TL1A expression is associated with susceptibility to inflammatory bowel disease,success,yes,"In monocytes stimulated with immune complex and intracellular poly(I:C), the protective allele was associated with higher levels of TNFSF15 mRNA (p 1.33 x 10−3 and p 0.0155, respectively), similar to results in unstimulated cells, while LPS-stimulated monocytes showed a comparable trend but with more variability (p 0.273, Fig 2A).",Tnfsf15,
8,PMC9161903,Protective effect of growth differentiation factor 15 in sepsis by regulating macrophage polarization and its mechanism,success,no,,,
9,PMC6584785,Distinct Expression Patterns of Two Tumor Necrosis Factor Superfamily Member 15 Gene Isoforms in Human Colon Cancer,success,no,,,
10,PMC12872506,GDF15 orchestrates mitochondrial-immune crosstalk via SMAD7-HIF-1α-PKM2 cascade to attenuate septic liver injury,success,no,,,
11,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,,,
12,PMC8456026,The Clinical Value of GDF15 and Its Prospective Mechanism in Sepsis,success,no,,,
13,PMC8155903,Differential mRNA and miRNA Profiles Reveal the Potential Roles of Genes and miRNAs Involved in LPS Infection in Chicken Macrophages,success,no,,,
14,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,,,
15,PMC5979423,Cytokine Expression and Macrophage Localization in Xenograft and Allograft Tumor Models Stimulated with Lipopolysaccharide,success,no,,,
16,PMC5954968,Tremella fuciformis Polysaccharides Attenuate Oxidative Stress and Inflammation in Macrophages through miR-155,success,no,,,
17,PMC8289208,Lipopolysaccharide from biofilm-forming Pseudomonas aeruginosa PAO1 induces macrophage hyperinflammatory responses,success,no,,,
18,PMC9456100,"Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile",success,no,,,
19,PMC9778199,Genetic and Epigenetic Etiology of Inflammatory Bowel Disease: An Update,success,no,,,
20,PMC5358891,Analysis of the human monocyte-derived macrophage transcriptome and response to lipopolysaccharide provides new insights into genetic aetiology of inflammatory bowel disease,success,yes,"Both TNF receptor genes TNFR1 (TNFRSF1A) and TNFR2 (TNFRSF1B) were induced later in the response to LPS. Aside from TNF, five other members of the TNF superfamily, TNFSF15, TNFSF8 (encoding CD30L), TNFSF10 (TRAIL), TNFSF14 (LIGHT) and TNFSF9 (CD137L) were each induced ahead of induction of their respective receptors TNFRSF6B, TNFRSF8, TNFRSF10A and 10B and TNFRSF9 (CD137).",Tnfsf15,
21,PMC11994614,Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network,success,no,,,
22,PMC11242731,Macrophages as a Source and Target of GDF-15,success,no,,,
23,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,success,no,,,
24,PMC5430818,Growth Differentiation Factor-15 Deficiency Augments Inflammatory Response and Exacerbates Septic Heart and Renal Injury Induced by Lipopolysaccharide,success,no,,,
25,PMC10690882,TNFSF15 facilitates the differentiation of CD11b+ myeloid cells into vascular pericytes in tumors,success,no,,,
